#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.367053E+04   0.502762E-01   0.000000E+00  -0.109264E+01   0.234166E-07   0.654198E-02  -0.113966E-04
     3   0.352103E+04   0.854944E-01   0.000000E+00   0.336775E+00   0.293600E-07   0.685469E-02  -0.156270E-04
     4   0.323043E+04   0.964245E-01   0.000000E+00   0.204427E+01   0.347576E-07   0.689263E-02  -0.164200E-04
     5   0.294309E+04   0.849140E-01   0.000000E+00   0.308225E+01   0.396330E-07   0.680749E-02  -0.145210E-04
     6   0.270171E+04   0.620777E-01   0.000000E+00   0.340418E+01   0.440298E-07   0.667032E-02  -0.108574E-04
     7   0.250742E+04   0.391237E-01   0.000000E+00   0.324407E+01   0.480144E-07   0.651402E-02  -0.639660E-05
     8   0.234878E+04   0.225123E-01   0.000000E+00   0.285115E+01   0.516399E-07   0.634820E-02  -0.201404E-05
     9   0.221964E+04   0.133930E-01   0.000000E+00   0.240324E+01   0.549542E-07   0.617813E-02   0.162286E-05
    10   0.211411E+04   0.968124E-02   0.000000E+00   0.199731E+01   0.579856E-07   0.600661E-02   0.414449E-05
    11   0.202716E+04   0.852368E-02   0.000000E+00   0.168901E+01   0.607799E-07   0.584289E-02   0.547478E-05
    12   0.195550E+04   0.794056E-02   0.000000E+00   0.149680E+01   0.633445E-07   0.568803E-02   0.570619E-05
    13   0.189508E+04   0.708448E-02   0.000000E+00   0.139810E+01   0.657010E-07   0.554114E-02   0.503375E-05
    14   0.184315E+04   0.615757E-02   0.000000E+00   0.136222E+01   0.678750E-07   0.540152E-02   0.370229E-05
    15   0.179864E+04   0.544777E-02   0.000000E+00   0.136836E+01   0.698810E-07   0.526670E-02   0.210922E-05
    16   0.176083E+04   0.515847E-02   0.000000E+00   0.140020E+01   0.717318E-07   0.513477E-02   0.637833E-06
    17   0.172893E+04   0.528938E-02   0.000000E+00   0.144629E+01   0.734424E-07   0.500695E-02  -0.508696E-06
    18   0.170139E+04   0.560185E-02   0.000000E+00   0.149713E+01   0.750263E-07   0.488473E-02  -0.121503E-05
    19   0.167850E+04   0.595597E-02   0.000000E+00   0.153933E+01   0.764886E-07   0.476719E-02  -0.153511E-05
    20   0.165811E+04   0.632361E-02   0.000000E+00   0.156153E+01   0.778341E-07   0.465315E-02  -0.154947E-05
    21   0.164029E+04   0.675790E-02   0.000000E+00   0.157869E+01   0.790745E-07   0.454232E-02  -0.128353E-05
    22   0.162508E+04   0.739888E-02   0.000000E+00   0.160579E+01   0.802216E-07   0.443475E-02  -0.778162E-06
    23   0.161207E+04   0.829366E-02   0.000000E+00   0.163636E+01   0.812799E-07   0.433064E-02  -0.191414E-06
    24   0.160111E+04   0.942891E-02   0.000000E+00   0.166109E+01   0.822531E-07   0.423019E-02   0.304573E-06
    25   0.159194E+04   0.108136E-01   0.000000E+00   0.168061E+01   0.831474E-07   0.413333E-02   0.592872E-06
    26   0.158421E+04   0.124189E-01   0.000000E+00   0.170059E+01   0.839693E-07   0.403991E-02   0.612154E-06
    27   0.157800E+04   0.142066E-01   0.000000E+00   0.172966E+01   0.847242E-07   0.394957E-02   0.466459E-06
    28   0.157303E+04   0.161685E-01   0.000000E+00   0.177471E+01   0.854158E-07   0.386200E-02   0.277862E-06
    29   0.156934E+04   0.183121E-01   0.000000E+00   0.182746E+01   0.860440E-07   0.377723E-02   0.790986E-07
    30   0.156683E+04   0.206511E-01   0.000000E+00   0.187556E+01   0.866092E-07   0.369532E-02  -0.125077E-06
    31   0.156531E+04   0.231684E-01   0.000000E+00   0.191182E+01   0.871181E-07   0.361602E-02  -0.352683E-06
    32   0.156496E+04   0.258366E-01   0.000000E+00   0.193133E+01   0.875779E-07   0.353899E-02  -0.606781E-06
    33   0.156571E+04   0.286664E-01   0.000000E+00   0.193298E+01   0.879909E-07   0.346386E-02  -0.808412E-06
    34   0.156729E+04   0.316882E-01   0.000000E+00   0.191851E+01   0.883587E-07   0.339035E-02  -0.873661E-06
    35   0.156966E+04   0.349242E-01   0.000000E+00   0.189405E+01   0.886837E-07   0.331846E-02  -0.779310E-06
    36   0.157269E+04   0.383960E-01   0.000000E+00   0.186402E+01   0.889684E-07   0.324837E-02  -0.543117E-06
    37   0.157640E+04   0.420963E-01   0.000000E+00   0.182527E+01   0.892153E-07   0.318054E-02  -0.286055E-06
    38   0.158104E+04   0.460216E-01   0.000000E+00   0.177588E+01   0.894263E-07   0.311533E-02  -0.122042E-06
    39   0.158657E+04   0.501831E-01   0.000000E+00   0.171749E+01   0.896029E-07   0.305238E-02  -0.354022E-07
    40   0.159267E+04   0.546015E-01   0.000000E+00   0.165241E+01   0.897464E-07   0.299116E-02   0.217053E-07
