#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.147905E+04   0.543211E-01   0.000000E+00   0.277053E+01   0.398395E-07   0.399722E-02  -0.152548E-04
     3   0.142523E+04   0.878395E-01   0.000000E+00   0.352000E+01   0.482601E-07   0.421531E-02  -0.186729E-04
     4   0.135240E+04   0.974745E-01   0.000000E+00   0.382497E+01   0.555571E-07   0.427823E-02  -0.186759E-04
     5   0.128390E+04   0.852250E-01   0.000000E+00   0.375456E+01   0.619547E-07   0.425881E-02  -0.162128E-04
     6   0.122707E+04   0.620265E-01   0.000000E+00   0.342508E+01   0.675854E-07   0.419618E-02  -0.121905E-04
     7   0.118221E+04   0.389336E-01   0.000000E+00   0.295831E+01   0.725794E-07   0.411231E-02  -0.750832E-05
     8   0.114630E+04   0.222879E-01   0.000000E+00   0.246038E+01   0.770300E-07   0.401498E-02  -0.298761E-05
     9   0.111821E+04   0.131784E-01   0.000000E+00   0.200441E+01   0.810177E-07   0.390873E-02   0.733526E-06
    10   0.109688E+04   0.949023E-02   0.000000E+00   0.163168E+01   0.845923E-07   0.379796E-02   0.331224E-05
    11   0.108075E+04   0.835660E-02   0.000000E+00   0.136494E+01   0.878250E-07   0.369094E-02   0.469799E-05
    12   0.106975E+04   0.779555E-02   0.000000E+00   0.120897E+01   0.907310E-07   0.359014E-02   0.498938E-05
    13   0.106192E+04   0.695870E-02   0.000000E+00   0.114109E+01   0.933453E-07   0.349512E-02   0.436729E-05
    14   0.105619E+04   0.604743E-02   0.000000E+00   0.113265E+01   0.957083E-07   0.340509E-02   0.306511E-05
    15   0.105270E+04   0.535111E-02   0.000000E+00   0.116324E+01   0.978431E-07   0.331775E-02   0.149464E-05
    16   0.105174E+04   0.507432E-02   0.000000E+00   0.121626E+01   0.997695E-07   0.323139E-02   0.551207E-07
    17   0.105315E+04   0.521500E-02   0.000000E+00   0.127893E+01   0.101510E-06   0.314745E-02  -0.105185E-05
    18   0.105591E+04   0.553328E-02   0.000000E+00   0.134140E+01   0.103084E-06   0.306761E-02  -0.171787E-05
    19   0.106078E+04   0.589306E-02   0.000000E+00   0.139516E+01   0.104501E-06   0.299119E-02  -0.200833E-05
    20   0.106601E+04   0.626942E-02   0.000000E+00   0.143268E+01   0.105768E-06   0.291716E-02  -0.201067E-05
    21   0.107193E+04   0.671095E-02   0.000000E+00   0.146344E+01   0.106901E-06   0.284518E-02  -0.173507E-05
    22   0.107880E+04   0.735331E-02   0.000000E+00   0.149709E+01   0.107918E-06   0.277522E-02  -0.120728E-05
    23   0.108639E+04   0.824759E-02   0.000000E+00   0.153175E+01   0.108826E-06   0.270761E-02  -0.591820E-06
    24   0.109471E+04   0.938535E-02   0.000000E+00   0.156390E+01   0.109629E-06   0.264273E-02  -0.708771E-07
    25   0.110368E+04   0.107758E-01   0.000000E+00   0.159497E+01   0.110337E-06   0.258053E-02   0.235482E-06
    26   0.111307E+04   0.123887E-01   0.000000E+00   0.162907E+01   0.110959E-06   0.252085E-02   0.265868E-06
    27   0.112307E+04   0.141829E-01   0.000000E+00   0.166875E+01   0.111502E-06   0.246333E-02   0.129694E-06
    28   0.113350E+04   0.161478E-01   0.000000E+00   0.171580E+01   0.111971E-06   0.240767E-02  -0.458057E-07
    29   0.114446E+04   0.182918E-01   0.000000E+00   0.176520E+01   0.112367E-06   0.235405E-02  -0.228853E-06
    30   0.115587E+04   0.206301E-01   0.000000E+00   0.180940E+01   0.112690E-06   0.230261E-02  -0.416990E-06
