#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.147198E+05   0.498830E-01   0.000000E+00  -0.185988E+01   0.496372E-08   0.583874E-02  -0.895328E-05
     3   0.158293E+05   0.856324E-01   0.000000E+00  -0.925179E+00   0.643403E-08   0.664663E-02  -0.132801E-04
     4   0.159514E+05   0.977127E-01   0.000000E+00   0.211030E+01   0.808192E-08   0.712690E-02  -0.147016E-04
     5   0.156943E+05   0.870609E-01   0.000000E+00   0.467597E+01   0.976662E-08   0.739052E-02  -0.134215E-04
     6   0.153299E+05   0.646722E-01   0.000000E+00   0.608126E+01   0.114318E-07   0.752420E-02  -0.102054E-04
     7   0.149354E+05   0.418216E-01   0.000000E+00   0.646988E+01   0.130589E-07   0.758419E-02  -0.602084E-05
     8   0.145197E+05   0.251180E-01   0.000000E+00   0.622915E+01   0.146415E-07   0.759158E-02  -0.178522E-05
     9   0.141087E+05   0.158099E-01   0.000000E+00   0.571767E+01   0.161786E-07   0.756063E-02   0.180481E-05
    10   0.137072E+05   0.118820E-01   0.000000E+00   0.512992E+01   0.176658E-07   0.749916E-02   0.433210E-05
    11   0.133241E+05   0.105175E-01   0.000000E+00   0.460465E+01   0.191075E-07   0.742520E-02   0.565735E-05
    12   0.129580E+05   0.973549E-02   0.000000E+00   0.420346E+01   0.204987E-07   0.734253E-02   0.585414E-05
    13   0.126067E+05   0.869934E-02   0.000000E+00   0.391691E+01   0.218398E-07   0.725351E-02   0.516246E-05
    14   0.122696E+05   0.762164E-02   0.000000E+00   0.371807E+01   0.231329E-07   0.716090E-02   0.386431E-05
    15   0.119465E+05   0.677736E-02   0.000000E+00   0.357275E+01   0.243788E-07   0.706443E-02   0.231444E-05
    16   0.116367E+05   0.635738E-02   0.000000E+00   0.345320E+01   0.255787E-07   0.696385E-02   0.847296E-06
    17   0.113400E+05   0.637385E-02   0.000000E+00   0.336141E+01   0.267354E-07   0.686127E-02  -0.333263E-06
    18   0.110551E+05   0.659935E-02   0.000000E+00   0.330037E+01   0.278515E-07   0.675879E-02  -0.109116E-05
    19   0.107820E+05   0.687514E-02   0.000000E+00   0.324069E+01   0.289270E-07   0.665611E-02  -0.142774E-05
    20   0.105180E+05   0.715615E-02   0.000000E+00   0.315576E+01   0.299619E-07   0.655266E-02  -0.138944E-05
    21   0.102634E+05   0.751603E-02   0.000000E+00   0.307703E+01   0.309589E-07   0.644905E-02  -0.107061E-05
