#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.906665E+04   0.500987E-01   0.000000E+00  -0.152877E+01   0.948058E-08   0.612978E-02  -0.972276E-05
     3   0.976605E+04   0.855146E-01   0.000000E+00  -0.440435E+00   0.117835E-07   0.679494E-02  -0.138380E-04
     4   0.982265E+04   0.970292E-01   0.000000E+00   0.193448E+01   0.141208E-07   0.716417E-02  -0.148790E-04
     5   0.963070E+04   0.860006E-01   0.000000E+00   0.382565E+01   0.163920E-07   0.734811E-02  -0.132893E-04
     6   0.937209E+04   0.634395E-01   0.000000E+00   0.479201E+01   0.185613E-07   0.742304E-02  -0.987767E-05
     7   0.910082E+04   0.405678E-01   0.000000E+00   0.498016E+01   0.206258E-07   0.743565E-02  -0.559103E-05
     8   0.882341E+04   0.239224E-01   0.000000E+00   0.470104E+01   0.225891E-07   0.740395E-02  -0.131583E-05
     9   0.855533E+04   0.147078E-01   0.000000E+00   0.423404E+01   0.244581E-07   0.734087E-02   0.227135E-05
    10   0.829927E+04   0.108809E-01   0.000000E+00   0.373264E+01   0.262338E-07   0.725344E-02   0.477462E-05
    11   0.805910E+04   0.961151E-02   0.000000E+00   0.330433E+01   0.279283E-07   0.715780E-02   0.607839E-05
    12   0.783353E+04   0.891884E-02   0.000000E+00   0.299502E+01   0.295384E-07   0.705738E-02   0.626376E-05
    13   0.761992E+04   0.796309E-02   0.000000E+00   0.279081E+01   0.310683E-07   0.695383E-02   0.555648E-05
    14   0.741714E+04   0.695363E-02   0.000000E+00   0.266376E+01   0.325248E-07   0.684911E-02   0.422669E-05
    15   0.722471E+04   0.617014E-02   0.000000E+00   0.258461E+01   0.339111E-07   0.674242E-02   0.264305E-05
    16   0.704223E+04   0.580797E-02   0.000000E+00   0.252984E+01   0.352305E-07   0.663317E-02   0.115594E-05
    17   0.686925E+04   0.587530E-02   0.000000E+00   0.249711E+01   0.364880E-07   0.652330E-02  -0.310172E-07
    18   0.670442E+04   0.614114E-02   0.000000E+00   0.248536E+01   0.376885E-07   0.641483E-02  -0.788544E-06
    19   0.654789E+04   0.645322E-02   0.000000E+00   0.247070E+01   0.388328E-07   0.630732E-02  -0.113531E-05
    20   0.639733E+04   0.677232E-02   0.000000E+00   0.243177E+01   0.399217E-07   0.620004E-02  -0.112901E-05
    21   0.625295E+04   0.716531E-02   0.000000E+00   0.239456E+01   0.409597E-07   0.609337E-02  -0.841323E-06
    22   0.611494E+04   0.778542E-02   0.000000E+00   0.238444E+01   0.419514E-07   0.598792E-02  -0.358974E-06
    23   0.598277E+04   0.866587E-02   0.000000E+00   0.238184E+01   0.428981E-07   0.588396E-02   0.182308E-06
    24   0.585611E+04   0.977667E-02   0.000000E+00   0.236202E+01   0.438007E-07   0.578170E-02   0.643641E-06
    25   0.573456E+04   0.111264E-01   0.000000E+00   0.232431E+01   0.446615E-07   0.568131E-02   0.918558E-06
    26   0.561760E+04   0.126913E-01   0.000000E+00   0.228041E+01   0.454832E-07   0.558291E-02   0.945752E-06
    27   0.550517E+04   0.144439E-01   0.000000E+00   0.226020E+01   0.462677E-07   0.548640E-02   0.810296E-06
    28   0.539688E+04   0.163849E-01   0.000000E+00   0.228813E+01   0.470165E-07   0.539167E-02   0.616067E-06
    29   0.529276E+04   0.185184E-01   0.000000E+00   0.234365E+01   0.477289E-07   0.529874E-02   0.399112E-06
    30   0.519272E+04   0.208518E-01   0.000000E+00   0.239679E+01   0.484045E-07   0.520763E-02   0.172308E-06
    31   0.509653E+04   0.233637E-01   0.000000E+00   0.243106E+01   0.490465E-07   0.511831E-02  -0.762396E-07
    32   0.500431E+04   0.260239E-01   0.000000E+00   0.243634E+01   0.496583E-07   0.503067E-02  -0.345297E-06
    33   0.491581E+04   0.288431E-01   0.000000E+00   0.241456E+01   0.502408E-07   0.494435E-02  -0.556881E-06
    34   0.483066E+04   0.318529E-01   0.000000E+00   0.237224E+01   0.507944E-07   0.485905E-02  -0.629215E-06
    35   0.474871E+04   0.350768E-01   0.000000E+00   0.231917E+01   0.513202E-07   0.477484E-02  -0.540678E-06
    36   0.466982E+04   0.385376E-01   0.000000E+00   0.226273E+01   0.518194E-07   0.469198E-02  -0.310191E-06
    37   0.459392E+04   0.422283E-01   0.000000E+00   0.220125E+01   0.522929E-07   0.461097E-02  -0.587031E-07
    38   0.452121E+04   0.461452E-01   0.000000E+00   0.213347E+01   0.527417E-07   0.453219E-02   0.100042E-06
    39   0.445155E+04   0.502993E-01   0.000000E+00   0.206004E+01   0.531664E-07   0.445532E-02   0.181334E-06
    40   0.438454E+04   0.547106E-01   0.000000E+00   0.198188E+01   0.535674E-07   0.437991E-02   0.232489E-06
    41   0.432019E+04   0.593996E-01   0.000000E+00   0.189909E+01   0.539452E-07   0.430556E-02   0.290260E-06
    42   0.425816E+04   0.643677E-01   0.000000E+00   0.180942E+01   0.543008E-07   0.423225E-02   0.349818E-06
    43   0.419851E+04   0.696112E-01   0.000000E+00   0.171003E+01   0.546347E-07   0.416005E-02   0.395996E-06
    44   0.414100E+04   0.751115E-01   0.000000E+00   0.159897E+01   0.549480E-07   0.408903E-02   0.413676E-06
    45   0.408592E+04   0.808607E-01   0.000000E+00   0.147437E+01   0.552413E-07   0.401925E-02   0.387779E-06
    46   0.403310E+04   0.868554E-01   0.000000E+00   0.133309E+01   0.555154E-07   0.395075E-02   0.309076E-06
    47   0.398239E+04   0.930980E-01   0.000000E+00   0.117688E+01   0.557710E-07   0.388347E-02   0.191584E-06
    48   0.393371E+04   0.995993E-01   0.000000E+00   0.101135E+01   0.560087E-07   0.381729E-02   0.550789E-07
    49   0.388713E+04   0.106348E+00   0.000000E+00   0.841510E+00   0.562289E-07   0.375212E-02  -0.807172E-07
    50   0.384286E+04   0.113324E+00   0.000000E+00   0.665593E+00   0.564324E-07   0.368785E-02  -0.196133E-06
    51   0.380066E+04   0.120506E+00   0.000000E+00   0.479980E+00   0.566195E-07   0.362444E-02  -0.275931E-06
    52   0.376067E+04   0.127973E+00   0.000000E+00   0.279270E+00   0.567910E-07   0.356202E-02  -0.322454E-06
    53   0.372239E+04   0.135870E+00   0.000000E+00   0.594696E-01   0.569472E-07   0.350077E-02  -0.342421E-06
    54   0.368565E+04   0.144185E+00   0.000000E+00  -0.175448E+00   0.570888E-07   0.344089E-02  -0.342533E-06
    55   0.365057E+04   0.152891E+00   0.000000E+00  -0.421395E+00   0.572161E-07   0.338255E-02  -0.329474E-06
    56   0.361726E+04   0.161840E+00   0.000000E+00  -0.680276E+00   0.573298E-07   0.332589E-02  -0.309128E-06
    57   0.358562E+04   0.170926E+00   0.000000E+00  -0.951671E+00   0.574301E-07   0.327071E-02  -0.284234E-06
    58   0.355565E+04   0.180162E+00   0.000000E+00  -0.123581E+01   0.575174E-07   0.321680E-02  -0.256740E-06
    59   0.352717E+04   0.189589E+00   0.000000E+00  -0.153295E+01   0.575919E-07   0.316389E-02  -0.228593E-06
    60   0.350017E+04   0.199264E+00   0.000000E+00  -0.184190E+01   0.576538E-07   0.311177E-02  -0.201734E-06
    61   0.347494E+04   0.209283E+00   0.000000E+00  -0.216146E+01   0.577036E-07   0.306022E-02  -0.177927E-06
    62   0.345082E+04   0.219629E+00   0.000000E+00  -0.249263E+01   0.577417E-07   0.300923E-02  -0.158235E-06
    63   0.342801E+04   0.230262E+00   0.000000E+00  -0.283663E+01   0.577685E-07   0.295879E-02  -0.143544E-06
    64   0.340676E+04   0.241191E+00   0.000000E+00  -0.319488E+01   0.577844E-07   0.290894E-02  -0.134743E-06
    65   0.338664E+04   0.252388E+00   0.000000E+00  -0.356821E+01   0.577900E-07   0.285968E-02  -0.132714E-06
    66   0.336790E+04   0.263783E+00   0.000000E+00  -0.395494E+01   0.577856E-07   0.281103E-02  -0.138490E-06
    67   0.335038E+04   0.275379E+00   0.000000E+00  -0.435239E+01   0.577717E-07   0.276309E-02  -0.153688E-06
    68   0.333431E+04   0.287217E+00   0.000000E+00  -0.475895E+01   0.577484E-07   0.271594E-02  -0.180070E-06
    69   0.331945E+04   0.299257E+00   0.000000E+00  -0.517289E+01   0.577161E-07   0.266969E-02  -0.219398E-06
    70   0.330591E+04   0.311539E+00   0.000000E+00  -0.559595E+01   0.576752E-07   0.262442E-02  -0.273430E-06
    71   0.329351E+04   0.324054E+00   0.000000E+00  -0.603056E+01   0.576259E-07   0.258021E-02  -0.341773E-06
    72   0.328225E+04   0.336775E+00   0.000000E+00  -0.647811E+01   0.575682E-07   0.253698E-02  -0.415428E-06
    73   0.327206E+04   0.349669E+00   0.000000E+00  -0.693922E+01   0.575023E-07   0.249464E-02  -0.483260E-06
    74   0.326295E+04   0.362723E+00   0.000000E+00  -0.741303E+01   0.574283E-07   0.245309E-02  -0.534143E-06
    75   0.325500E+04   0.375948E+00   0.000000E+00  -0.789810E+01   0.573461E-07   0.241223E-02  -0.556964E-06
    76   0.324815E+04   0.389346E+00   0.000000E+00  -0.839378E+01   0.572560E-07   0.237198E-02  -0.544539E-06
    77   0.324242E+04   0.402908E+00   0.000000E+00  -0.889982E+01   0.571582E-07   0.233230E-02  -0.505363E-06
    78   0.323785E+04   0.416659E+00   0.000000E+00  -0.941750E+01   0.570529E-07   0.229318E-02  -0.451837E-06
    79   0.323424E+04   0.430545E+00   0.000000E+00  -0.994292E+01   0.569405E-07   0.225460E-02  -0.396350E-06
    80   0.323170E+04   0.444570E+00   0.000000E+00  -0.104774E+02   0.568212E-07   0.221655E-02  -0.351277E-06
    81   0.323011E+04   0.458683E+00   0.000000E+00  -0.110213E+02   0.566954E-07   0.217901E-02  -0.326612E-06
    82   0.322953E+04   0.472905E+00   0.000000E+00  -0.115737E+02   0.565633E-07   0.214203E-02  -0.322848E-06
    83   0.322988E+04   0.487212E+00   0.000000E+00  -0.121344E+02   0.564251E-07   0.210566E-02  -0.338106E-06
    84   0.323122E+04   0.501601E+00   0.000000E+00  -0.127014E+02   0.562812E-07   0.206994E-02  -0.370511E-06
    85   0.323339E+04   0.516046E+00   0.000000E+00  -0.132761E+02   0.561318E-07   0.203495E-02  -0.418189E-06
    86   0.323645E+04   0.530560E+00   0.000000E+00  -0.138572E+02   0.559772E-07   0.200070E-02  -0.478688E-06
    87   0.324060E+04   0.545112E+00   0.000000E+00  -0.144442E+02   0.558176E-07   0.196719E-02  -0.547238E-06
    88   0.324537E+04   0.559718E+00   0.000000E+00  -0.150371E+02   0.556532E-07   0.193438E-02  -0.618491E-06
    89   0.325110E+04   0.574363E+00   0.000000E+00  -0.156374E+02   0.554842E-07   0.190225E-02  -0.687104E-06
    90   0.325762E+04   0.589010E+00   0.000000E+00  -0.162422E+02   0.553109E-07   0.187076E-02  -0.747740E-06
    91   0.326483E+04   0.603651E+00   0.000000E+00  -0.168523E+02   0.551335E-07   0.183988E-02  -0.796114E-06
    92   0.327287E+04   0.618273E+00   0.000000E+00  -0.174669E+02   0.549521E-07   0.180961E-02  -0.832153E-06
    93   0.328174E+04   0.632868E+00   0.000000E+00  -0.180863E+02   0.547668E-07   0.177992E-02  -0.856834E-06
    94   0.329118E+04   0.647401E+00   0.000000E+00  -0.187088E+02   0.545778E-07   0.175081E-02  -0.871132E-06
    95   0.330142E+04   0.661871E+00   0.000000E+00  -0.193352E+02   0.543852E-07   0.172226E-02  -0.876025E-06
    96   0.331216E+04   0.676266E+00   0.000000E+00  -0.199649E+02   0.541892E-07   0.169427E-02  -0.872485E-06
    97   0.332381E+04   0.690570E+00   0.000000E+00  -0.205972E+02   0.539899E-07   0.166682E-02  -0.861486E-06
    98   0.333616E+04   0.704777E+00   0.000000E+00  -0.212298E+02   0.537874E-07   0.163990E-02  -0.844002E-06
    99   0.334904E+04   0.718851E+00   0.000000E+00  -0.218657E+02   0.535819E-07   0.161349E-02  -0.821004E-06
   100   0.336266E+04   0.732792E+00   0.000000E+00  -0.225006E+02   0.533735E-07   0.158760E-02  -0.793464E-06
   101   0.337687E+04   0.746661E+00   0.000000E+00  -0.231375E+02   0.531623E-07   0.156220E-02  -0.762353E-06
   102   0.339203E+04   0.760309E+00   0.000000E+00  -0.237740E+02   0.529485E-07   0.153729E-02  -0.728640E-06
   103   0.340752E+04   0.773812E+00   0.000000E+00  -0.244111E+02   0.527322E-07   0.151284E-02  -0.693296E-06
   104   0.342364E+04   0.787171E+00   0.000000E+00  -0.250458E+02   0.525136E-07   0.148887E-02  -0.657289E-06
   105   0.344031E+04   0.800312E+00   0.000000E+00  -0.256796E+02   0.522927E-07   0.146534E-02  -0.621587E-06
   106   0.345758E+04   0.813309E+00   0.000000E+00  -0.263118E+02   0.520698E-07   0.144225E-02  -0.587159E-06
   107   0.347516E+04   0.826016E+00   0.000000E+00  -0.269409E+02   0.518449E-07   0.141959E-02  -0.554972E-06
   108   0.349346E+04   0.838507E+00   0.000000E+00  -0.275678E+02   0.516182E-07   0.139734E-02  -0.525993E-06
   109   0.351227E+04   0.850708E+00   0.000000E+00  -0.281909E+02   0.513899E-07   0.137550E-02  -0.501189E-06
   110   0.353149E+04   0.862621E+00   0.000000E+00  -0.288089E+02   0.511600E-07   0.135406E-02  -0.481525E-06
   111   0.355119E+04   0.874320E+00   0.000000E+00  -0.294232E+02   0.509288E-07   0.133300E-02  -0.467731E-06
   112   0.357137E+04   0.885732E+00   0.000000E+00  -0.300331E+02   0.506962E-07   0.131231E-02  -0.459588E-06
   113   0.359208E+04   0.896856E+00   0.000000E+00  -0.306370E+02   0.504624E-07   0.129201E-02  -0.456640E-06
   114   0.361318E+04   0.907619E+00   0.000000E+00  -0.312343E+02   0.502275E-07   0.127207E-02  -0.458433E-06
   115   0.363479E+04   0.918169E+00   0.000000E+00  -0.318250E+02   0.499915E-07   0.125251E-02  -0.464513E-06
   116   0.365670E+04   0.928285E+00   0.000000E+00  -0.324081E+02   0.497546E-07   0.123330E-02  -0.474425E-06
   117   0.367920E+04   0.938040E+00   0.000000E+00  -0.329831E+02   0.495168E-07   0.121446E-02  -0.487715E-06
   118   0.370211E+04   0.947584E+00   0.000000E+00  -0.335506E+02   0.492782E-07   0.119598E-02  -0.503929E-06
   119   0.372530E+04   0.956769E+00   0.000000E+00  -0.341083E+02   0.490390E-07   0.117784E-02  -0.522613E-06
   120   0.374890E+04   0.965445E+00   0.000000E+00  -0.346564E+02   0.487991E-07   0.116006E-02  -0.543315E-06
   121   0.377275E+04   0.973911E+00   0.000000E+00  -0.351946E+02   0.485586E-07   0.114262E-02  -0.565581E-06
   122   0.379692E+04   0.981870E+00   0.000000E+00  -0.357224E+02   0.483178E-07   0.112553E-02  -0.588957E-06
   123   0.382140E+04   0.989396E+00   0.000000E+00  -0.362396E+02   0.480765E-07   0.110877E-02  -0.612992E-06
   124   0.384619E+04   0.996565E+00   0.000000E+00  -0.367434E+02   0.478350E-07   0.109234E-02  -0.637233E-06
   125   0.387120E+04   0.100330E+01   0.000000E+00  -0.372358E+02   0.475934E-07   0.107625E-02  -0.661226E-06
   126   0.389650E+04   0.100968E+01   0.000000E+00  -0.377162E+02   0.473516E-07   0.106049E-02  -0.684521E-06
   127   0.392201E+04   0.101555E+01   0.000000E+00  -0.381837E+02   0.471098E-07   0.104504E-02  -0.706665E-06
   128   0.394771E+04   0.102107E+01   0.000000E+00  -0.386377E+02   0.468681E-07   0.102992E-02  -0.727205E-06
   129   0.397369E+04   0.102608E+01   0.000000E+00  -0.390773E+02   0.466266E-07   0.101511E-02  -0.745691E-06
   130   0.399984E+04   0.103059E+01   0.000000E+00  -0.395019E+02   0.463853E-07   0.100062E-02  -0.761670E-06
   131   0.402618E+04   0.103474E+01   0.000000E+00  -0.399128E+02   0.461443E-07   0.986434E-03  -0.774798E-06
   132   0.405276E+04   0.103839E+01   0.000000E+00  -0.403072E+02   0.459037E-07   0.972551E-03  -0.785161E-06
   133   0.407944E+04   0.104161E+01   0.000000E+00  -0.406873E+02   0.456636E-07   0.958963E-03  -0.792951E-06
   134   0.410628E+04   0.104439E+01   0.000000E+00  -0.410487E+02   0.454240E-07   0.945666E-03  -0.798360E-06
   135   0.413329E+04   0.104668E+01   0.000000E+00  -0.413944E+02   0.451848E-07   0.932653E-03  -0.801581E-06
   136   0.416031E+04   0.104846E+01   0.000000E+00  -0.417208E+02   0.449462E-07   0.919917E-03  -0.802805E-06
   137   0.418749E+04   0.104982E+01   0.000000E+00  -0.420300E+02   0.447082E-07   0.907452E-03  -0.802224E-06
   138   0.421475E+04   0.105067E+01   0.000000E+00  -0.423207E+02   0.444709E-07   0.895252E-03  -0.800032E-06
   139   0.424194E+04   0.105117E+01   0.000000E+00  -0.425921E+02   0.442343E-07   0.883311E-03  -0.796419E-06
   140   0.426935E+04   0.105110E+01   0.000000E+00  -0.428450E+02   0.439984E-07   0.871623E-03  -0.791577E-06
   141   0.429668E+04   0.105052E+01   0.000000E+00  -0.430773E+02   0.437633E-07   0.860180E-03  -0.785699E-06
   142   0.432416E+04   0.104952E+01   0.000000E+00  -0.432897E+02   0.435291E-07   0.848978E-03  -0.778976E-06
   143   0.435171E+04   0.104809E+01   0.000000E+00  -0.434822E+02   0.432957E-07   0.838010E-03  -0.771599E-06
   144   0.437916E+04   0.104616E+01   0.000000E+00  -0.436542E+02   0.430632E-07   0.827269E-03  -0.763760E-06
   145   0.440661E+04   0.104388E+01   0.000000E+00  -0.438049E+02   0.428317E-07   0.816749E-03  -0.755652E-06
   146   0.443425E+04   0.104102E+01   0.000000E+00  -0.439344E+02   0.426012E-07   0.806445E-03  -0.747464E-06
   147   0.446166E+04   0.103782E+01   0.000000E+00  -0.440412E+02   0.423718E-07   0.796349E-03  -0.739390E-06
   148   0.448904E+04   0.103411E+01   0.000000E+00  -0.441269E+02   0.421435E-07   0.786457E-03  -0.731619E-06
   149   0.451646E+04   0.102999E+01   0.000000E+00  -0.441899E+02   0.419163E-07   0.776761E-03  -0.724344E-06
   150   0.454371E+04   0.102551E+01   0.000000E+00  -0.442282E+02   0.416904E-07   0.767255E-03  -0.717756E-06
   151   0.457093E+04   0.102061E+01   0.000000E+00  -0.442447E+02   0.414656E-07   0.757934E-03  -0.712002E-06
   152   0.459796E+04   0.101521E+01   0.000000E+00  -0.442380E+02   0.412422E-07   0.748794E-03  -0.707056E-06
   153   0.462495E+04   0.100946E+01   0.000000E+00  -0.442057E+02   0.410200E-07   0.739831E-03  -0.702847E-06
   154   0.465182E+04   0.100336E+01   0.000000E+00  -0.441502E+02   0.407990E-07   0.731042E-03  -0.699304E-06
   155   0.467857E+04   0.996912E+00   0.000000E+00  -0.440706E+02   0.405794E-07   0.722424E-03  -0.696358E-06
   156   0.470505E+04   0.990112E+00   0.000000E+00  -0.439670E+02   0.403611E-07   0.713973E-03  -0.693938E-06
   157   0.473155E+04   0.982960E+00   0.000000E+00  -0.438379E+02   0.401442E-07   0.705685E-03  -0.691973E-06
   158   0.475785E+04   0.975532E+00   0.000000E+00  -0.436839E+02   0.399285E-07   0.697558E-03  -0.690394E-06
   159   0.478394E+04   0.967677E+00   0.000000E+00  -0.435052E+02   0.397143E-07   0.689588E-03  -0.689130E-06
   160   0.480990E+04   0.959544E+00   0.000000E+00  -0.433002E+02   0.395014E-07   0.681771E-03  -0.688110E-06
   161   0.483571E+04   0.951208E+00   0.000000E+00  -0.430703E+02   0.392900E-07   0.674104E-03  -0.687264E-06
   162   0.486131E+04   0.942519E+00   0.000000E+00  -0.428157E+02   0.390799E-07   0.666585E-03  -0.686522E-06
   163   0.488683E+04   0.933551E+00   0.000000E+00  -0.425347E+02   0.388713E-07   0.659208E-03  -0.685815E-06
   164   0.491198E+04   0.924378E+00   0.000000E+00  -0.422289E+02   0.386641E-07   0.651972E-03  -0.685071E-06
   165   0.493706E+04   0.914926E+00   0.000000E+00  -0.418960E+02   0.384584E-07   0.644872E-03  -0.684220E-06
   166   0.496190E+04   0.905342E+00   0.000000E+00  -0.415375E+02   0.382542E-07   0.637905E-03  -0.683192E-06
   167   0.498659E+04   0.895404E+00   0.000000E+00  -0.411542E+02   0.380514E-07   0.631068E-03  -0.681918E-06
   168   0.501089E+04   0.885483E+00   0.000000E+00  -0.407437E+02   0.378502E-07   0.624357E-03  -0.680326E-06
   169   0.503495E+04   0.875282E+00   0.000000E+00  -0.403062E+02   0.376505E-07   0.617769E-03  -0.678347E-06
   170   0.505876E+04   0.865022E+00   0.000000E+00  -0.398431E+02   0.374523E-07   0.611301E-03  -0.675910E-06
   171   0.508219E+04   0.854704E+00   0.000000E+00  -0.393520E+02   0.372557E-07   0.604949E-03  -0.672946E-06
   172   0.510528E+04   0.844252E+00   0.000000E+00  -0.388347E+02   0.370607E-07   0.598711E-03  -0.669384E-06
   173   0.512798E+04   0.833668E+00   0.000000E+00  -0.382909E+02   0.368673E-07   0.592581E-03  -0.665154E-06
   174   0.515042E+04   0.823246E+00   0.000000E+00  -0.377207E+02   0.366755E-07   0.586558E-03  -0.660187E-06
   175   0.517253E+04   0.812691E+00   0.000000E+00  -0.371234E+02   0.364853E-07   0.580637E-03  -0.654411E-06
   176   0.519415E+04   0.802224E+00   0.000000E+00  -0.364990E+02   0.362967E-07   0.574817E-03  -0.647776E-06
   177   0.521544E+04   0.791771E+00   0.000000E+00  -0.358489E+02   0.361098E-07   0.569093E-03  -0.640301E-06
   178   0.523631E+04   0.781553E+00   0.000000E+00  -0.351716E+02   0.359245E-07   0.563464E-03  -0.632028E-06
   179   0.525678E+04   0.771272E+00   0.000000E+00  -0.344673E+02   0.357408E-07   0.557928E-03  -0.622994E-06
   180   0.527698E+04   0.761151E+00   0.000000E+00  -0.337372E+02   0.355587E-07   0.552483E-03  -0.613238E-06
   181   0.529670E+04   0.751189E+00   0.000000E+00  -0.329816E+02   0.353782E-07   0.547127E-03  -0.602801E-06
   182   0.531600E+04   0.741460E+00   0.000000E+00  -0.321988E+02   0.351993E-07   0.541857E-03  -0.591721E-06
   183   0.533482E+04   0.731887E+00   0.000000E+00  -0.313905E+02   0.350220E-07   0.536672E-03  -0.580038E-06
   184   0.535330E+04   0.722546E+00   0.000000E+00  -0.305557E+02   0.348463E-07   0.531568E-03  -0.567791E-06
   185   0.537137E+04   0.713582E+00   0.000000E+00  -0.296968E+02   0.346722E-07   0.526545E-03  -0.555019E-06
   186   0.538866E+04   0.704856E+00   0.000000E+00  -0.288109E+02   0.344996E-07   0.521599E-03  -0.541760E-06
   187   0.540584E+04   0.696506E+00   0.000000E+00  -0.278993E+02   0.343285E-07   0.516730E-03  -0.528055E-06
   188   0.542252E+04   0.688518E+00   0.000000E+00  -0.269637E+02   0.341590E-07   0.511933E-03  -0.513943E-06
   189   0.543865E+04   0.680927E+00   0.000000E+00  -0.260024E+02   0.339911E-07   0.507208E-03  -0.499462E-06
   190   0.545467E+04   0.673785E+00   0.000000E+00  -0.250178E+02   0.338246E-07   0.502553E-03  -0.484652E-06
