#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.311172E+04   0.467894E-01   0.000000E+00   0.518606E+00   0.112861E-07   0.376586E-02  -0.949294E-05
     3   0.319262E+04   0.727682E-01   0.000000E+00  -0.130705E+00   0.124264E-07   0.410662E-02  -0.101961E-04
     4   0.319412E+04   0.788664E-01   0.000000E+00   0.365153E+00   0.135503E-07   0.429157E-02  -0.833757E-05
     5   0.315073E+04   0.696840E-01   0.000000E+00   0.186672E+01   0.146135E-07   0.439089E-02  -0.479674E-05
     6   0.307936E+04   0.559539E-01   0.000000E+00   0.397275E+01   0.156059E-07   0.443830E-02  -0.307452E-06
     7   0.299245E+04   0.464153E-01   0.000000E+00   0.621284E+01   0.165331E-07   0.445329E-02   0.445523E-05
     8   0.289646E+04   0.442453E-01   0.000000E+00   0.818269E+01   0.173994E-07   0.444578E-02   0.889807E-05
     9   0.279643E+04   0.476094E-01   0.000000E+00   0.961405E+01   0.182110E-07   0.442288E-02   0.125678E-04
    10   0.269809E+04   0.523803E-01   0.000000E+00   0.104018E+02   0.189706E-07   0.439061E-02   0.152052E-04
    11   0.260819E+04   0.548665E-01   0.000000E+00   0.105752E+02   0.196878E-07   0.435658E-02   0.167532E-04
    12   0.252867E+04   0.533182E-01   0.000000E+00   0.102382E+02   0.203607E-07   0.432254E-02   0.172754E-04
    13   0.245562E+04   0.481223E-01   0.000000E+00   0.954103E+01   0.209918E-07   0.428749E-02   0.169403E-04
    14   0.238590E+04   0.409338E-01   0.000000E+00   0.864118E+01   0.215851E-07   0.425043E-02   0.159570E-04
    15   0.231973E+04   0.335246E-01   0.000000E+00   0.769536E+01   0.221421E-07   0.421019E-02   0.146363E-04
    16   0.225806E+04   0.274112E-01   0.000000E+00   0.684315E+01   0.226641E-07   0.416629E-02   0.132799E-04
    17   0.220148E+04   0.231919E-01   0.000000E+00   0.615284E+01   0.231541E-07   0.412063E-02   0.120756E-04
    18   0.214956E+04   0.209142E-01   0.000000E+00   0.566277E+01   0.236150E-07   0.407515E-02   0.111498E-04
    19   0.210273E+04   0.201890E-01   0.000000E+00   0.535617E+01   0.240473E-07   0.402959E-02   0.105018E-04
    20   0.205880E+04   0.205737E-01   0.000000E+00   0.519679E+01   0.244514E-07   0.398333E-02   0.101020E-04
    21   0.201810E+04   0.215802E-01   0.000000E+00   0.514006E+01   0.248301E-07   0.393659E-02   0.992704E-05
