#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.232912E+04   0.388120E-01   0.000000E+00  -0.152934E+00   0.146251E-07   0.404564E-02  -0.842007E-05
     3   0.243157E+04   0.635279E-01   0.000000E+00  -0.601487E+00   0.167740E-07   0.436118E-02  -0.954527E-05
     4   0.245138E+04   0.703279E-01   0.000000E+00  -0.120954E+00   0.187662E-07   0.453121E-02  -0.811936E-05
     5   0.242576E+04   0.622441E-01   0.000000E+00   0.111382E+01   0.205910E-07   0.461987E-02  -0.493866E-05
     6   0.237408E+04   0.488606E-01   0.000000E+00   0.276942E+01   0.222568E-07   0.465806E-02  -0.717701E-06
     7   0.230926E+04   0.385318E-01   0.000000E+00   0.448091E+01   0.237851E-07   0.466426E-02   0.385368E-05
     8   0.223749E+04   0.346661E-01   0.000000E+00   0.594574E+01   0.251912E-07   0.464765E-02   0.815079E-05
     9   0.216287E+04   0.359810E-01   0.000000E+00   0.696920E+01   0.264903E-07   0.461481E-02   0.116873E-04
    10   0.208981E+04   0.389456E-01   0.000000E+00   0.748640E+01   0.276905E-07   0.457172E-02   0.141847E-04
    11   0.202354E+04   0.403077E-01   0.000000E+00   0.753687E+01   0.288090E-07   0.452633E-02   0.155831E-04
    12   0.196618E+04   0.385229E-01   0.000000E+00   0.721502E+01   0.298457E-07   0.448070E-02   0.159494E-04
    13   0.191450E+04   0.338691E-01   0.000000E+00   0.663979E+01   0.308069E-07   0.443420E-02   0.154534E-04
    14   0.186588E+04   0.277960E-01   0.000000E+00   0.593195E+01   0.317010E-07   0.438611E-02   0.143095E-04
    15   0.182046E+04   0.217649E-01   0.000000E+00   0.521030E+01   0.325322E-07   0.433521E-02   0.128498E-04
    16   0.177888E+04   0.169876E-01   0.000000E+00   0.457957E+01   0.333040E-07   0.428093E-02   0.113974E-04
    17   0.174161E+04   0.138856E-01   0.000000E+00   0.408698E+01   0.340220E-07   0.422521E-02   0.101443E-04
    18   0.170812E+04   0.123957E-01   0.000000E+00   0.375661E+01   0.346913E-07   0.417005E-02   0.921413E-05
    19   0.167889E+04   0.121540E-01   0.000000E+00   0.357080E+01   0.353132E-07   0.411516E-02   0.859195E-05
    20   0.165184E+04   0.127875E-01   0.000000E+00   0.349739E+01   0.358890E-07   0.405991E-02   0.823477E-05
    21   0.162728E+04   0.139208E-01   0.000000E+00   0.350237E+01   0.364234E-07   0.400447E-02   0.812093E-05
    22   0.160550E+04   0.152835E-01   0.000000E+00   0.354991E+01   0.369210E-07   0.394920E-02   0.821229E-05
    23   0.158626E+04   0.166684E-01   0.000000E+00   0.360358E+01   0.373834E-07   0.389442E-02   0.838240E-05
    24   0.156953E+04   0.178862E-01   0.000000E+00   0.363148E+01   0.378115E-07   0.384043E-02   0.849534E-05
    25   0.155516E+04   0.189282E-01   0.000000E+00   0.362020E+01   0.382079E-07   0.378735E-02   0.846091E-05
