#    L    TT             EE             BB             TE          
     2   0.367053E+04   0.502774E-01   0.121052E-05  -0.109264E+01
     3   0.352104E+04   0.854968E-01   0.242137E-05   0.336775E+00
     4   0.323044E+04   0.964285E-01   0.403634E-05   0.204427E+01
     5   0.294310E+04   0.849200E-01   0.605585E-05   0.308225E+01
     6   0.270173E+04   0.620862E-01   0.848044E-05   0.340418E+01
     7   0.250744E+04   0.391350E-01   0.113107E-04   0.324407E+01
     8   0.234880E+04   0.225269E-01   0.145474E-04   0.285114E+01
     9   0.221967E+04   0.134112E-01   0.181913E-04   0.240324E+01
    10   0.211414E+04   0.970348E-02   0.222433E-04   0.199730E+01
    11   0.202720E+04   0.855038E-02   0.267044E-04   0.168900E+01
    12   0.195555E+04   0.797213E-02   0.315755E-04   0.149678E+01
    13   0.189514E+04   0.712133E-02   0.368578E-04   0.139808E+01
    14   0.184321E+04   0.620012E-02   0.425523E-04   0.136220E+01
    15   0.179872E+04   0.549642E-02   0.486603E-04   0.136833E+01
    16   0.176091E+04   0.521364E-02   0.551830E-04   0.140016E+01
    17   0.172902E+04   0.535148E-02   0.621215E-04   0.144625E+01
    18   0.170149E+04   0.567129E-02   0.694771E-04   0.149707E+01
    19   0.167862E+04   0.603317E-02   0.772511E-04   0.153926E+01
    20   0.165824E+04   0.640900E-02   0.854447E-04   0.156144E+01
    21   0.164043E+04   0.685189E-02   0.940592E-04   0.157859E+01
    22   0.162523E+04   0.750187E-02   0.103096E-03   0.160567E+01
    23   0.161223E+04   0.840608E-02   0.112555E-03   0.163622E+01
    24   0.160129E+04   0.955118E-02   0.122439E-03   0.166092E+01
    25   0.159214E+04   0.109461E-01   0.132749E-03   0.168042E+01
    26   0.158442E+04   0.125622E-01   0.143485E-03   0.170036E+01
    27   0.157822E+04   0.143609E-01   0.154648E-03   0.172940E+01
    28   0.157327E+04   0.163343E-01   0.166240E-03   0.177443E+01
    29   0.156960E+04   0.184899E-01   0.178261E-03   0.182714E+01
    30   0.156710E+04   0.208412E-01   0.190713E-03   0.187519E+01
    31   0.156560E+04   0.233712E-01   0.203594E-03   0.191142E+01
    32   0.156527E+04   0.260526E-01   0.216908E-03   0.193088E+01
    33   0.156603E+04   0.288960E-01   0.230653E-03   0.193248E+01
    34   0.156764E+04   0.319317E-01   0.244830E-03   0.191796E+01
    35   0.157002E+04   0.351821E-01   0.259440E-03   0.189345E+01
    36   0.157308E+04   0.386687E-01   0.274482E-03   0.186336E+01
    37   0.157680E+04   0.423842E-01   0.289958E-03   0.182455E+01
    38   0.158146E+04   0.463250E-01   0.305867E-03   0.177511E+01
    39   0.158701E+04   0.505024E-01   0.322209E-03   0.171665E+01
    40   0.159314E+04   0.549371E-01   0.338984E-03   0.165151E+01
    41   0.159992E+04   0.596497E-01   0.356192E-03   0.158094E+01
    42   0.160709E+04   0.646415E-01   0.373832E-03   0.150292E+01
    43   0.161479E+04   0.699087E-01   0.391905E-03   0.141461E+01
    44   0.162283E+04   0.754325E-01   0.410410E-03   0.131408E+01
    45   0.163155E+04   0.812047E-01   0.429347E-03   0.119943E+01
    46   0.164088E+04   0.872219E-01   0.448714E-03   0.106757E+01
    47   0.165066E+04   0.934865E-01   0.468512E-03   0.920236E+00
    48   0.166083E+04   0.100010E+00   0.488740E-03   0.763088E+00
    49   0.167147E+04   0.106780E+00   0.509398E-03   0.601168E+00
