#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.213168E+04   0.375541E-01   0.000000E+00  -0.197301E+00   0.161212E-07   0.411538E-02  -0.838753E-05
     3   0.222371E+04   0.620666E-01   0.000000E+00  -0.602293E+00   0.186900E-07   0.443382E-02  -0.964556E-05
     4   0.223931E+04   0.689583E-01   0.000000E+00  -0.161510E+00   0.210490E-07   0.460377E-02  -0.834509E-05
     5   0.221361E+04   0.609092E-01   0.000000E+00   0.954532E+00   0.231984E-07   0.469046E-02  -0.526488E-05
     6   0.216485E+04   0.472661E-01   0.000000E+00   0.243838E+01   0.251527E-07   0.472552E-02  -0.111608E-05
     7   0.210502E+04   0.363499E-01   0.000000E+00   0.395960E+01   0.269389E-07   0.472796E-02   0.340587E-05
     8   0.203964E+04   0.316931E-01   0.000000E+00   0.524836E+01   0.285767E-07   0.470710E-02   0.766562E-05
     9   0.197228E+04   0.322078E-01   0.000000E+00   0.613357E+01   0.300848E-07   0.466958E-02   0.111659E-04
    10   0.190676E+04   0.345477E-01   0.000000E+00   0.656267E+01   0.314735E-07   0.462146E-02   0.136224E-04
    11   0.184767E+04   0.355814E-01   0.000000E+00   0.657732E+01   0.327633E-07   0.457088E-02   0.149751E-04
    12   0.179708E+04   0.338041E-01   0.000000E+00   0.626743E+01   0.339547E-07   0.452006E-02   0.152928E-04
    13   0.175192E+04   0.294327E-01   0.000000E+00   0.574045E+01   0.350558E-07   0.446852E-02   0.147460E-04
    14   0.170977E+04   0.238273E-01   0.000000E+00   0.510404E+01   0.360769E-07   0.441563E-02   0.135508E-04
    15   0.167070E+04   0.183336E-01   0.000000E+00   0.446351E+01   0.370235E-07   0.436018E-02   0.120474E-04
    16   0.163532E+04   0.140539E-01   0.000000E+00   0.391127E+01   0.379000E-07   0.430153E-02   0.105666E-04
    17   0.160400E+04   0.113506E-01   0.000000E+00   0.348722E+01   0.387130E-07   0.424163E-02   0.930179E-05
    18   0.157618E+04   0.101259E-01   0.000000E+00   0.321060E+01   0.394687E-07   0.418250E-02   0.837561E-05
    19   0.155237E+04   0.100295E-01   0.000000E+00   0.306368E+01   0.401689E-07   0.412385E-02   0.776773E-05
    20   0.153051E+04   0.107175E-01   0.000000E+00   0.301603E+01   0.408151E-07   0.406503E-02   0.743031E-05
    21   0.151089E+04   0.118573E-01   0.000000E+00   0.303759E+01   0.414129E-07   0.400617E-02   0.734258E-05
    22   0.149382E+04   0.132214E-01   0.000000E+00   0.309687E+01   0.419678E-07   0.394763E-02   0.746723E-05
    23   0.147905E+04   0.146317E-01   0.000000E+00   0.316128E+01   0.424816E-07   0.388974E-02   0.767316E-05
    24   0.146656E+04   0.159202E-01   0.000000E+00   0.320214E+01   0.429558E-07   0.383282E-02   0.781896E-05
    25   0.145620E+04   0.170800E-01   0.000000E+00   0.320762E+01   0.433931E-07   0.377699E-02   0.781103E-05
    26   0.144769E+04   0.181226E-01   0.000000E+00   0.317446E+01   0.437967E-07   0.372232E-02   0.759799E-05
    27   0.144113E+04   0.191349E-01   0.000000E+00   0.310975E+01   0.441689E-07   0.366870E-02   0.724810E-05
    28   0.143626E+04   0.202483E-01   0.000000E+00   0.302454E+01   0.445114E-07   0.361604E-02   0.684567E-05
    29   0.143298E+04   0.215810E-01   0.000000E+00   0.293044E+01   0.448239E-07   0.356439E-02   0.642251E-05
    30   0.143109E+04   0.232382E-01   0.000000E+00   0.283657E+01   0.451063E-07   0.351382E-02   0.599334E-05
    31   0.143036E+04   0.252467E-01   0.000000E+00   0.274806E+01   0.453620E-07   0.346423E-02   0.555729E-05
    32   0.143094E+04   0.276001E-01   0.000000E+00   0.266849E+01   0.455945E-07   0.341548E-02   0.512187E-05
    33   0.143271E+04   0.302860E-01   0.000000E+00   0.259933E+01   0.458048E-07   0.336738E-02   0.474343E-05
    34   0.143542E+04   0.332970E-01   0.000000E+00   0.254228E+01   0.459936E-07   0.331978E-02   0.447975E-05
    35   0.143898E+04   0.366035E-01   0.000000E+00   0.249884E+01   0.461619E-07   0.327270E-02   0.434633E-05
