#    L    TT             EE             BB             TE          
     2   0.284489E+04   0.417938E-01   0.520046E-06  -0.131872E-01
     3   0.296545E+04   0.668967E-01   0.104023E-05  -0.563676E+00
     4   0.298940E+04   0.735072E-01   0.173401E-05   0.242158E-01
     5   0.295895E+04   0.654405E-01   0.260156E-05   0.155070E+01
     6   0.289609E+04   0.527558E-01   0.364311E-05   0.361235E+01
     7   0.281585E+04   0.438332E-01   0.485891E-05   0.576176E+01
     8   0.272583E+04   0.417847E-01   0.624926E-05   0.762349E+01
     9   0.263146E+04   0.449034E-01   0.781448E-05   0.895355E+01
    10   0.253847E+04   0.492679E-01   0.955493E-05   0.966340E+01
    11   0.245345E+04   0.513787E-01   0.114710E-04   0.979062E+01
    12   0.237855E+04   0.496160E-01   0.135632E-04   0.944119E+01
    13   0.231007E+04   0.443912E-01   0.158318E-04   0.875977E+01
    14   0.224500E+04   0.373461E-01   0.182774E-04   0.789592E+01
    15   0.218352E+04   0.301843E-01   0.209005E-04   0.699718E+01
    16   0.212647E+04   0.243460E-01   0.237015E-04   0.619430E+01
    17   0.207440E+04   0.203760E-01   0.266809E-04   0.554977E+01
    18   0.202687E+04   0.182837E-01   0.298393E-04   0.509777E+01
    19   0.198431E+04   0.176789E-01   0.331773E-04   0.482071E+01
    20   0.194454E+04   0.181312E-01   0.366952E-04   0.468291E+01
    21   0.190787E+04   0.191794E-01   0.403936E-04   0.464235E+01
    22   0.187463E+04   0.204677E-01   0.442731E-04   0.465435E+01
    23   0.184454E+04   0.217309E-01   0.483341E-04   0.467483E+01
    24   0.181753E+04   0.227383E-01   0.525771E-04   0.466536E+01
    25   0.179345E+04   0.234776E-01   0.570026E-04   0.460946E+01
    26   0.177198E+04   0.239782E-01   0.616110E-04   0.450166E+01
    27   0.175320E+04   0.243804E-01   0.664028E-04   0.435115E+01
    28   0.173678E+04   0.248747E-01   0.713782E-04   0.417268E+01
    29   0.172257E+04   0.256251E-01   0.765378E-04   0.398332E+01
    30   0.171030E+04   0.267744E-01   0.818818E-04   0.379778E+01
    31   0.169971E+04   0.283681E-01   0.874105E-04   0.362526E+01
    32   0.169091E+04   0.304085E-01   0.931242E-04   0.347250E+01
    33   0.168375E+04   0.328719E-01   0.990232E-04   0.334201E+01
    34   0.167794E+04   0.357333E-01   0.105108E-03   0.323560E+01
    35   0.167337E+04   0.389384E-01   0.111378E-03   0.315333E+01
    36   0.166993E+04   0.424310E-01   0.117833E-03   0.309055E+01
    37   0.166766E+04   0.461417E-01   0.124475E-03   0.302940E+01
    38   0.166685E+04   0.500202E-01   0.131302E-03   0.295456E+01
