#    L    TT             EE             BB             TE          
     2   0.213168E+04   0.375548E-01   0.687797E-06  -0.197301E+00
     3   0.222371E+04   0.620679E-01   0.137577E-05  -0.602293E+00
     4   0.223932E+04   0.689606E-01   0.229336E-05  -0.161511E+00
     5   0.221362E+04   0.609126E-01   0.344078E-05   0.954532E+00
     6   0.216486E+04   0.472709E-01   0.481835E-05   0.243838E+01
     7   0.210503E+04   0.363563E-01   0.642639E-05   0.395959E+01
     8   0.203965E+04   0.317014E-01   0.826531E-05   0.524836E+01
     9   0.197229E+04   0.322181E-01   0.103356E-04   0.613357E+01
    10   0.190678E+04   0.345603E-01   0.126376E-04   0.656267E+01
    11   0.184769E+04   0.355965E-01   0.151720E-04   0.657731E+01
    12   0.179710E+04   0.338220E-01   0.179394E-04   0.626742E+01
    13   0.175195E+04   0.294536E-01   0.209402E-04   0.574044E+01
    14   0.170980E+04   0.238514E-01   0.241752E-04   0.510403E+01
    15   0.167075E+04   0.183612E-01   0.276450E-04   0.446349E+01
    16   0.163537E+04   0.140852E-01   0.313502E-04   0.391125E+01
    17   0.160405E+04   0.113858E-01   0.352916E-04   0.348720E+01
    18   0.157624E+04   0.101654E-01   0.394698E-04   0.321056E+01
    19   0.155243E+04   0.100734E-01   0.438856E-04   0.306363E+01
    20   0.153058E+04   0.107660E-01   0.485396E-04   0.301598E+01
    21   0.151097E+04   0.119107E-01   0.534325E-04   0.303752E+01
    22   0.149391E+04   0.132799E-01   0.585650E-04   0.309680E+01
    23   0.147914E+04   0.146956E-01   0.639378E-04   0.316119E+01
    24   0.146666E+04   0.159896E-01   0.695515E-04   0.320204E+01
    25   0.145630E+04   0.171553E-01   0.754067E-04   0.320750E+01
    26   0.144780E+04   0.182039E-01   0.815040E-04   0.317433E+01
    27   0.144126E+04   0.192226E-01   0.878439E-04   0.310960E+01
    28   0.143639E+04   0.203425E-01   0.944271E-04   0.302437E+01
    29   0.143312E+04   0.216820E-01   0.101254E-03   0.293024E+01
    30   0.143124E+04   0.233462E-01   0.108325E-03   0.283635E+01
    31   0.143052E+04   0.253619E-01   0.115640E-03   0.274782E+01
    32   0.143111E+04   0.277228E-01   0.123200E-03   0.266822E+01
    33   0.143289E+04   0.304164E-01   0.131006E-03   0.259903E+01
    34   0.143561E+04   0.334353E-01   0.139057E-03   0.254195E+01
    35   0.143918E+04   0.367500E-01   0.147353E-03   0.249848E+01
    36   0.144352E+04   0.403287E-01   0.155895E-03   0.246609E+01
    37   0.144866E+04   0.441200E-01   0.164684E-03   0.243012E+01
    38   0.145491E+04   0.480869E-01   0.173718E-03   0.237831E+01
    39   0.146219E+04   0.522426E-01   0.182998E-03   0.231131E+01
    40   0.147015E+04   0.566182E-01   0.192524E-03   0.223280E+01
    41   0.147883E+04   0.612444E-01   0.202296E-03   0.214528E+01
    42   0.148795E+04   0.661307E-01   0.212313E-03   0.204722E+01
    43   0.149765E+04   0.712809E-01   0.222576E-03   0.193614E+01
    44   0.150774E+04   0.766839E-01   0.233085E-03   0.181044E+01
    45   0.151857E+04   0.823392E-01   0.243839E-03   0.166861E+01
    46   0.153005E+04   0.882495E-01   0.254838E-03   0.150803E+01
    47   0.154199E+04   0.944177E-01   0.266081E-03   0.133158E+01
    48   0.155433E+04   0.100854E+00   0.277570E-03   0.114619E+01
    49   0.156710E+04   0.107546E+00   0.289302E-03   0.958174E+00
    50   0.158051E+04   0.114474E+00   0.301278E-03   0.767077E+00
    51   0.159434E+04   0.121613E+00   0.313498E-03   0.570250E+00
    52   0.160879E+04   0.129045E+00   0.325961E-03   0.361911E+00
    53   0.162349E+04   0.136912E+00   0.338666E-03   0.137349E+00
    54   0.163836E+04   0.145202E+00   0.351615E-03  -0.100182E+00
    55   0.165363E+04   0.153887E+00   0.364806E-03  -0.347311E+00
    56   0.166951E+04   0.162820E+00   0.378239E-03  -0.606577E+00
    57   0.168592E+04   0.171894E+00   0.391914E-03  -0.877850E+00
    58   0.170282E+04   0.181124E+00   0.405831E-03  -0.116157E+01
    59   0.172007E+04   0.190550E+00   0.419990E-03  -0.145819E+01
    60   0.173764E+04   0.200230E+00   0.434390E-03  -0.176673E+01
    61   0.175580E+04   0.210261E+00   0.449031E-03  -0.208616E+01
    62   0.177397E+04   0.220624E+00   0.463914E-03  -0.241751E+01
    63   0.179235E+04   0.231275E+00   0.479038E-03  -0.276198E+01
    64   0.181124E+04   0.242220E+00   0.494404E-03  -0.312100E+01
    65   0.183027E+04   0.253430E+00   0.510011E-03  -0.349539E+01
    66   0.184973E+04   0.264831E+00   0.525860E-03  -0.388350E+01
    67   0.186944E+04   0.276426E+00   0.541951E-03  -0.428290E+01
    68   0.188970E+04   0.288255E+00   0.558284E-03  -0.469224E+01
    69   0.191025E+04   0.300279E+00   0.574860E-03  -0.511008E+01
    70   0.193123E+04   0.312538E+00   0.591679E-03  -0.553843E+01
    71   0.195248E+04   0.325023E+00   0.608741E-03  -0.597980E+01
    72   0.197403E+04   0.337711E+00   0.626048E-03  -0.643477E+01
    73   0.199583E+04   0.350575E+00   0.643599E-03  -0.690298E+01
    74   0.201793E+04   0.363608E+00   0.661396E-03  -0.738257E+01
    75   0.204042E+04   0.376825E+00   0.679439E-03  -0.787108E+01
    76   0.206326E+04   0.390230E+00   0.697728E-03  -0.836719E+01
    77   0.208649E+04   0.403813E+00   0.716266E-03  -0.887127E+01
    78   0.211015E+04   0.417594E+00   0.735052E-03  -0.938556E+01
    79   0.213403E+04   0.431512E+00   0.754088E-03  -0.990709E+01
    80   0.215825E+04   0.445566E+00   0.773374E-03  -0.104381E+02
    81   0.218269E+04   0.459701E+00   0.792912E-03  -0.109798E+02
    82   0.220743E+04   0.473939E+00   0.812703E-03  -0.115313E+02
    83   0.223241E+04   0.488256E+00   0.832748E-03  -0.120922E+02
    84   0.225771E+04   0.502648E+00   0.853048E-03  -0.126606E+02
    85   0.228319E+04   0.517092E+00   0.873605E-03  -0.132376E+02
    86   0.230893E+04   0.531602E+00   0.894419E-03  -0.138221E+02
    87   0.233516E+04   0.546147E+00   0.915492E-03  -0.144129E+02
    88   0.236142E+04   0.560745E+00   0.936825E-03  -0.150099E+02
    89   0.238808E+04   0.575382E+00   0.958420E-03  -0.156142E+02
    90   0.241500E+04   0.590022E+00   0.980278E-03  -0.162225E+02
    91   0.244210E+04   0.604660E+00   0.100240E-02  -0.168353E+02
    92   0.246952E+04   0.619281E+00   0.102479E-02  -0.174521E+02
    93   0.249727E+04   0.633879E+00   0.104744E-02  -0.180727E+02
    94   0.252512E+04   0.648416E+00   0.107037E-02  -0.186959E+02
    95   0.255329E+04   0.662894E+00   0.109356E-02  -0.193225E+02
    96   0.258149E+04   0.677298E+00   0.111703E-02  -0.199518E+02
    97   0.261016E+04   0.691613E+00   0.114077E-02  -0.205832E+02
    98   0.263908E+04   0.705834E+00   0.116478E-02  -0.212145E+02
    99   0.266810E+04   0.719922E+00   0.118907E-02  -0.218488E+02
   100   0.269744E+04   0.733880E+00   0.121364E-02  -0.224817E+02
   101   0.272695E+04   0.747766E+00   0.123849E-02  -0.231164E+02
   102   0.275701E+04   0.761433E+00   0.126361E-02  -0.237506E+02
   103   0.278702E+04   0.774955E+00   0.128903E-02  -0.243852E+02
   104   0.281727E+04   0.788334E+00   0.131472E-02  -0.250173E+02
   105   0.284770E+04   0.801495E+00   0.134070E-02  -0.256485E+02
   106   0.287837E+04   0.814514E+00   0.136696E-02  -0.262781E+02
   107   0.290898E+04   0.827241E+00   0.139352E-02  -0.269048E+02
   108   0.293999E+04   0.839753E+00   0.142036E-02  -0.275294E+02
   109   0.297117E+04   0.851975E+00   0.144750E-02  -0.281504E+02
   110   0.300245E+04   0.863908E+00   0.147493E-02  -0.287665E+02
   111   0.303389E+04   0.875627E+00   0.150266E-02  -0.293793E+02
   112   0.306550E+04   0.887058E+00   0.153068E-02  -0.299880E+02
   113   0.309735E+04   0.898201E+00   0.155900E-02  -0.305910E+02
   114   0.312929E+04   0.908982E+00   0.158762E-02  -0.311876E+02
   115   0.316147E+04   0.919551E+00   0.161655E-02  -0.317777E+02
   116   0.319367E+04   0.929685E+00   0.164577E-02  -0.323606E+02
   117   0.322617E+04   0.939459E+00   0.167531E-02  -0.329354E+02
   118   0.325883E+04   0.949021E+00   0.170515E-02  -0.335029E+02
   119   0.329150E+04   0.958224E+00   0.173529E-02  -0.340608E+02
   120   0.332432E+04   0.966919E+00   0.176576E-02  -0.346091E+02
   121   0.335716E+04   0.975404E+00   0.179653E-02  -0.351477E+02
   122   0.339007E+04   0.983382E+00   0.182762E-02  -0.356759E+02
   123   0.342306E+04   0.990928E+00   0.185903E-02  -0.361935E+02
   124   0.345613E+04   0.998117E+00   0.189075E-02  -0.366976E+02
   125   0.348920E+04   0.100487E+01   0.192280E-02  -0.371904E+02
   126   0.352234E+04   0.101127E+01   0.195517E-02  -0.376711E+02
   127   0.355548E+04   0.101717E+01   0.198787E-02  -0.381389E+02
   128   0.358862E+04   0.102271E+01   0.202089E-02  -0.385931E+02
   129   0.362183E+04   0.102775E+01   0.205425E-02  -0.390327E+02
   130   0.365503E+04   0.103228E+01   0.208794E-02  -0.394572E+02
   131   0.368822E+04   0.103646E+01   0.212196E-02  -0.398679E+02
   132   0.372149E+04   0.104014E+01   0.215633E-02  -0.402618E+02
   133   0.375467E+04   0.104338E+01   0.219103E-02  -0.406413E+02
   134   0.378785E+04   0.104620E+01   0.222607E-02  -0.410020E+02
   135   0.382103E+04   0.104852E+01   0.226146E-02  -0.413469E+02
   136   0.385405E+04   0.105034E+01   0.229719E-02  -0.416722E+02
   137   0.388708E+04   0.105173E+01   0.233328E-02  -0.419804E+02
   138   0.392003E+04   0.105262E+01   0.236971E-02  -0.422699E+02
   139   0.395275E+04   0.105316E+01   0.240651E-02  -0.425401E+02
   140   0.398555E+04   0.105312E+01   0.244365E-02  -0.427917E+02
   141   0.401813E+04   0.105259E+01   0.248116E-02  -0.430226E+02
   142   0.405072E+04   0.105163E+01   0.251903E-02  -0.432335E+02
   143   0.408323E+04   0.105024E+01   0.255726E-02  -0.434246E+02
   144   0.411552E+04   0.104836E+01   0.259586E-02  -0.435951E+02
   145   0.414767E+04   0.104612E+01   0.263483E-02  -0.437443E+02
   146   0.417990E+04   0.104332E+01   0.267416E-02  -0.438723E+02
   147   0.421177E+04   0.104016E+01   0.271387E-02  -0.439776E+02
   148   0.424350E+04   0.103651E+01   0.275396E-02  -0.440619E+02
   149   0.427516E+04   0.103244E+01   0.279442E-02  -0.441235E+02
   150   0.430653E+04   0.102802E+01   0.283526E-02  -0.441604E+02
   151   0.433777E+04   0.102317E+01   0.287647E-02  -0.441756E+02
