#    L    TT             EE             BB             TE          
     2   0.182325E+04   0.353878E-01   0.817134E-06  -0.253367E+00
     3   0.189560E+04   0.594967E-01   0.163449E-05  -0.579870E+00
     4   0.190194E+04   0.665738E-01   0.272462E-05  -0.195745E+00
     5   0.187421E+04   0.586678E-01   0.408784E-05   0.727583E+00
     6   0.182881E+04   0.446608E-01   0.572447E-05   0.192139E+01
     7   0.177608E+04   0.327761E-01   0.763495E-05   0.311309E+01
     8   0.172037E+04   0.267537E-01   0.981975E-05   0.409138E+01
     9   0.166434E+04   0.258612E-01   0.122794E-04   0.472981E+01
    10   0.161086E+04   0.271012E-01   0.150145E-04   0.500068E+01
    11   0.156331E+04   0.275758E-01   0.180257E-04   0.495152E+01
    12   0.152355E+04   0.258613E-01   0.213137E-04   0.466529E+01
    13   0.148885E+04   0.220625E-01   0.248791E-04   0.422879E+01
    14   0.145710E+04   0.173709E-01   0.287228E-04   0.372564E+01
    15   0.142832E+04   0.129113E-01   0.328455E-04   0.323583E+01
    16   0.140298E+04   0.957596E-02   0.372481E-04   0.282848E+01
    17   0.138133E+04   0.761366E-02   0.419313E-04   0.252946E+01
    18   0.136273E+04   0.686077E-02   0.468960E-04   0.234861E+01
    19   0.134773E+04   0.699512E-02   0.521430E-04   0.226817E+01
    20   0.133433E+04   0.773138E-02   0.576732E-04   0.226109E+01
    21   0.132281E+04   0.882281E-02   0.634873E-04   0.230510E+01
    22   0.131344E+04   0.101278E-01   0.695862E-04   0.237737E+01
    23   0.130597E+04   0.115273E-01   0.759708E-04   0.245286E+01
    24   0.130040E+04   0.128961E-01   0.826417E-04   0.250940E+01
    25   0.129660E+04   0.142328E-01   0.895996E-04   0.253833E+01
    26   0.129427E+04   0.155383E-01   0.968454E-04   0.253802E+01
    27   0.129356E+04   0.168655E-01   0.104380E-03   0.251427E+01
    28   0.129419E+04   0.183075E-01   0.112203E-03   0.247583E+01
    29   0.129613E+04   0.199524E-01   0.120316E-03   0.243071E+01
    30   0.129919E+04   0.218806E-01   0.128719E-03   0.238443E+01
    31   0.130316E+04   0.241064E-01   0.137413E-03   0.233941E+01
    32   0.130821E+04   0.266171E-01   0.146397E-03   0.229709E+01
    33   0.131425E+04   0.294070E-01   0.155674E-03   0.225822E+01
    34   0.132103E+04   0.324798E-01   0.165241E-03   0.222434E+01
    35   0.132848E+04   0.358217E-01   0.175101E-03   0.219784E+01
    36   0.133653E+04   0.394163E-01   0.185253E-03   0.217750E+01
    37   0.134520E+04   0.432236E-01   0.195697E-03   0.215071E+01
    38   0.135482E+04   0.472153E-01   0.206434E-03   0.210718E+01
    39   0.136530E+04   0.514050E-01   0.217463E-03   0.204844E+01
    40   0.137631E+04   0.558228E-01   0.228784E-03   0.197877E+01
    41   0.138790E+04   0.604980E-01   0.240397E-03   0.190109E+01
    42   0.139981E+04   0.654375E-01   0.252302E-03   0.181376E+01
    43   0.141217E+04   0.706426E-01   0.264499E-03   0.171402E+01
    44   0.142481E+04   0.760994E-01   0.276988E-03   0.159998E+01
    45   0.143809E+04   0.818046E-01   0.289768E-03   0.146984E+01
