#    L    TT             EE             BB             TE          
     2   0.189940E+05   0.494637E-01   0.930698E-06  -0.228250E+01
     3   0.200148E+05   0.856013E-01   0.186156E-05  -0.134832E+01
     4   0.199892E+05   0.981328E-01   0.310295E-05   0.221461E+01
     5   0.195863E+05   0.877368E-01   0.465509E-05   0.523138E+01
     6   0.190939E+05   0.654513E-01   0.651823E-05   0.689961E+01
     7   0.185842E+05   0.426063E-01   0.869269E-05   0.739493E+01
     8   0.180578E+05   0.258625E-01   0.111788E-04   0.716467E+01
     9   0.175415E+05   0.164960E-01   0.139770E-04   0.661791E+01
    10   0.170384E+05   0.125075E-01   0.170877E-04   0.597379E+01
    11   0.165587E+05   0.110874E-01   0.205114E-04   0.538809E+01
    12   0.160999E+05   0.102545E-01   0.242486E-04   0.493062E+01
    13   0.156593E+05   0.917363E-02   0.282998E-04   0.459398E+01
    14   0.152363E+05   0.805870E-02   0.326656E-04   0.435152E+01
    15   0.148302E+05   0.718219E-02   0.373467E-04   0.416633E+01
    16   0.144404E+05   0.673252E-02   0.423436E-04   0.400830E+01
    17   0.140663E+05   0.672376E-02   0.476569E-04   0.388147E+01
    18   0.137066E+05   0.693018E-02   0.532874E-04   0.379083E+01
    19   0.133610E+05   0.718974E-02   0.592356E-04   0.370410E+01
    20   0.130268E+05   0.745433E-02   0.655023E-04   0.359197E+01
    21   0.127043E+05   0.780096E-02   0.720881E-04   0.348862E+01
    22   0.123935E+05   0.839261E-02   0.789936E-04   0.342716E+01
    23   0.120939E+05   0.925169E-02   0.862195E-04   0.337792E+01
    24   0.118048E+05   0.103354E-01   0.937665E-04   0.330425E+01
    25   0.115256E+05   0.116519E-01   0.101635E-03   0.320438E+01
    26   0.112556E+05   0.131810E-01   0.109826E-03   0.309446E+01
    27   0.109945E+05   0.149033E-01   0.118340E-03   0.302035E+01
    28   0.107418E+05   0.168262E-01   0.127177E-03   0.301970E+01
    29   0.104974E+05   0.189509E-01   0.136339E-03   0.306260E+01
    30   0.102610E+05   0.212800E-01   0.145824E-03   0.310563E+01
    31   0.100325E+05   0.237889E-01   0.155635E-03   0.312522E+01
    32   0.981185E+04   0.264451E-01   0.165771E-03   0.310729E+01
    33   0.959862E+04   0.292594E-01   0.176233E-03   0.305602E+01
    34   0.939224E+04   0.322640E-01   0.187022E-03   0.298152E+01
    35   0.919248E+04   0.354834E-01   0.198136E-03   0.289627E+01
    36   0.899913E+04   0.389414E-01   0.209578E-03   0.280985E+01
    37   0.881199E+04   0.426309E-01   0.221347E-03   0.272166E+01
    38   0.863117E+04   0.465484E-01   0.233443E-03   0.263090E+01
    39   0.845642E+04   0.507043E-01   0.245867E-03   0.253746E+01
    40   0.828723E+04   0.551185E-01   0.258618E-03   0.244116E+01
    41   0.812349E+04   0.598110E-01   0.271697E-03   0.234122E+01
    42   0.796478E+04   0.647833E-01   0.285105E-03   0.223518E+01
    43   0.781107E+04   0.700318E-01   0.298840E-03   0.212018E+01
    44   0.766204E+04   0.755382E-01   0.312903E-03   0.199425E+01
    45   0.751787E+04   0.812944E-01   0.327295E-03   0.185551E+01
    46   0.737835E+04   0.872974E-01   0.342014E-03   0.170080E+01
    47   0.724325E+04   0.935491E-01   0.357061E-03   0.153182E+01
    48   0.711246E+04   0.100060E+00   0.372437E-03   0.135414E+01
    49   0.698602E+04   0.106819E+00   0.388140E-03   0.117275E+01
    50   0.686410E+04   0.113807E+00   0.404172E-03   0.985832E+00
    51   0.674641E+04   0.120999E+00   0.420531E-03   0.789719E+00
    52   0.663301E+04   0.128478E+00   0.437217E-03   0.578901E+00
    53   0.652336E+04   0.136387E+00   0.454232E-03   0.349257E+00
    54   0.641718E+04   0.144714E+00   0.471574E-03   0.104638E+00
    55   0.631453E+04   0.153431E+00   0.489243E-03  -0.150993E+00
    56   0.621545E+04   0.162393E+00   0.507240E-03  -0.419619E+00
    57   0.611977E+04   0.171493E+00   0.525565E-03  -0.700706E+00
    58   0.602741E+04   0.180742E+00   0.544217E-03  -0.994324E+00
    59   0.593814E+04   0.190184E+00   0.563196E-03  -0.130057E+01
    60   0.585188E+04   0.199873E+00   0.582503E-03  -0.161810E+01
    61   0.576885E+04   0.209906E+00   0.602138E-03  -0.194557E+01
    62   0.568838E+04   0.220268E+00   0.622100E-03  -0.228402E+01
    63   0.561063E+04   0.230917E+00   0.642390E-03  -0.263471E+01
    64   0.553580E+04   0.241862E+00   0.663009E-03  -0.299914E+01
    65   0.546347E+04   0.253075E+00   0.683956E-03  -0.337818E+01
    66   0.539385E+04   0.264488E+00   0.705231E-03  -0.377022E+01
    67   0.532673E+04   0.276101E+00   0.726835E-03  -0.417267E+01
    68   0.526235E+04   0.287956E+00   0.748769E-03  -0.458399E+01
    69   0.520041E+04   0.300012E+00   0.771033E-03  -0.500257E+01
    70   0.514101E+04   0.312312E+00   0.793628E-03  -0.543021E+01
    71   0.508393E+04   0.324845E+00   0.816553E-03  -0.586943E+01
    72   0.502914E+04   0.337584E+00   0.839810E-03  -0.632160E+01
    73   0.497653E+04   0.350495E+00   0.863399E-03  -0.678733E+01
    74   0.492607E+04   0.363567E+00   0.887321E-03  -0.726573E+01
    75   0.487781E+04   0.376811E+00   0.911578E-03  -0.775532E+01
    76   0.483163E+04   0.390227E+00   0.936169E-03  -0.825543E+01
    77   0.478756E+04   0.403807E+00   0.961096E-03  -0.876574E+01
    78   0.474561E+04   0.417577E+00   0.986359E-03  -0.928752E+01
    79   0.470560E+04   0.431482E+00   0.101196E-02  -0.981681E+01
    80   0.466761E+04   0.445526E+00   0.103790E-02  -0.103548E+02
    81   0.463153E+04   0.459658E+00   0.106418E-02  -0.109020E+02
    82   0.459738E+04   0.473900E+00   0.109080E-02  -0.114574E+02
    83   0.456506E+04   0.488227E+00   0.111777E-02  -0.120209E+02
    84   0.453462E+04   0.502636E+00   0.114508E-02  -0.125906E+02
    85   0.450587E+04   0.517101E+00   0.117273E-02  -0.131678E+02
    86   0.447884E+04   0.531634E+00   0.120073E-02  -0.137516E+02
    87   0.445371E+04   0.546207E+00   0.122908E-02  -0.143412E+02
    88   0.442997E+04   0.560833E+00   0.125778E-02  -0.149366E+02
    89   0.440795E+04   0.575499E+00   0.128683E-02  -0.155393E+02
    90   0.438743E+04   0.590166E+00   0.131624E-02  -0.161465E+02
    91   0.436829E+04   0.604828E+00   0.134600E-02  -0.167590E+02
    92   0.435065E+04   0.619471E+00   0.137611E-02  -0.173759E+02
    93   0.433449E+04   0.634087E+00   0.140659E-02  -0.179973E+02
    94   0.431955E+04   0.648641E+00   0.143742E-02  -0.186218E+02
    95   0.430604E+04   0.663133E+00   0.146862E-02  -0.192502E+02
    96   0.429363E+04   0.677549E+00   0.150018E-02  -0.198818E+02
    97   0.428275E+04   0.691875E+00   0.153210E-02  -0.205158E+02
    98   0.427314E+04   0.706104E+00   0.156440E-02  -0.211500E+02
    99   0.426464E+04   0.720200E+00   0.159706E-02  -0.217876E+02
   100   0.425744E+04   0.734164E+00   0.163010E-02  -0.224239E+02
   101   0.425137E+04   0.748056E+00   0.166351E-02  -0.230622E+02
   102   0.424678E+04   0.761728E+00   0.169729E-02  -0.237001E+02
   103   0.424304E+04   0.775254E+00   0.173146E-02  -0.243384E+02
   104   0.424044E+04   0.788637E+00   0.176600E-02  -0.249742E+02
   105   0.423887E+04   0.801802E+00   0.180093E-02  -0.256091E+02
   106   0.423838E+04   0.814824E+00   0.183624E-02  -0.262423E+02
   107   0.423864E+04   0.827555E+00   0.187193E-02  -0.268723E+02
   108   0.424009E+04   0.840071E+00   0.190802E-02  -0.275000E+02
   109   0.424247E+04   0.852299E+00   0.194449E-02  -0.281239E+02
   110   0.424569E+04   0.864237E+00   0.198136E-02  -0.287426E+02
   111   0.424979E+04   0.875963E+00   0.201863E-02  -0.293575E+02
   112   0.425476E+04   0.887402E+00   0.205629E-02  -0.299679E+02
   113   0.426066E+04   0.898553E+00   0.209435E-02  -0.305724E+02
   114   0.426731E+04   0.909344E+00   0.213282E-02  -0.311701E+02
   115   0.427487E+04   0.919923E+00   0.217169E-02  -0.317610E+02
   116   0.428307E+04   0.930068E+00   0.221096E-02  -0.323445E+02
   117   0.429222E+04   0.939854E+00   0.225065E-02  -0.329197E+02
   118   0.430214E+04   0.949428E+00   0.229075E-02  -0.334873E+02
   119   0.431267E+04   0.958644E+00   0.233126E-02  -0.340452E+02
   120   0.432393E+04   0.967352E+00   0.237219E-02  -0.345933E+02
   121   0.433578E+04   0.975851E+00   0.241354E-02  -0.351315E+02
   122   0.434826E+04   0.983844E+00   0.245531E-02  -0.356593E+02
   123   0.436136E+04   0.991404E+00   0.249750E-02  -0.361764E+02
   124   0.437506E+04   0.998608E+00   0.254012E-02  -0.366800E+02
   125   0.438927E+04   0.100538E+01   0.258318E-02  -0.371722E+02
   126   0.440406E+04   0.101180E+01   0.262666E-02  -0.376524E+02
   127   0.441933E+04   0.101771E+01   0.267057E-02  -0.381197E+02
   128   0.443506E+04   0.102326E+01   0.271493E-02  -0.385734E+02
   129   0.445132E+04   0.102832E+01   0.275972E-02  -0.390127E+02
   130   0.446801E+04   0.103286E+01   0.280496E-02  -0.394369E+02
   131   0.448512E+04   0.103706E+01   0.285064E-02  -0.398475E+02
   132   0.450272E+04   0.104075E+01   0.289677E-02  -0.402415E+02
   133   0.452064E+04   0.104401E+01   0.294334E-02  -0.406212E+02
   134   0.453895E+04   0.104685E+01   0.299037E-02  -0.409821E+02
   135   0.455765E+04   0.104918E+01   0.303785E-02  -0.413274E+02
   136   0.457658E+04   0.105101E+01   0.308580E-02  -0.416532E+02
   137   0.459587E+04   0.105242E+01   0.313420E-02  -0.419619E+02
   138   0.461544E+04   0.105332E+01   0.318306E-02  -0.422521E+02
   139   0.463514E+04   0.105388E+01   0.323239E-02  -0.425230E+02
   140   0.465525E+04   0.105385E+01   0.328218E-02  -0.427754E+02
   141   0.467548E+04   0.105333E+01   0.333244E-02  -0.430071E+02
   142   0.469602E+04   0.105239E+01   0.338318E-02  -0.432190E+02
   143   0.471681E+04   0.105102E+01   0.343439E-02  -0.434109E+02
   144   0.473768E+04   0.104915E+01   0.348607E-02  -0.435824E+02
   145   0.475870E+04   0.104693E+01   0.353823E-02  -0.437325E+02
   146   0.478008E+04   0.104415E+01   0.359087E-02  -0.438615E+02
   147   0.480137E+04   0.104101E+01   0.364399E-02  -0.439678E+02
   148   0.482278E+04   0.103737E+01   0.369760E-02  -0.440529E+02
   149   0.484438E+04   0.103332E+01   0.375169E-02  -0.441155E+02
   150   0.486594E+04   0.102891E+01   0.380626E-02  -0.441533E+02
   151   0.488760E+04   0.102409E+01   0.386132E-02  -0.441693E+02
   152   0.490920E+04   0.101876E+01   0.391688E-02  -0.441621E+02
   153   0.493088E+04   0.101309E+01   0.397292E-02  -0.441294E+02
   154   0.495258E+04   0.100708E+01   0.402945E-02  -0.440734E+02
   155   0.497427E+04   0.100071E+01   0.408648E-02  -0.439934E+02
   156   0.499581E+04   0.993995E+00   0.414400E-02  -0.438894E+02
   157   0.501749E+04   0.986931E+00   0.420201E-02  -0.437598E+02
   158   0.503907E+04   0.979593E+00   0.426052E-02  -0.436055E+02
   159   0.506056E+04   0.971831E+00   0.431952E-02  -0.434264E+02
   160   0.508203E+04   0.963793E+00   0.437901E-02  -0.432210E+02
   161   0.510346E+04   0.955554E+00   0.443900E-02  -0.429908E+02
   162   0.512478E+04   0.946965E+00   0.449949E-02  -0.427358E+02
   163   0.514612E+04   0.938100E+00   0.456047E-02  -0.424545E+02
   164   0.516720E+04   0.929032E+00   0.462194E-02  -0.421483E+02
   165   0.518830E+04   0.919687E+00   0.468390E-02  -0.418151E+02
   166   0.520926E+04   0.910214E+00   0.474636E-02  -0.414563E+02
   167   0.523015E+04   0.900389E+00   0.480930E-02  -0.410727E+02
   168   0.525075E+04   0.890583E+00   0.487274E-02  -0.406619E+02
   169   0.527120E+04   0.880500E+00   0.493666E-02  -0.402241E+02
   170   0.529148E+04   0.870360E+00   0.500107E-02  -0.397607E+02
   171   0.531146E+04   0.860165E+00   0.506596E-02  -0.392694E+02
   172   0.533120E+04   0.849840E+00   0.513134E-02  -0.387517E+02
   173   0.535061E+04   0.839384E+00   0.519720E-02  -0.382077E+02
   174   0.536984E+04   0.829094E+00   0.526353E-02  -0.376373E+02
   175   0.538881E+04   0.818672E+00   0.533034E-02  -0.370397E+02
   176   0.540737E+04   0.808342E+00   0.539762E-02  -0.364150E+02
   177   0.542566E+04   0.798028E+00   0.546537E-02  -0.357646E+02
   178   0.544361E+04   0.787952E+00   0.553359E-02  -0.350872E+02
   179   0.546121E+04   0.777816E+00   0.560226E-02  -0.343826E+02
   180   0.547861E+04   0.767842E+00   0.567140E-02  -0.336524E+02
   181   0.549559E+04   0.758030E+00   0.574100E-02  -0.328965E+02
   182   0.551221E+04   0.748453E+00   0.581104E-02  -0.321136E+02
   183   0.552841E+04   0.739035E+00   0.588154E-02  -0.313051E+02
   184   0.554432E+04   0.729851E+00   0.595247E-02  -0.304703E+02
   185   0.555988E+04   0.721049E+00   0.602385E-02  -0.296114E+02
   186   0.557470E+04   0.712485E+00   0.609566E-02  -0.287254E+02
   187   0.558946E+04   0.704300E+00   0.616790E-02  -0.278139E+02
   188   0.560379E+04   0.696479E+00   0.624057E-02  -0.268783E+02
   189   0.561759E+04   0.689059E+00   0.631366E-02  -0.259172E+02
   190   0.563133E+04   0.682089E+00   0.638716E-02  -0.249328E+02
   191   0.564425E+04   0.675592E+00   0.646107E-02  -0.239221E+02
   192   0.565688E+04   0.669590E+00   0.653539E-02  -0.228874E+02
