#           k/h    P           
 0.99999997E-04 0.25844354E+03
 0.10202013E-03 0.26474686E+03
 0.10408108E-03 0.27124878E+03
 0.10618366E-03 0.27795749E+03
 0.10832871E-03 0.28488162E+03
 0.11051710E-03 0.29203024E+03
 0.11274968E-03 0.29941281E+03
 0.11502737E-03 0.30703925E+03
 0.11735109E-03 0.31491998E+03
 0.11972173E-03 0.32306595E+03
 0.12214028E-03 0.33148856E+03
 0.12460767E-03 0.34019977E+03
 0.12712492E-03 0.34921204E+03
 0.12969300E-03 0.35853857E+03
 0.13231297E-03 0.36819318E+03
 0.13498588E-03 0.37819016E+03
 0.13771278E-03 0.38854449E+03
 0.14049475E-03 0.39927191E+03
 0.14333293E-03 0.41038889E+03
 0.14622846E-03 0.42191272E+03
 0.14918247E-03 0.43386130E+03
 0.15219615E-03 0.44625320E+03
 0.15527071E-03 0.45910794E+03
 0.15840739E-03 0.47244601E+03
 0.16160744E-03 0.48628879E+03
 0.16487212E-03 0.50065836E+03
 0.16820275E-03 0.51557751E+03
 0.17160067E-03 0.53107007E+03
 0.17506724E-03 0.54716107E+03
 0.17860383E-03 0.56387671E+03
 0.18221186E-03 0.58124359E+03
 0.18589280E-03 0.59928906E+03
 0.18964807E-03 0.61804181E+03
 0.19347922E-03 0.63753168E+03
 0.19738778E-03 0.65778986E+03
 0.20137527E-03 0.67884772E+03
 0.20544330E-03 0.70073730E+03
 0.20959355E-03 0.72349207E+03
 0.21382760E-03 0.74714667E+03
 0.21814722E-03 0.77173700E+03
 0.22255408E-03 0.79729883E+03
 0.22704997E-03 0.82386841E+03
 0.23163669E-03 0.85148322E+03
 0.23631606E-03 0.88018182E+03
 0.24108996E-03 0.91000391E+03
 0.24596031E-03 0.94098834E+03
 0.25092901E-03 0.97317426E+03
 0.25599814E-03 0.10066014E+04
 0.26116965E-03 0.10413108E+04
 0.26644560E-03 0.10773433E+04
 0.27182818E-03 0.11147388E+04
 0.27731949E-03 0.11535367E+04
 0.28292168E-03 0.11937770E+04
 0.28863709E-03 0.12354991E+04
 0.29446793E-03 0.12787426E+04
 0.30041661E-03 0.13235448E+04
 0.30648540E-03 0.13699423E+04
 0.31267683E-03 0.14179708E+04
 0.31899329E-03 0.14676649E+04
 0.32543740E-03 0.15190581E+04
 0.33201167E-03 0.15721819E+04
 0.33871876E-03 0.16270656E+04
 0.34556136E-03 0.16837368E+04
 0.35254212E-03 0.17422209E+04
 0.35966394E-03 0.18025413E+04
 0.36692963E-03 0.18647191E+04
 0.37434211E-03 0.19287738E+04
 0.38190430E-03 0.19947208E+04
 0.38961932E-03 0.20625730E+04
 0.39749016E-03 0.21323403E+04
 0.40552000E-03 0.22040317E+04
 0.41371203E-03 0.22776538E+04
 0.42206954E-03 0.23532095E+04
 0.43059592E-03 0.24306968E+04
 0.43929456E-03 0.25101118E+04
 0.44816890E-03 0.25914519E+04
 0.45722249E-03 0.26747109E+04
 0.46645897E-03 0.27598796E+04
 0.47588209E-03 0.28469438E+04
 0.48549555E-03 0.29358875E+04
 0.49530319E-03 0.30266990E+04
 0.50530903E-03 0.31193638E+04
 0.51551696E-03 0.32138640E+04
 0.52593107E-03 0.33101777E+04
 0.53655554E-03 0.34082832E+04
 0.54739468E-03 0.35081638E+04
 0.55845280E-03 0.36098020E+04
 0.56973431E-03 0.37131775E+04
 0.58124372E-03 0.38182668E+04
 0.59298560E-03 0.39250491E+04
 0.60496473E-03 0.40335090E+04
 0.61718578E-03 0.41436323E+04
 0.62965375E-03 0.42554019E+04
 0.64237369E-03 0.43688008E+04
 0.65535045E-03 0.44838149E+04
 0.66858943E-03 0.46004355E+04
 0.68209582E-03 0.47186558E+04
 0.69587503E-03 0.48384688E+04
 0.70993265E-03 0.49598672E+04
 0.72427420E-03 0.50828486E+04
 0.73890563E-03 0.52074141E+04
 0.75383246E-03 0.53335684E+04
 0.76906086E-03 0.54613159E+04
 0.78459689E-03 0.55906641E+04
 0.80044678E-03 0.57216226E+04
 0.81661687E-03 0.58542041E+04
 0.83311368E-03 0.59884248E+04
 0.84994361E-03 0.61243022E+04
 0.86711359E-03 0.62618569E+04
 0.88463066E-03 0.64011108E+04
 0.90250134E-03 0.65420874E+04
 0.92073303E-03 0.66848125E+04
 0.93933311E-03 0.68293154E+04
 0.95830887E-03 0.69756274E+04
 0.97766798E-03 0.71237808E+04
 0.99741819E-03 0.72738071E+04
 0.10175674E-02 0.74257407E+04
 0.10381236E-02 0.75796196E+04
 0.10590950E-02 0.77354824E+04
 0.10804901E-02 0.78933691E+04
 0.11023175E-02 0.80533164E+04
 0.11245857E-02 0.82153643E+04
 0.11473041E-02 0.83795537E+04
 0.11704812E-02 0.85459316E+04
 0.11941264E-02 0.87145381E+04
 0.12182494E-02 0.88854150E+04
 0.12428596E-02 0.90586025E+04
 0.12679670E-02 0.92341465E+04
 0.12935817E-02 0.94120928E+04
 0.13197137E-02 0.95924844E+04
 0.13463736E-02 0.97753613E+04
 0.13735722E-02 0.99607656E+04
 0.14013201E-02 0.10148741E+05
 0.14296286E-02 0.10339332E+05
 0.14585090E-02 0.10532580E+05
 0.14879731E-02 0.10728524E+05
 0.15180323E-02 0.10927203E+05
 0.15486985E-02 0.11128658E+05
 0.15799842E-02 0.11332930E+05
 0.16119020E-02 0.11540057E+05
 0.16444647E-02 0.11750073E+05
 0.16776850E-02 0.11963014E+05
 0.17115764E-02 0.12178915E+05
 0.17461524E-02 0.12397812E+05
 0.17814270E-02 0.12619737E+05
 0.18174142E-02 0.12844720E+05
 0.18541284E-02 0.13072788E+05
 0.18915841E-02 0.13303973E+05
 0.19297971E-02 0.13538302E+05
 0.19687817E-02 0.13775801E+05
 0.20085536E-02 0.14016489E+05
 0.20491290E-02 0.14260390E+05
 0.20905242E-02 0.14507522E+05
 0.21327557E-02 0.14757907E+05
 0.21758399E-02 0.15011562E+05
 0.22197948E-02 0.15268500E+05
 0.22646377E-02 0.15528737E+05
 0.23103864E-02 0.15792288E+05
 0.23570592E-02 0.16059162E+05
 0.24046749E-02 0.16329365E+05
 0.24532524E-02 0.16602900E+05
 0.25028118E-02 0.16879764E+05
 0.25533722E-02 0.17159957E+05
 0.26049537E-02 0.17443475E+05
 0.26575772E-02 0.17730311E+05
 0.27112637E-02 0.18020457E+05
 0.27660348E-02 0.18313904E+05
 0.28219123E-02 0.18610641E+05
 0.28789188E-02 0.18910650E+05
 0.29370766E-02 0.19213914E+05
 0.29964095E-02 0.19520410E+05
 0.30569409E-02 0.19830109E+05
 0.31186952E-02 0.20142984E+05
 0.31816978E-02 0.20459006E+05
 0.32459723E-02 0.20778135E+05
 0.33115451E-02 0.21100332E+05
 0.33784427E-02 0.21425555E+05
 0.34466919E-02 0.21753756E+05
 0.35163197E-02 0.22084889E+05
 0.35873537E-02 0.22418896E+05
 0.36598232E-02 0.22755717E+05
 0.37337563E-02 0.23095287E+05
 0.38091831E-02 0.23437539E+05
 0.38861334E-02 0.23782402E+05
 0.39646388E-02 0.24129801E+05
 0.40447293E-02 0.24479652E+05
 0.41264393E-02 0.24831873E+05
 0.42097992E-02 0.25186375E+05
 0.42948425E-02 0.25543061E+05
 0.43816040E-02 0.25901824E+05
 0.44701183E-02 0.26262545E+05
 0.45604203E-02 0.26625107E+05
 0.46525472E-02 0.26989385E+05
 0.47465344E-02 0.27355256E+05
 0.48424210E-02 0.27722613E+05
 0.49402444E-02 0.28091355E+05
 0.50400435E-02 0.28461369E+05
 0.51418589E-02 0.28832547E+05
 0.52457317E-02 0.29204742E+05
 0.53517036E-02 0.29577752E+05
 0.54598148E-02 0.29951350E+05
 0.55701104E-02 0.30325309E+05
 0.56826337E-02 0.30699389E+05
 0.57974309E-02 0.31073371E+05
 0.59145465E-02 0.31447078E+05
 0.60340283E-02 0.31820338E+05
 0.61559235E-02 0.32192967E+05
 0.62802811E-02 0.32564785E+05
 0.64071510E-02 0.32935586E+05
 0.65365843E-02 0.33305129E+05
 0.66686315E-02 0.33673164E+05
 0.68033468E-02 0.34039434E+05
 0.69407835E-02 0.34403672E+05
 0.70809964E-02 0.34765613E+05
 0.72240415E-02 0.35124977E+05
 0.73699774E-02 0.35481477E+05
 0.75188605E-02 0.35834816E+05
 0.76707508E-02 0.36184707E+05
 0.78257136E-02 0.36530836E+05
 0.79838037E-02 0.36872887E+05
 0.81450874E-02 0.37210531E+05
 0.83096288E-02 0.37543449E+05
 0.84774951E-02 0.37871301E+05
 0.86487513E-02 0.38193742E+05
 0.88234674E-02 0.38510402E+05
 0.90017123E-02 0.38820918E+05
 0.91835596E-02 0.39124910E+05
 0.93690790E-02 0.39422008E+05
 0.95583471E-02 0.39711816E+05
 0.97514391E-02 0.39993941E+05
 0.99484306E-02 0.40267973E+05
 0.10149402E-01 0.40533508E+05
 0.10354433E-01 0.40790141E+05
 0.10563606E-01 0.41037422E+05
 0.10777006E-01 0.41274859E+05
 0.10994715E-01 0.41501965E+05
 0.11216822E-01 0.41718250E+05
 0.11443418E-01 0.41923234E+05
 0.11674589E-01 0.42116520E+05
 0.11910431E-01 0.42297785E+05
 0.12151038E-01 0.42466730E+05
 0.12396505E-01 0.42623047E+05
 0.12646930E-01 0.42766414E+05
 0.12902415E-01 0.42896086E+05
 0.13163067E-01 0.43010996E+05
 0.13428980E-01 0.43110090E+05
 0.13700262E-01 0.43192297E+05
 0.13977026E-01 0.43256715E+05
 0.14259379E-01 0.43304023E+05
 0.14547437E-01 0.43335961E+05
 0.14841316E-01 0.43354297E+05
 0.15141129E-01 0.43360832E+05
 0.15447001E-01 0.43357043E+05
 0.15759049E-01 0.43341141E+05
 0.16077405E-01 0.43309457E+05
 0.16402189E-01 0.43258316E+05
 0.16733535E-01 0.43184102E+05
 0.17071573E-01 0.43083641E+05
 0.17416442E-01 0.42957270E+05
 0.17768279E-01 0.42807125E+05
 0.18127220E-01 0.42635383E+05
 0.18493414E-01 0.42444203E+05
 0.18867005E-01 0.42235375E+05
 0.19248145E-01 0.42007812E+05
 0.19636983E-01 0.41759207E+05
 0.20033674E-01 0.41487336E+05
 0.20438381E-01 0.41190070E+05
 0.20851264E-01 0.40865879E+05
 0.21272486E-01 0.40516348E+05
 0.21702228E-01 0.40144254E+05
 0.22140643E-01 0.39752348E+05
 0.22587912E-01 0.39343324E+05
 0.23044219E-01 0.38919543E+05
 0.23509743E-01 0.38481719E+05
 0.23984671E-01 0.38030027E+05
 0.24469191E-01 0.37564684E+05
 0.24963502E-01 0.37085926E+05
 0.25467798E-01 0.36593973E+05
 0.25982281E-01 0.36088773E+05
 0.26507158E-01 0.35570238E+05
 0.27042639E-01 0.35038340E+05
 0.27588934E-01 0.34493109E+05
 0.28146267E-01 0.33934895E+05
 0.28714858E-01 0.33365133E+05
 0.29294936E-01 0.32785527E+05
 0.29886734E-01 0.32197717E+05
 0.30490484E-01 0.31603287E+05
 0.31106433E-01 0.31003971E+05
 0.31734824E-01 0.30402180E+05
 0.32375909E-01 0.29800365E+05
 0.33029947E-01 0.29200812E+05
 0.33697195E-01 0.28605654E+05
 0.34377921E-01 0.28016691E+05
 0.35072401E-01 0.27435033E+05
 0.35780910E-01 0.26861592E+05
 0.36503751E-01 0.26297197E+05
 0.37241172E-01 0.25742607E+05
 0.37993494E-01 0.25198932E+05
 0.38761012E-01 0.24668352E+05
 0.39544035E-01 0.24153068E+05
 0.40342879E-01 0.23655072E+05
 0.41157857E-01 0.23176172E+05
 0.41989300E-01 0.22717400E+05
 0.42837542E-01 0.22278172E+05
 0.43702915E-01 0.21857695E+05
 0.44585772E-01 0.21455223E+05
 0.45486465E-01 0.21070045E+05
 0.46405349E-01 0.20701680E+05
 0.47342800E-01 0.20349902E+05
 0.48299186E-01 0.20014516E+05
 0.49274895E-01 0.19695328E+05
 0.50270312E-01 0.19391822E+05
 0.51285837E-01 0.19102344E+05
 0.52321881E-01 0.18825078E+05
 0.53378850E-01 0.18558312E+05
 0.54457176E-01 0.18300295E+05
 0.55557281E-01 0.18048896E+05
 0.56679614E-01 0.17802002E+05
 0.57824615E-01 0.17557598E+05
 0.58992747E-01 0.17313584E+05
 0.60184479E-01 0.17067680E+05
 0.61400317E-01 0.16817705E+05
 0.62640682E-01 0.16561307E+05
 0.63906111E-01 0.16294495E+05
 0.65197095E-01 0.16012955E+05
 0.66514164E-01 0.15713095E+05
 0.67857832E-01 0.15395872E+05
 0.69228657E-01 0.15065026E+05
 0.70627168E-01 0.14723719E+05
 0.72053924E-01 0.14368976E+05
 0.73509507E-01 0.13994034E+05
 0.74994497E-01 0.13594025E+05
 0.76509491E-01 0.13173491E+05
 0.78055084E-01 0.12740880E+05
 0.79631895E-01 0.12303009E+05
 0.81240565E-01 0.11863146E+05
 0.82881734E-01 0.11423750E+05
 0.84556051E-01 0.10988345E+05
 0.86264193E-01 0.10561268E+05
 0.88006847E-01 0.10146573E+05
 0.89784704E-01 0.97485693E+04
 0.91598473E-01 0.93710312E+04
 0.93448877E-01 0.90172881E+04
 0.95336676E-01 0.86905703E+04
 0.97262599E-01 0.83935938E+04
 0.99227436E-01 0.81275200E+04
 0.10123201E+00 0.78920840E+04
 0.10327702E+00 0.76865747E+04
 0.10536335E+00 0.75077354E+04
 0.10749183E+00 0.73516592E+04
 0.10966332E+00 0.72136567E+04
 0.11187866E+00 0.70878975E+04
 0.11413875E+00 0.69687109E+04
 0.11644451E+00 0.68502324E+04
 0.11879683E+00 0.67269111E+04
 0.12119669E+00 0.65939238E+04
 0.12364503E+00 0.64471055E+04
 0.12614281E+00 0.62837451E+04
 0.12869108E+00 0.61023149E+04
 0.13129081E+00 0.59030879E+04
 0.13394305E+00 0.56877412E+04
 0.13664888E+00 0.54596094E+04
 0.13940936E+00 0.52230996E+04
 0.14222562E+00 0.49840347E+04
 0.14509876E+00 0.47486973E+04
 0.14802995E+00 0.45240303E+04
 0.15102035E+00 0.43162124E+04
 0.15407117E+00 0.41301450E+04
 0.15718360E+00 0.39683352E+04
 0.16035892E+00 0.38308687E+04
 0.16359837E+00 0.37153723E+04
 0.16690327E+00 0.36181565E+04
 0.17027503E+00 0.35345642E+04
 0.17371480E+00 0.34593352E+04
 0.17722408E+00 0.33866621E+04
 0.18080424E+00 0.33102031E+04
 0.18445672E+00 0.32243538E+04
 0.18818299E+00 0.31254983E+04
 0.19198453E+00 0.30131697E+04
 0.19586287E+00 0.28900581E+04
 0.19981956E+00 0.27606206E+04
 0.20385619E+00 0.26300281E+04
 0.20797436E+00 0.25035181E+04
 0.21217570E+00 0.23860886E+04
 0.21646193E+00 0.22817112E+04
 0.22083476E+00 0.21923438E+04
 0.22529592E+00 0.21174053E+04
 0.22984719E+00 0.20540391E+04
 0.23449039E+00 0.19979244E+04
 0.23922741E+00 0.19440773E+04
 0.24406013E+00 0.18877432E+04
 0.24899045E+00 0.18256117E+04
 0.25402039E+00 0.17567921E+04
 0.25915194E+00 0.16827799E+04
 0.26438716E+00 0.16066169E+04
 0.26972812E+00 0.15320278E+04
 0.27517700E+00 0.14626433E+04
 0.28073606E+00 0.14009750E+04
 0.28640729E+00 0.13475348E+04
 0.29219311E+00 0.13008676E+04
 0.29809579E+00 0.12583009E+04
 0.30411756E+00 0.12167783E+04
 0.31026131E+00 0.11737264E+04
 0.31652883E+00 0.11280082E+04
 0.32292327E+00 0.10803071E+04
 0.32944661E+00 0.10325482E+04
 0.33610201E+00 0.98691254E+03
 0.34289157E+00 0.94503461E+03
 0.34981859E+00 0.90742609E+03
 0.35688522E+00 0.87331677E+03
 0.36409497E+00 0.84116241E+03
 0.37145033E+00 0.80940674E+03
 0.37895393E+00 0.77709235E+03
 0.38660949E+00 0.74434686E+03
 0.39441931E+00 0.71218945E+03
 0.40238729E+00 0.68160956E+03
 0.41051584E+00 0.65321436E+03
 0.41880903E+00 0.62697778E+03
 0.42726934E+00 0.60214838E+03
 0.43590093E+00 0.57797046E+03
 0.44470647E+00 0.55404999E+03
 0.45369038E+00 0.53046246E+03
 0.46285531E+00 0.50771884E+03
 0.47220579E+00 0.48620850E+03
 0.48174477E+00 0.46594302E+03
 0.49147689E+00 0.44669702E+03
 0.50140512E+00 0.42807968E+03
 0.51153439E+00 0.40992941E+03
 0.52186781E+00 0.39235208E+03
 0.53241050E+00 0.37550699E+03
 0.54316562E+00 0.35951346E+03
 0.55413854E+00 0.34426181E+03
 0.56533259E+00 0.32959384E+03
 0.57675338E+00 0.31541739E+03
 0.58840430E+00 0.30178082E+03
 0.60029107E+00 0.28872604E+03
 0.61241806E+00 0.27624606E+03
 0.62478942E+00 0.26429788E+03
 0.63741130E+00 0.25284225E+03
 0.65028751E+00 0.24185310E+03
 0.66342449E+00 0.23131329E+03
 0.67682624E+00 0.22120634E+03
 0.69049937E+00 0.21151630E+03
 0.70444804E+00 0.20222763E+03
 0.71867913E+00 0.19332535E+03
 0.73319703E+00 0.18479488E+03
 0.74800897E+00 0.17662209E+03
 0.76311934E+00 0.16879332E+03
 0.77853578E+00 0.16129535E+03
 0.79426283E+00 0.15411537E+03
 0.81030840E+00 0.14724101E+03
 0.82667732E+00 0.14066029E+03
