#           k/h    P           
 0.99999997E-04 0.19157249E+03
 0.10202013E-03 0.19544221E+03
 0.10408108E-03 0.19939633E+03
 0.10618366E-03 0.20343701E+03
 0.10832871E-03 0.20756654E+03
 0.11051710E-03 0.21178725E+03
 0.11274968E-03 0.21610158E+03
 0.11502737E-03 0.22051202E+03
 0.11735109E-03 0.22502122E+03
 0.11972173E-03 0.22963181E+03
 0.12214028E-03 0.23434660E+03
 0.12460767E-03 0.23916849E+03
 0.12712492E-03 0.24410049E+03
 0.12969300E-03 0.24914571E+03
 0.13231297E-03 0.25430733E+03
 0.13498588E-03 0.25958871E+03
 0.13771278E-03 0.26499338E+03
 0.14049475E-03 0.27052487E+03
 0.14333293E-03 0.27618695E+03
 0.14622846E-03 0.28198352E+03
 0.14918247E-03 0.28791855E+03
 0.15219615E-03 0.29399631E+03
 0.15527071E-03 0.30022113E+03
 0.15840739E-03 0.30659753E+03
 0.16160744E-03 0.31313028E+03
 0.16487212E-03 0.31982419E+03
 0.16820275E-03 0.32668439E+03
 0.17160067E-03 0.33371622E+03
 0.17506724E-03 0.34092511E+03
 0.17860383E-03 0.34831686E+03
 0.18221186E-03 0.35589737E+03
 0.18589280E-03 0.36367291E+03
 0.18964807E-03 0.37164999E+03
 0.19347922E-03 0.37983527E+03
 0.19738778E-03 0.38823581E+03
 0.20137527E-03 0.39685892E+03
 0.20544330E-03 0.40571216E+03
 0.20959355E-03 0.41480350E+03
 0.21382760E-03 0.42414117E+03
 0.21814722E-03 0.43373376E+03
 0.22255408E-03 0.44359015E+03
 0.22704997E-03 0.45371973E+03
 0.23163669E-03 0.46413214E+03
 0.23631606E-03 0.47483752E+03
 0.24108996E-03 0.48584634E+03
 0.24596031E-03 0.49716956E+03
 0.25092901E-03 0.50881851E+03
 0.25599814E-03 0.52080505E+03
 0.26116965E-03 0.53314160E+03
 0.26644560E-03 0.54584088E+03
 0.27182818E-03 0.55891632E+03
 0.27731949E-03 0.57238165E+03
 0.28292168E-03 0.58625128E+03
 0.28863709E-03 0.60054028E+03
 0.29446793E-03 0.61526428E+03
 0.30041661E-03 0.63043933E+03
 0.30648540E-03 0.64608215E+03
 0.31267683E-03 0.66221021E+03
 0.31899329E-03 0.67884149E+03
 0.32543740E-03 0.69599500E+03
 0.33201167E-03 0.71368988E+03
 0.33871876E-03 0.73194623E+03
 0.34556136E-03 0.75078473E+03
 0.35254212E-03 0.77022711E+03
 0.35966394E-03 0.79029572E+03
 0.36692963E-03 0.81101349E+03
 0.37434211E-03 0.83240387E+03
 0.38190430E-03 0.85449146E+03
 0.38961932E-03 0.87730176E+03
 0.39749016E-03 0.90086102E+03
 0.40552000E-03 0.92519586E+03
 0.41371203E-03 0.95033362E+03
 0.42206954E-03 0.97630261E+03
 0.43059592E-03 0.10031324E+04
 0.43929456E-03 0.10308531E+04
 0.44816890E-03 0.10594951E+04
 0.45722249E-03 0.10890895E+04
 0.46645897E-03 0.11196682E+04
 0.47588209E-03 0.11512648E+04
 0.48549555E-03 0.11839128E+04
 0.49530319E-03 0.12176462E+04
 0.50530903E-03 0.12524994E+04
 0.51551696E-03 0.12885077E+04
 0.52593107E-03 0.13257076E+04
 0.53655554E-03 0.13641361E+04
 0.54739468E-03 0.14038293E+04
 0.55845280E-03 0.14448247E+04
 0.56973431E-03 0.14871597E+04
 0.58124372E-03 0.15308730E+04
 0.59298560E-03 0.15760034E+04
 0.60496473E-03 0.16225889E+04
 0.61718578E-03 0.16706678E+04
 0.62965375E-03 0.17202792E+04
 0.64237369E-03 0.17714619E+04
 0.65535045E-03 0.18242552E+04
 0.66858943E-03 0.18786973E+04
 0.68209582E-03 0.19348262E+04
 0.69587503E-03 0.19926799E+04
 0.70993265E-03 0.20522966E+04
 0.72427420E-03 0.21137136E+04
 0.73890563E-03 0.21769678E+04
 0.75383246E-03 0.22420947E+04
 0.76906086E-03 0.23091301E+04
 0.78459689E-03 0.23781086E+04
 0.80044678E-03 0.24490645E+04
 0.81661687E-03 0.25220303E+04
 0.83311368E-03 0.25970388E+04
 0.84994361E-03 0.26741206E+04
 0.86711359E-03 0.27533052E+04
 0.88463066E-03 0.28346216E+04
 0.90250134E-03 0.29180981E+04
 0.92073303E-03 0.30037612E+04
 0.93933311E-03 0.30916360E+04
 0.95830887E-03 0.31817454E+04
 0.97766798E-03 0.32741121E+04
 0.99741819E-03 0.33687581E+04
 0.10175674E-02 0.34657041E+04
 0.10381236E-02 0.35649683E+04
 0.10590950E-02 0.36665662E+04
 0.10804901E-02 0.37705139E+04
 0.11023175E-02 0.38768274E+04
 0.11245857E-02 0.39855200E+04
 0.11473041E-02 0.40966030E+04
 0.11704812E-02 0.42100854E+04
 0.11941264E-02 0.43259766E+04
 0.12182494E-02 0.44442866E+04
 0.12428596E-02 0.45650225E+04
 0.12679670E-02 0.46881899E+04
 0.12935817E-02 0.48137915E+04
 0.13197137E-02 0.49418315E+04
 0.13463736E-02 0.50723145E+04
 0.13735722E-02 0.52052422E+04
 0.14013201E-02 0.53406152E+04
 0.14296286E-02 0.54784321E+04
 0.14585090E-02 0.56186919E+04
 0.14879731E-02 0.57613950E+04
 0.15180323E-02 0.59065405E+04
 0.15486985E-02 0.60541255E+04
 0.15799842E-02 0.62041436E+04
 0.16119020E-02 0.63565923E+04
 0.16444647E-02 0.65114673E+04
 0.16776850E-02 0.66687637E+04
 0.17115764E-02 0.68284746E+04
 0.17461524E-02 0.69905918E+04
 0.17814270E-02 0.71551089E+04
 0.18174142E-02 0.73220195E+04
 0.18541284E-02 0.74913169E+04
 0.18915841E-02 0.76629917E+04
 0.19297971E-02 0.78370352E+04
 0.19687817E-02 0.80134390E+04
 0.20085536E-02 0.81921943E+04
 0.20491290E-02 0.83732939E+04
 0.20905242E-02 0.85567266E+04
 0.21327557E-02 0.87424834E+04
 0.21758399E-02 0.89305557E+04
 0.22197948E-02 0.91209395E+04
 0.22646377E-02 0.93136270E+04
 0.23103864E-02 0.95086123E+04
 0.23570592E-02 0.97058867E+04
 0.24046749E-02 0.99054336E+04
 0.24532524E-02 0.10107231E+05
 0.25028118E-02 0.10311257E+05
 0.25533722E-02 0.10517485E+05
 0.26049537E-02 0.10725894E+05
 0.26575772E-02 0.10936463E+05
 0.27112637E-02 0.11149180E+05
 0.27660348E-02 0.11364026E+05
 0.28219123E-02 0.11580988E+05
 0.28789188E-02 0.11800048E+05
 0.29370766E-02 0.12021180E+05
 0.29964095E-02 0.12244358E+05
 0.30569409E-02 0.12469556E+05
 0.31186952E-02 0.12696742E+05
 0.31816978E-02 0.12925889E+05
 0.32459723E-02 0.13156962E+05
 0.33115451E-02 0.13389929E+05
 0.33784427E-02 0.13624755E+05
 0.34466919E-02 0.13861403E+05
 0.35163197E-02 0.14099838E+05
 0.35873537E-02 0.14340014E+05
 0.36598232E-02 0.14581886E+05
 0.37337563E-02 0.14825408E+05
 0.38091831E-02 0.15070531E+05
 0.38861334E-02 0.15317204E+05
 0.39646388E-02 0.15565373E+05
 0.40447293E-02 0.15814979E+05
 0.41264393E-02 0.16065966E+05
 0.42097992E-02 0.16318271E+05
 0.42948425E-02 0.16571830E+05
 0.43816040E-02 0.16826566E+05
 0.44701183E-02 0.17082402E+05
 0.45604203E-02 0.17339258E+05
 0.46525472E-02 0.17597049E+05
 0.47465344E-02 0.17855695E+05
 0.48424210E-02 0.18115121E+05
 0.49402444E-02 0.18375258E+05
 0.50400435E-02 0.18636033E+05
 0.51418589E-02 0.18897371E+05
 0.52457317E-02 0.19159176E+05
 0.53517036E-02 0.19421312E+05
 0.54598148E-02 0.19683633E+05
 0.55701104E-02 0.19945982E+05
 0.56826337E-02 0.20208205E+05
 0.57974309E-02 0.20470156E+05
 0.59145465E-02 0.20731717E+05
 0.60340283E-02 0.20992771E+05
 0.61559235E-02 0.21253199E+05
 0.62802811E-02 0.21512881E+05
 0.64071510E-02 0.21771680E+05
 0.65365843E-02 0.22029436E+05
 0.66686315E-02 0.22285982E+05
 0.68033468E-02 0.22541148E+05
 0.69407835E-02 0.22794762E+05
 0.70809964E-02 0.23046643E+05
 0.72240415E-02 0.23296607E+05
 0.73699774E-02 0.23544461E+05
 0.75188605E-02 0.23790016E+05
 0.76707508E-02 0.24033070E+05
 0.78257136E-02 0.24273426E+05
 0.79838037E-02 0.24510867E+05
 0.81450874E-02 0.24745180E+05
 0.83096288E-02 0.24976145E+05
 0.84774951E-02 0.25203539E+05
 0.86487513E-02 0.25427135E+05
 0.88234674E-02 0.25646688E+05
 0.90017123E-02 0.25861951E+05
 0.91835596E-02 0.26072680E+05
 0.93690790E-02 0.26278621E+05
 0.95583471E-02 0.26479518E+05
 0.97514391E-02 0.26675104E+05
 0.99484306E-02 0.26865107E+05
 0.10149402E-01 0.27049262E+05
 0.10354433E-01 0.27227293E+05
 0.10563606E-01 0.27398902E+05
 0.10777006E-01 0.27563766E+05
 0.10994715E-01 0.27721555E+05
 0.11216822E-01 0.27871943E+05
 0.11443418E-01 0.28014613E+05
 0.11674589E-01 0.28149301E+05
 0.11910431E-01 0.28275791E+05
 0.12151038E-01 0.28393881E+05
 0.12396505E-01 0.28503369E+05
 0.12646930E-01 0.28604043E+05
 0.12902415E-01 0.28695400E+05
 0.13163067E-01 0.28776734E+05
 0.13428980E-01 0.28847330E+05
 0.13700262E-01 0.28906486E+05
 0.13977026E-01 0.28953590E+05
 0.14259379E-01 0.28989102E+05
 0.14547437E-01 0.29014182E+05
 0.14841316E-01 0.29030021E+05
 0.15141129E-01 0.29037822E+05
 0.15447001E-01 0.29038582E+05
 0.15759049E-01 0.29031104E+05
 0.16077405E-01 0.29012930E+05
 0.16402189E-01 0.28981605E+05
 0.16733535E-01 0.28934701E+05
 0.17071573E-01 0.28870096E+05
 0.17416442E-01 0.28788016E+05
 0.17768279E-01 0.28689895E+05
 0.18127220E-01 0.28577186E+05
 0.18493414E-01 0.28451342E+05
 0.18867005E-01 0.28313562E+05
 0.19248145E-01 0.28163123E+05
 0.19636983E-01 0.27998477E+05
 0.20033674E-01 0.27818133E+05
 0.20438381E-01 0.27620670E+05
 0.20851264E-01 0.27405062E+05
 0.21272486E-01 0.27172369E+05
 0.21702228E-01 0.26924457E+05
 0.22140643E-01 0.26663172E+05
 0.22587912E-01 0.26390322E+05
 0.23044219E-01 0.26107492E+05
 0.23509743E-01 0.25815162E+05
 0.23984671E-01 0.25513455E+05
 0.24469191E-01 0.25202516E+05
 0.24963502E-01 0.24882510E+05
 0.25467798E-01 0.24553582E+05
 0.25982281E-01 0.24215701E+05
 0.26507158E-01 0.23868811E+05
 0.27042639E-01 0.23512893E+05
 0.27588934E-01 0.23147969E+05
 0.28146267E-01 0.22774271E+05
 0.28714858E-01 0.22392773E+05
 0.29294936E-01 0.22004615E+05
 0.29886734E-01 0.21610898E+05
 0.30490484E-01 0.21212689E+05
 0.31106433E-01 0.20811154E+05
 0.31734824E-01 0.20407912E+05
 0.32375909E-01 0.20004609E+05
 0.33029947E-01 0.19602783E+05
 0.33697195E-01 0.19203863E+05
 0.34377921E-01 0.18809064E+05
 0.35072401E-01 0.18419133E+05
 0.35780910E-01 0.18034684E+05
 0.36503751E-01 0.17656277E+05
 0.37241172E-01 0.17284428E+05
 0.37993494E-01 0.16919877E+05
 0.38761012E-01 0.16564090E+05
 0.39544035E-01 0.16218541E+05
 0.40342879E-01 0.15884567E+05
 0.41157857E-01 0.15563380E+05
 0.41989300E-01 0.15255674E+05
 0.42837542E-01 0.14961064E+05
 0.43702915E-01 0.14679028E+05
 0.44585772E-01 0.14409070E+05
 0.45486465E-01 0.14150723E+05
 0.46405349E-01 0.13903662E+05
 0.47342800E-01 0.13667737E+05
 0.48299186E-01 0.13442811E+05
 0.49274895E-01 0.13228750E+05
 0.50270312E-01 0.13025206E+05
 0.51285837E-01 0.12831068E+05
 0.52321881E-01 0.12645123E+05
 0.53378850E-01 0.12466219E+05
 0.54457176E-01 0.12293180E+05
 0.55557281E-01 0.12124580E+05
 0.56679614E-01 0.11958995E+05
 0.57824615E-01 0.11795075E+05
 0.58992747E-01 0.11631410E+05
 0.60184479E-01 0.11466464E+05
 0.61400317E-01 0.11298775E+05
 0.62640682E-01 0.11126762E+05
 0.63906111E-01 0.10947743E+05
 0.65197095E-01 0.10758819E+05
 0.66514164E-01 0.10557578E+05
 0.67857832E-01 0.10344660E+05
