#    L    TT             EE             BB             TE          
     2   0.121950E+04   0.535636E-01   0.125993E-05   0.295550E+01
     3   0.113460E+04   0.858411E-01   0.252027E-05   0.354194E+01
     4   0.105641E+04   0.944995E-01   0.420135E-05   0.357059E+01
     5   0.995506E+03   0.819903E-01   0.630370E-05   0.332698E+01
     6   0.950130E+03   0.593086E-01   0.882798E-05   0.299113E+01
     7   0.917402E+03   0.372909E-01   0.117750E-04   0.264816E+01
     8   0.893950E+03   0.219302E-01   0.151455E-04   0.233196E+01
     9   0.877412E+03   0.139807E-01   0.189407E-04   0.204814E+01
    10   0.866354E+03   0.110888E-01   0.231615E-04   0.180121E+01
    11   0.859726E+03   0.102832E-01   0.278091E-04   0.159717E+01
    12   0.857808E+03   0.960018E-02   0.328849E-04   0.144267E+01
    13   0.858543E+03   0.831748E-02   0.383902E-04   0.133090E+01
    14   0.860688E+03   0.678686E-02   0.443262E-04   0.125197E+01
    15   0.864417E+03   0.545606E-02   0.506945E-04   0.120551E+01
    16   0.870084E+03   0.466968E-02   0.574966E-04   0.119252E+01
    17   0.877647E+03   0.448420E-02   0.647339E-04   0.120667E+01
    18   0.886194E+03   0.468406E-02   0.724079E-04   0.124132E+01
    19   0.896514E+03   0.510226E-02   0.805202E-04   0.128894E+01
    20   0.906878E+03   0.566454E-02   0.890723E-04   0.134048E+01
    21   0.917633E+03   0.635209E-02   0.980656E-04   0.139597E+01
    22   0.929063E+03   0.723556E-02   0.107502E-03   0.145544E+01
    23   0.940986E+03   0.832884E-02   0.117382E-03   0.151466E+01
    24   0.953462E+03   0.959862E-02   0.127707E-03   0.156932E+01
    25   0.966431E+03   0.110507E-01   0.138480E-03   0.161889E+01
    26   0.979701E+03   0.126606E-01   0.149700E-03   0.166492E+01
    27   0.993494E+03   0.144073E-01   0.161369E-03   0.170628E+01
    28   0.100765E+04   0.163033E-01   0.173489E-03   0.174264E+01
    29   0.102222E+04   0.183777E-01   0.186059E-03   0.177448E+01
    30   0.103711E+04   0.206632E-01   0.199082E-03   0.180087E+01
    31   0.105217E+04   0.231529E-01   0.212557E-03   0.182084E+01
    32   0.106765E+04   0.258249E-01   0.226485E-03   0.183321E+01
    33   0.108353E+04   0.286862E-01   0.240867E-03   0.183610E+01
    34   0.109963E+04   0.317606E-01   0.255704E-03   0.182925E+01
    35   0.111593E+04   0.350610E-01   0.270995E-03   0.181654E+01
    36   0.113234E+04   0.385993E-01   0.286740E-03   0.179995E+01
    37   0.114889E+04   0.423605E-01   0.302941E-03   0.177375E+01
    38   0.116591E+04   0.463354E-01   0.319596E-03   0.173393E+01
    39   0.118336E+04   0.505359E-01   0.336705E-03   0.168235E+01
    40   0.120096E+04   0.549848E-01   0.354269E-03   0.162212E+01
    41   0.121881E+04   0.597049E-01   0.372286E-03   0.155520E+01
    42   0.123668E+04   0.646991E-01   0.390757E-03   0.147978E+01
    43   0.125471E+04   0.699650E-01   0.409681E-03   0.139312E+01
    44   0.127275E+04   0.754854E-01   0.429057E-03   0.129338E+01
    45   0.129117E+04   0.812535E-01   0.448885E-03   0.117880E+01
    46   0.130990E+04   0.872672E-01   0.469163E-03   0.104638E+01
    47   0.132878E+04   0.935290E-01   0.489892E-03   0.898125E+00
    48   0.134776E+04   0.100050E+00   0.511069E-03   0.739936E+00
    49   0.136691E+04   0.106819E+00   0.532695E-03   0.577123E+00
    50   0.138646E+04   0.113818E+00   0.554769E-03   0.408212E+00
    51   0.140619E+04   0.121022E+00   0.577289E-03   0.229836E+00
    52   0.142633E+04   0.128513E+00   0.600254E-03   0.366861E-01
    53   0.144648E+04   0.136435E+00   0.623665E-03  -0.175185E+00
    54   0.146658E+04   0.144775E+00   0.647519E-03  -0.401754E+00
    55   0.148683E+04   0.153506E+00   0.671817E-03  -0.638884E+00
    56   0.150746E+04   0.162481E+00   0.696557E-03  -0.888492E+00
    57   0.152838E+04   0.171595E+00   0.721739E-03  -0.115041E+01
    58   0.154962E+04   0.180858E+00   0.747363E-03  -0.142518E+01
    59   0.157102E+04   0.190313E+00   0.773427E-03  -0.171337E+01
    60   0.159259E+04   0.200016E+00   0.799931E-03  -0.201411E+01
    61   0.161463E+04   0.210063E+00   0.826876E-03  -0.232642E+01
    62   0.163655E+04   0.220439E+00   0.854260E-03  -0.265129E+01
    63   0.165858E+04   0.231102E+00   0.882084E-03  -0.298980E+01
    64   0.168101E+04   0.242059E+00   0.910347E-03  -0.334328E+01
    65   0.170348E+04   0.253284E+00   0.939050E-03  -0.371245E+01
    66   0.172627E+04   0.264706E+00   0.968194E-03  -0.409551E+01
    67   0.174923E+04   0.276327E+00   0.997777E-03  -0.448971E+01
    68   0.177262E+04   0.288189E+00   0.102780E-02  -0.489331E+01
    69   0.179619E+04   0.300251E+00   0.105827E-02  -0.530454E+01
