#    L    TT             EE             BB             TE          
     2   0.170273E+04   0.344457E-01   0.887040E-06  -0.269670E+00
     3   0.176646E+04   0.583581E-01   0.177432E-05  -0.559999E+00
     4   0.176847E+04   0.655292E-01   0.295772E-05  -0.194589E+00
     5   0.173952E+04   0.577254E-01   0.443757E-05   0.651545E+00
     6   0.169527E+04   0.436036E-01   0.621424E-05   0.172387E+01
     7   0.164535E+04   0.313265E-01   0.828819E-05   0.277396E+01
     8   0.159356E+04   0.247201E-01   0.106599E-04   0.361652E+01
     9   0.154222E+04   0.232137E-01   0.133301E-04   0.414602E+01
    10   0.149375E+04   0.239744E-01   0.162993E-04   0.434706E+01
    11   0.145103E+04   0.242164E-01   0.195682E-04   0.427068E+01
    12   0.141576E+04   0.225571E-01   0.231376E-04   0.399721E+01
    13   0.138535E+04   0.190492E-01   0.270082E-04   0.360411E+01
    14   0.135786E+04   0.148048E-01   0.311810E-04   0.316399E+01
    15   0.133330E+04   0.108430E-01   0.356567E-04   0.274495E+01
    16   0.131205E+04   0.795501E-02   0.404362E-04   0.240506E+01
    17   0.129434E+04   0.633520E-02   0.455205E-04   0.216348E+01
    18   0.127949E+04   0.578844E-02   0.509104E-04   0.202554E+01
    19   0.126806E+04   0.600719E-02   0.566068E-04   0.197349E+01
    20   0.125809E+04   0.673562E-02   0.626107E-04   0.198192E+01
    21   0.124983E+04   0.776999E-02   0.689229E-04   0.203245E+01
    22   0.124356E+04   0.901177E-02   0.755444E-04   0.210651E+01
    23   0.123903E+04   0.103718E-01   0.824760E-04   0.218286E+01
    24   0.123624E+04   0.117467E-01   0.897185E-04   0.224257E+01
    25   0.123505E+04   0.131379E-01   0.972728E-04   0.227862E+01
    26   0.123519E+04   0.145421E-01   0.105140E-03   0.229022E+01
    27   0.123680E+04   0.159953E-01   0.113320E-03   0.228257E+01
    28   0.123961E+04   0.175718E-01   0.121813E-03   0.226332E+01
    29   0.124360E+04   0.193451E-01   0.130622E-03   0.223874E+01
    30   0.124861E+04   0.213831E-01   0.139745E-03   0.221255E+01
    31   0.125442E+04   0.236939E-01   0.149185E-03   0.218583E+01
    32   0.126123E+04   0.262615E-01   0.158940E-03   0.215896E+01
    33   0.126893E+04   0.290835E-01   0.169011E-03   0.213230E+01
    34   0.127730E+04   0.321688E-01   0.179400E-03   0.210731E+01
    35   0.128627E+04   0.355112E-01   0.190105E-03   0.208679E+01
    36   0.129577E+04   0.391020E-01   0.201127E-03   0.207016E+01
    37   0.130582E+04   0.429066E-01   0.212467E-03   0.204582E+01
    38   0.131675E+04   0.469008E-01   0.224125E-03   0.200444E+01
    39   0.132847E+04   0.510986E-01   0.236099E-03   0.194796E+01
    40   0.134067E+04   0.555293E-01   0.248391E-03   0.188096E+01
    41   0.135339E+04   0.602215E-01   0.261000E-03   0.180658E+01
    42   0.136637E+04   0.651809E-01   0.273927E-03   0.172309E+01
    43   0.137976E+04   0.704071E-01   0.287170E-03   0.162759E+01
    44   0.139339E+04   0.758851E-01   0.300729E-03   0.151806E+01
    45   0.140761E+04   0.816102E-01   0.314605E-03   0.139253E+01
    46   0.142234E+04   0.875818E-01   0.328797E-03   0.124799E+01
    47   0.143741E+04   0.938036E-01   0.343305E-03   0.108700E+01
    48   0.145274E+04   0.100287E+00   0.358128E-03   0.916157E+00
    49   0.146841E+04   0.107022E+00   0.373265E-03   0.741482E+00
    50   0.148461E+04   0.113989E+00   0.388717E-03   0.562205E+00
    51   0.150112E+04   0.121166E+00   0.404483E-03   0.375479E+00
    52   0.151816E+04   0.128634E+00   0.420562E-03   0.175764E+00
    53   0.153535E+04   0.136535E+00   0.436955E-03  -0.412990E-01
    54   0.155262E+04   0.144857E+00   0.453660E-03  -0.272102E+00
    55   0.157019E+04   0.153571E+00   0.470678E-03  -0.512921E+00
    56   0.158827E+04   0.162530E+00   0.488008E-03  -0.766014E+00
    57   0.160678E+04   0.171628E+00   0.505650E-03  -0.103125E+01
    58   0.162572E+04   0.180877E+00   0.523603E-03  -0.130915E+01
    59   0.164492E+04   0.190321E+00   0.541867E-03  -0.160024E+01
    60   0.166437E+04   0.200015E+00   0.560442E-03  -0.190362E+01
    61   0.168436E+04   0.210056E+00   0.579329E-03  -0.221830E+01
    62   0.170429E+04   0.220428E+00   0.598526E-03  -0.254532E+01
    63   0.172439E+04   0.231086E+00   0.618034E-03  -0.288587E+01
    64   0.174495E+04   0.242039E+00   0.637853E-03  -0.324135E+01
    65   0.176560E+04   0.253257E+00   0.657983E-03  -0.361255E+01
    66   0.178663E+04   0.264669E+00   0.678424E-03  -0.399780E+01
    67   0.180787E+04   0.276277E+00   0.699177E-03  -0.439443E+01
    68   0.182961E+04   0.288122E+00   0.720242E-03  -0.480085E+01
    69   0.185159E+04   0.300165E+00   0.741619E-03  -0.521538E+01
    70   0.187396E+04   0.312446E+00   0.763310E-03  -0.563979E+01
    71   0.189654E+04   0.324956E+00   0.785314E-03  -0.607643E+01
    72   0.191938E+04   0.337671E+00   0.807632E-03  -0.652622E+01
    73   0.194242E+04   0.350559E+00   0.830265E-03  -0.698920E+01
    74   0.196572E+04   0.363614E+00   0.853215E-03  -0.746393E+01
    75   0.198938E+04   0.376847E+00   0.876481E-03  -0.794838E+01
    76   0.201336E+04   0.390263E+00   0.900065E-03  -0.844155E+01
    77   0.203769E+04   0.403849E+00   0.923968E-03  -0.894364E+01
    78   0.206242E+04   0.417631E+00   0.948191E-03  -0.945661E+01
    79   0.208736E+04   0.431548E+00   0.972736E-03  -0.997726E+01
    80   0.211260E+04   0.445601E+00   0.997603E-03  -0.105076E+02
    81   0.213804E+04   0.459739E+00   0.102279E-02  -0.110484E+02
    82   0.216376E+04   0.473981E+00   0.104831E-02  -0.115990E+02
    83   0.218969E+04   0.488304E+00   0.107415E-02  -0.121586E+02
    84   0.221591E+04   0.502706E+00   0.110033E-02  -0.127255E+02
    85   0.224229E+04   0.517161E+00   0.112683E-02  -0.133005E+02
    86   0.226890E+04   0.531683E+00   0.115366E-02  -0.138825E+02
    87   0.229597E+04   0.546242E+00   0.118083E-02  -0.144706E+02
    88   0.232306E+04   0.560854E+00   0.120833E-02  -0.150646E+02
    89   0.235052E+04   0.575505E+00   0.123617E-02  -0.156659E+02
    90   0.237822E+04   0.590159E+00   0.126435E-02  -0.162714E+02
