#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.364555E+04   0.152890E+00   0.000000E+00  -0.422325E+00   0.578040E-07   0.335287E-02  -0.330748E-06
    56   0.361246E+04   0.161839E+00   0.000000E+00  -0.681139E+00   0.579083E-07   0.329698E-02  -0.310396E-06
    57   0.358104E+04   0.170926E+00   0.000000E+00  -0.952477E+00   0.579995E-07   0.324256E-02  -0.285503E-06
    58   0.355126E+04   0.180162E+00   0.000000E+00  -0.123657E+01   0.580778E-07   0.318936E-02  -0.258006E-06
    59   0.352297E+04   0.189589E+00   0.000000E+00  -0.153367E+01   0.581435E-07   0.313717E-02  -0.229842E-06
    60   0.349616E+04   0.199264E+00   0.000000E+00  -0.184259E+01   0.581969E-07   0.308572E-02  -0.202942E-06
    61   0.347109E+04   0.209282E+00   0.000000E+00  -0.216212E+01   0.582383E-07   0.303484E-02  -0.179064E-06
    62   0.344714E+04   0.219629E+00   0.000000E+00  -0.249327E+01   0.582681E-07   0.298449E-02  -0.159277E-06
    63   0.342448E+04   0.230262E+00   0.000000E+00  -0.283725E+01   0.582869E-07   0.293468E-02  -0.144479E-06
    64   0.340337E+04   0.241191E+00   0.000000E+00  -0.319548E+01   0.582949E-07   0.288543E-02  -0.135566E-06
    65   0.338339E+04   0.252388E+00   0.000000E+00  -0.356879E+01   0.582928E-07   0.283675E-02  -0.133433E-06
    66   0.336479E+04   0.263783E+00   0.000000E+00  -0.395550E+01   0.582810E-07   0.278868E-02  -0.139119E-06
    67   0.334739E+04   0.275379E+00   0.000000E+00  -0.435294E+01   0.582597E-07   0.274129E-02  -0.154245E-06
    68   0.333144E+04   0.287217E+00   0.000000E+00  -0.475947E+01   0.582292E-07   0.269467E-02  -0.180573E-06
    69   0.331669E+04   0.299257E+00   0.000000E+00  -0.517339E+01   0.581900E-07   0.264894E-02  -0.219866E-06
    70   0.330326E+04   0.311539E+00   0.000000E+00  -0.559642E+01   0.581422E-07   0.260417E-02  -0.273883E-06
    71   0.329096E+04   0.324054E+00   0.000000E+00  -0.603101E+01   0.580861E-07   0.256045E-02  -0.342228E-06
    72   0.327979E+04   0.336775E+00   0.000000E+00  -0.647853E+01   0.580219E-07   0.251769E-02  -0.415900E-06
    73   0.326970E+04   0.349669E+00   0.000000E+00  -0.693961E+01   0.579496E-07   0.247581E-02  -0.483752E-06
    74   0.326068E+04   0.362723E+00   0.000000E+00  -0.741340E+01   0.578693E-07   0.243470E-02  -0.534652E-06
    75   0.325282E+04   0.375948E+00   0.000000E+00  -0.789845E+01   0.577811E-07   0.239427E-02  -0.557479E-06
    76   0.324604E+04   0.389346E+00   0.000000E+00  -0.839411E+01   0.576849E-07   0.235444E-02  -0.545043E-06
    77   0.324039E+04   0.402908E+00   0.000000E+00  -0.890013E+01   0.575812E-07   0.231517E-02  -0.505842E-06
    78   0.323589E+04   0.416659E+00   0.000000E+00  -0.941780E+01   0.574702E-07   0.227644E-02  -0.452280E-06
    79   0.323236E+04   0.430545E+00   0.000000E+00  -0.994321E+01   0.573522E-07   0.223825E-02  -0.396751E-06
    80   0.322988E+04   0.444570E+00   0.000000E+00  -0.104777E+02   0.572274E-07   0.220056E-02  -0.351636E-06
    81   0.322836E+04   0.458683E+00   0.000000E+00  -0.110216E+02   0.570962E-07   0.216338E-02  -0.326931E-06
    82   0.322785E+04   0.472905E+00   0.000000E+00  -0.115740E+02   0.569588E-07   0.212675E-02  -0.323132E-06
    83   0.322826E+04   0.487212E+00   0.000000E+00  -0.121346E+02   0.568155E-07   0.209072E-02  -0.338363E-06
    84   0.322966E+04   0.501601E+00   0.000000E+00  -0.127017E+02   0.566665E-07   0.205534E-02  -0.370749E-06
    85   0.323188E+04   0.516046E+00   0.000000E+00  -0.132763E+02   0.565122E-07   0.202066E-02  -0.418420E-06
    86   0.323499E+04   0.530560E+00   0.000000E+00  -0.138575E+02   0.563527E-07   0.198672E-02  -0.478925E-06
    87   0.323919E+04   0.545112E+00   0.000000E+00  -0.144444E+02   0.561884E-07   0.195351E-02  -0.547489E-06
    88   0.324400E+04   0.559718E+00   0.000000E+00  -0.150373E+02   0.560193E-07   0.192099E-02  -0.618763E-06
    89   0.324978E+04   0.574363E+00   0.000000E+00  -0.156376E+02   0.558458E-07   0.188914E-02  -0.687401E-06
    90   0.325634E+04   0.589010E+00   0.000000E+00  -0.162423E+02   0.556680E-07   0.185793E-02  -0.748060E-06
    91   0.326360E+04   0.603651E+00   0.000000E+00  -0.168524E+02   0.554862E-07   0.182732E-02  -0.796453E-06
    92   0.327168E+04   0.618273E+00   0.000000E+00  -0.174671E+02   0.553005E-07   0.179730E-02  -0.832508E-06
    93   0.328058E+04   0.632868E+00   0.000000E+00  -0.180864E+02   0.551110E-07   0.176786E-02  -0.857201E-06
    94   0.329007E+04   0.647401E+00   0.000000E+00  -0.187089E+02   0.549179E-07   0.173900E-02  -0.871508E-06
    95   0.330035E+04   0.661871E+00   0.000000E+00  -0.193354E+02   0.547213E-07   0.171069E-02  -0.876405E-06
    96   0.331111E+04   0.676266E+00   0.000000E+00  -0.199651E+02   0.545214E-07   0.168293E-02  -0.872868E-06
    97   0.332280E+04   0.690570E+00   0.000000E+00  -0.205973E+02   0.543182E-07   0.165570E-02  -0.861869E-06
    98   0.333518E+04   0.704777E+00   0.000000E+00  -0.212299E+02   0.541119E-07   0.162900E-02  -0.844381E-06
    99   0.334809E+04   0.718851E+00   0.000000E+00  -0.218659E+02   0.539026E-07   0.160280E-02  -0.821378E-06
   100   0.336175E+04   0.732792E+00   0.000000E+00  -0.225007E+02   0.536905E-07   0.157711E-02  -0.793831E-06
   101   0.337598E+04   0.746661E+00   0.000000E+00  -0.231376E+02   0.534757E-07   0.155192E-02  -0.762711E-06
   102   0.339116E+04   0.760309E+00   0.000000E+00  -0.237741E+02   0.532584E-07   0.152719E-02  -0.728988E-06
   103   0.340669E+04   0.773812E+00   0.000000E+00  -0.244112E+02   0.530386E-07   0.150294E-02  -0.693632E-06
   104   0.342284E+04   0.787171E+00   0.000000E+00  -0.250459E+02   0.528166E-07   0.147914E-02  -0.657613E-06
   105   0.343953E+04   0.800312E+00   0.000000E+00  -0.256797E+02   0.525924E-07   0.145579E-02  -0.621898E-06
   106   0.345682E+04   0.813309E+00   0.000000E+00  -0.263119E+02   0.523662E-07   0.143287E-02  -0.587457E-06
   107   0.347442E+04   0.826016E+00   0.000000E+00  -0.269410E+02   0.521381E-07   0.141038E-02  -0.555256E-06
   108   0.349274E+04   0.838507E+00   0.000000E+00  -0.275679E+02   0.519082E-07   0.138830E-02  -0.526264E-06
   109   0.351157E+04   0.850708E+00   0.000000E+00  -0.281910E+02   0.516767E-07   0.136662E-02  -0.501446E-06
   110   0.353081E+04   0.862621E+00   0.000000E+00  -0.288090E+02   0.514438E-07   0.134533E-02  -0.481770E-06
   111   0.355054E+04   0.874320E+00   0.000000E+00  -0.294233E+02   0.512095E-07   0.132442E-02  -0.467964E-06
   112   0.357073E+04   0.885732E+00   0.000000E+00  -0.300331E+02   0.509740E-07   0.130388E-02  -0.459809E-06
   113   0.359146E+04   0.896856E+00   0.000000E+00  -0.306371E+02   0.507373E-07   0.128372E-02  -0.456851E-06
   114   0.361257E+04   0.907619E+00   0.000000E+00  -0.312344E+02   0.504995E-07   0.126392E-02  -0.458635E-06
   115   0.363421E+04   0.918169E+00   0.000000E+00  -0.318250E+02   0.502607E-07   0.124449E-02  -0.464706E-06
   116   0.365613E+04   0.928285E+00   0.000000E+00  -0.324082E+02   0.500210E-07   0.122542E-02  -0.474609E-06
   117   0.367864E+04   0.938040E+00   0.000000E+00  -0.329831E+02   0.497804E-07   0.120670E-02  -0.487891E-06
   118   0.370157E+04   0.947584E+00   0.000000E+00  -0.335506E+02   0.495391E-07   0.118834E-02  -0.504098E-06
   119   0.372477E+04   0.956769E+00   0.000000E+00  -0.341084E+02   0.492972E-07   0.117033E-02  -0.522776E-06
   120   0.374838E+04   0.965445E+00   0.000000E+00  -0.346564E+02   0.490547E-07   0.115267E-02  -0.543471E-06
   121   0.377225E+04   0.973911E+00   0.000000E+00  -0.351947E+02   0.488117E-07   0.113534E-02  -0.565730E-06
   122   0.379643E+04   0.981870E+00   0.000000E+00  -0.357224E+02   0.485682E-07   0.111836E-02  -0.589101E-06
   123   0.382093E+04   0.989396E+00   0.000000E+00  -0.362397E+02   0.483245E-07   0.110171E-02  -0.613130E-06
   124   0.384573E+04   0.996565E+00   0.000000E+00  -0.367434E+02   0.480806E-07   0.108539E-02  -0.637366E-06
   125   0.387075E+04   0.100330E+01   0.000000E+00  -0.372358E+02   0.478364E-07   0.106940E-02  -0.661354E-06
   126   0.389606E+04   0.100968E+01   0.000000E+00  -0.377162E+02   0.475923E-07   0.105373E-02  -0.684644E-06
   127   0.392158E+04   0.101555E+01   0.000000E+00  -0.381837E+02   0.473481E-07   0.103838E-02  -0.706782E-06
   128   0.394730E+04   0.102107E+01   0.000000E+00  -0.386377E+02   0.471041E-07   0.102336E-02  -0.727318E-06
   129   0.397328E+04   0.102608E+01   0.000000E+00  -0.390774E+02   0.468603E-07   0.100864E-02  -0.745798E-06
   130   0.399945E+04   0.103059E+01   0.000000E+00  -0.395019E+02   0.466167E-07   0.994234E-03  -0.761773E-06
   131   0.402580E+04   0.103474E+01   0.000000E+00  -0.399129E+02   0.463735E-07   0.980135E-03  -0.774896E-06
   132   0.405239E+04   0.103839E+01   0.000000E+00  -0.403073E+02   0.461308E-07   0.966335E-03  -0.785253E-06
   133   0.407908E+04   0.104161E+01   0.000000E+00  -0.406874E+02   0.458885E-07   0.952830E-03  -0.793038E-06
   134   0.410593E+04   0.104439E+01   0.000000E+00  -0.410488E+02   0.456467E-07   0.939612E-03  -0.798442E-06
   135   0.413295E+04   0.104668E+01   0.000000E+00  -0.413945E+02   0.454054E-07   0.926676E-03  -0.801657E-06
   136   0.415998E+04   0.104846E+01   0.000000E+00  -0.417208E+02   0.451647E-07   0.914016E-03  -0.802875E-06
   137   0.418717E+04   0.104982E+01   0.000000E+00  -0.420300E+02   0.449247E-07   0.901625E-03  -0.802289E-06
   138   0.421444E+04   0.105067E+01   0.000000E+00  -0.423207E+02   0.446853E-07   0.889497E-03  -0.800091E-06
   139   0.424164E+04   0.105117E+01   0.000000E+00  -0.425921E+02   0.444467E-07   0.877626E-03  -0.796473E-06
   140   0.426906E+04   0.105110E+01   0.000000E+00  -0.428450E+02   0.442088E-07   0.866005E-03  -0.791626E-06
   141   0.429640E+04   0.105052E+01   0.000000E+00  -0.430773E+02   0.439718E-07   0.854630E-03  -0.785743E-06
   142   0.432388E+04   0.104952E+01   0.000000E+00  -0.432897E+02   0.437356E-07   0.843493E-03  -0.779014E-06
   143   0.435144E+04   0.104809E+01   0.000000E+00  -0.434822E+02   0.435003E-07   0.832589E-03  -0.771633E-06
   144   0.437890E+04   0.104616E+01   0.000000E+00  -0.436542E+02   0.432660E-07   0.821911E-03  -0.763790E-06
   145   0.440635E+04   0.104388E+01   0.000000E+00  -0.438049E+02   0.430326E-07   0.811453E-03  -0.755676E-06
   146   0.443400E+04   0.104102E+01   0.000000E+00  -0.439344E+02   0.428003E-07   0.801209E-03  -0.747485E-06
   147   0.446141E+04   0.103782E+01   0.000000E+00  -0.440412E+02   0.425691E-07   0.791174E-03  -0.739406E-06
   148   0.448879E+04   0.103411E+01   0.000000E+00  -0.441269E+02   0.423389E-07   0.781340E-03  -0.731632E-06
   149   0.451622E+04   0.102999E+01   0.000000E+00  -0.441900E+02   0.421100E-07   0.771702E-03  -0.724354E-06
   150   0.454347E+04   0.102551E+01   0.000000E+00  -0.442283E+02   0.418823E-07   0.762254E-03  -0.717763E-06
   151   0.457068E+04   0.102061E+01   0.000000E+00  -0.442448E+02   0.416558E-07   0.752990E-03  -0.712007E-06
   152   0.459771E+04   0.101521E+01   0.000000E+00  -0.442380E+02   0.414306E-07   0.743906E-03  -0.707058E-06
   153   0.462470E+04   0.100946E+01   0.000000E+00  -0.442058E+02   0.412067E-07   0.734998E-03  -0.702847E-06
