#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.491162E+08   0.491162E+08   0.654713E+08   0.654709E+08   0.491196E+08   0.491162E+08   0.491162E+08   0.491337E+08  -0.443772E+00   0.408724E+07   0.408724E+07   0.679268E+01   0.932465E+05   0.975502E+00  -0.410930E+14
   0.109829E-04   0.491091E+08   0.491091E+08   0.654582E+08   0.654576E+08   0.491125E+08   0.491091E+08   0.491091E+08   0.491266E+08  -0.443708E+00   0.408712E+07   0.408712E+07   0.750008E+01   0.770404E+05   0.975316E+00  -0.372147E+14
   0.121272E-04   0.491005E+08   0.491005E+08   0.654421E+08   0.654415E+08   0.491038E+08   0.491005E+08   0.491005E+08   0.491180E+08  -0.443630E+00   0.408697E+07   0.408697E+07   0.828108E+01   0.637477E+05   0.975089E+00  -0.337021E+14
   0.133906E-04   0.490900E+08   0.490900E+08   0.654226E+08   0.654218E+08   0.490933E+08   0.490900E+08   0.490900E+08   0.491075E+08  -0.443535E+00   0.408678E+07   0.408678E+07   0.914332E+01   0.528445E+05   0.974812E+00  -0.305209E+14
   0.147857E-04   0.490771E+08   0.490771E+08   0.653988E+08   0.653978E+08   0.490805E+08   0.490772E+08   0.490771E+08   0.490946E+08  -0.443419E+00   0.408656E+07   0.408656E+07   0.100952E+02   0.439010E+05   0.974476E+00  -0.276396E+14
   0.163261E-04   0.490615E+08   0.490615E+08   0.653697E+08   0.653686E+08   0.490648E+08   0.490616E+08   0.490615E+08   0.490790E+08  -0.443278E+00   0.408629E+07   0.408629E+07   0.111460E+02   0.365648E+05   0.974065E+00  -0.250301E+14
   0.180270E-04   0.490425E+08   0.490425E+08   0.653344E+08   0.653330E+08   0.490458E+08   0.490425E+08   0.490425E+08   0.490600E+08  -0.443106E+00   0.408596E+07   0.408596E+07   0.123060E+02   0.305466E+05   0.973566E+00  -0.226666E+14
   0.199051E-04   0.490194E+08   0.490194E+08   0.652913E+08   0.652896E+08   0.490226E+08   0.490194E+08   0.490194E+08   0.490368E+08  -0.442897E+00   0.408555E+07   0.408555E+07   0.135864E+02   0.256093E+05   0.972958E+00  -0.205259E+14
   0.219788E-04   0.489912E+08   0.489912E+08   0.652389E+08   0.652368E+08   0.489944E+08   0.489912E+08   0.489912E+08   0.490086E+08  -0.442642E+00   0.408506E+07   0.408506E+07   0.149997E+02   0.215581E+05   0.972217E+00  -0.185870E+14
   0.242687E-04   0.489569E+08   0.489569E+08   0.651751E+08   0.651725E+08   0.489600E+08   0.489569E+08   0.489569E+08   0.489743E+08  -0.442332E+00   0.408447E+07   0.408447E+07   0.165594E+02   0.182336E+05   0.971317E+00  -0.168308E+14
   0.267970E-04   0.489151E+08   0.489151E+08   0.650974E+08   0.650943E+08   0.489182E+08   0.489152E+08   0.489151E+08   0.489325E+08  -0.441955E+00   0.408374E+07   0.408374E+07   0.182805E+02   0.155045E+05   0.970221E+00  -0.152401E+14
   0.295888E-04   0.488644E+08   0.488644E+08   0.650029E+08   0.649991E+08   0.488674E+08   0.488644E+08   0.488644E+08   0.488818E+08  -0.441497E+00   0.408285E+07   0.408285E+07   0.201796E+02   0.132635E+05   0.968889E+00  -0.137992E+14
   0.326714E-04   0.488028E+08   0.488028E+08   0.648880E+08   0.648834E+08   0.488057E+08   0.488028E+08   0.488028E+08   0.488201E+08  -0.440940E+00   0.408178E+07   0.408178E+07   0.222746E+02   0.114221E+05   0.967272E+00  -0.124939E+14
   0.360752E-04   0.487279E+08   0.487279E+08   0.647484E+08   0.647428E+08   0.487307E+08   0.487279E+08   0.487279E+08   0.487452E+08  -0.440263E+00   0.408047E+07   0.408047E+07   0.245854E+02   0.990779E+04   0.965308E+00  -0.113114E+14
   0.398336E-04   0.486371E+08   0.486371E+08   0.645789E+08   0.645721E+08   0.486398E+08   0.486371E+08   0.486371E+08   0.486544E+08  -0.439443E+00   0.407888E+07   0.407888E+07   0.271335E+02   0.866098E+04   0.962928E+00  -0.102402E+14
   0.439836E-04   0.485271E+08   0.485271E+08   0.643733E+08   0.643649E+08   0.485296E+08   0.485271E+08   0.485271E+08   0.485443E+08  -0.438449E+00   0.407695E+07   0.407695E+07   0.299425E+02   0.763258E+04   0.960044E+00  -0.926960E+13
   0.485659E-04   0.483939E+08   0.483939E+08   0.641240E+08   0.641139E+08   0.483963E+08   0.483939E+08   0.483939E+08   0.484110E+08  -0.437246E+00   0.407462E+07   0.407461E+07   0.330380E+02   0.678215E+04   0.956556E+00  -0.839018E+13
   0.536256E-04   0.482330E+08   0.482330E+08   0.638223E+08   0.638100E+08   0.482351E+08   0.482330E+08   0.482330E+08   0.482501E+08  -0.435792E+00   0.407179E+07   0.407178E+07   0.364478E+02   0.607631E+04   0.952344E+00  -0.759326E+13
