#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.919995E+08   0.919995E+08   0.122599E+09   0.122598E+09   0.920043E+08   0.919995E+08   0.919995E+08   0.920322E+08  -0.207894E+00   0.183229E+08   0.183229E+08   0.169494E+02   0.165990E+03  -0.115704E+01  -0.184218E+15
   0.109829E-04   0.920776E+08   0.920776E+08   0.122688E+09   0.122688E+09   0.920824E+08   0.920776E+08   0.920776E+08   0.921104E+08  -0.208071E+00   0.183190E+08   0.183190E+08   0.187078E+02   0.136072E+03  -0.115454E+01  -0.166801E+15
   0.121272E-04   0.921723E+08   0.921723E+08   0.122797E+09   0.122796E+09   0.921772E+08   0.921723E+08   0.921723E+08   0.922052E+08  -0.208285E+00   0.183143E+08   0.183143E+08   0.206467E+02   0.111533E+03  -0.115133E+01  -0.151024E+15
   0.133906E-04   0.922872E+08   0.922872E+08   0.122928E+09   0.122927E+09   0.922920E+08   0.922872E+08   0.922872E+08   0.923200E+08  -0.208544E+00   0.183086E+08   0.183086E+08   0.227840E+02   0.914065E+02  -0.114730E+01  -0.136732E+15
   0.147857E-04   0.924261E+08   0.924261E+08   0.123087E+09   0.123086E+09   0.924309E+08   0.924262E+08   0.924261E+08   0.924590E+08  -0.208857E+00   0.183016E+08   0.183016E+08   0.251393E+02   0.748987E+02  -0.114229E+01  -0.123783E+15
   0.163261E-04   0.925940E+08   0.925940E+08   0.123279E+09   0.123277E+09   0.925988E+08   0.925941E+08   0.925940E+08   0.926270E+08  -0.209236E+00   0.182929E+08   0.182929E+08   0.277333E+02   0.613591E+02  -0.113612E+01  -0.112051E+15
   0.180270E-04   0.927965E+08   0.927965E+08   0.123510E+09   0.123507E+09   0.928012E+08   0.927965E+08   0.927965E+08   0.928295E+08  -0.209693E+00   0.182824E+08   0.182824E+08   0.305888E+02   0.502539E+02  -0.112855E+01  -0.101420E+15
   0.199051E-04   0.930399E+08   0.930398E+08   0.123786E+09   0.123784E+09   0.930446E+08   0.930399E+08   0.930399E+08   0.930730E+08  -0.210243E+00   0.182693E+08   0.182693E+08   0.337297E+02   0.411455E+02  -0.111932E+01  -0.917857E+14
   0.219788E-04   0.933315E+08   0.933315E+08   0.124117E+09   0.124114E+09   0.933362E+08   0.933316E+08   0.933315E+08   0.933647E+08  -0.210901E+00   0.182533E+08   0.182533E+08   0.371814E+02   0.336747E+02  -0.110809E+01  -0.830526E+14
   0.242687E-04   0.936796E+08   0.936796E+08   0.124511E+09   0.124507E+09   0.936842E+08   0.936796E+08   0.936796E+08   0.937129E+08  -0.211687E+00   0.182336E+08   0.182336E+08   0.409706E+02   0.275473E+02  -0.109450E+01  -0.751350E+14
   0.267970E-04   0.940927E+08   0.940927E+08   0.124976E+09   0.124972E+09   0.940972E+08   0.940927E+08   0.940927E+08   0.941261E+08  -0.212619E+00   0.182092E+08   0.182092E+08   0.451242E+02   0.225216E+02  -0.107809E+01  -0.679548E+14
   0.295888E-04   0.945797E+08   0.945797E+08   0.125522E+09   0.125517E+09   0.945841E+08   0.945797E+08   0.945797E+08   0.946132E+08  -0.213718E+00   0.181790E+08   0.181790E+08   0.496694E+02   0.183997E+02  -0.105838E+01  -0.614411E+14
   0.326714E-04   0.951488E+08   0.951488E+08   0.126156E+09   0.126149E+09   0.951531E+08   0.951488E+08   0.951488E+08   0.951825E+08  -0.215003E+00   0.181415E+08   0.181415E+08   0.546324E+02   0.150191E+02  -0.103479E+01  -0.555293E+14
   0.360752E-04   0.958064E+08   0.958064E+08   0.126881E+09   0.126873E+09   0.958106E+08   0.958065E+08   0.958064E+08   0.958404E+08  -0.216487E+00   0.180950E+08   0.180950E+08   0.600372E+02   0.122467E+02  -0.100674E+01  -0.501609E+14
