#           k/h    P           
 0.28219123E-02 0.51617310E+04
 0.28789188E-02 0.52234297E+04
 0.29370766E-02 0.52861128E+04
 0.29964095E-02 0.53497744E+04
 0.30569409E-02 0.54144067E+04
 0.31186952E-02 0.54800024E+04
 0.31816978E-02 0.55465522E+04
 0.32459723E-02 0.56140469E+04
 0.33115451E-02 0.56824761E+04
 0.33784427E-02 0.57518271E+04
 0.34466919E-02 0.58220889E+04
 0.35163197E-02 0.58932466E+04
 0.35873537E-02 0.59652861E+04
 0.36598232E-02 0.60381914E+04
 0.37337563E-02 0.61119463E+04
 0.38091831E-02 0.61865322E+04
 0.38861334E-02 0.62619297E+04
 0.39646388E-02 0.63381196E+04
 0.40447293E-02 0.64150806E+04
 0.41264393E-02 0.64927910E+04
 0.42097992E-02 0.65712266E+04
 0.42948425E-02 0.66503623E+04
 0.43816040E-02 0.67301704E+04
 0.44701183E-02 0.68106206E+04
 0.45604203E-02 0.68916821E+04
 0.46525472E-02 0.69733213E+04
 0.47465344E-02 0.70555073E+04
 0.48424210E-02 0.71382134E+04
 0.49402444E-02 0.72214121E+04
 0.50400435E-02 0.73050762E+04
 0.51418589E-02 0.73891753E+04
 0.52457317E-02 0.74736733E+04
 0.53517036E-02 0.75585166E+04
 0.54598148E-02 0.76436494E+04
 0.55701104E-02 0.77290112E+04
 0.56826337E-02 0.78145420E+04
 0.57974309E-02 0.79001851E+04
 0.59145465E-02 0.79858955E+04
 0.60340283E-02 0.80716294E+04
 0.61559235E-02 0.81573408E+04
 0.62802811E-02 0.82429824E+04
 0.64071510E-02 0.83285039E+04
 0.65365843E-02 0.84138418E+04
 0.66686315E-02 0.84989346E+04
 0.68033468E-02 0.85837168E+04
 0.69407835E-02 0.86681221E+04
 0.70809964E-02 0.87520820E+04
 0.72240415E-02 0.88355264E+04
 0.73699774E-02 0.89183838E+04
 0.75188605E-02 0.90005791E+04
 0.76707508E-02 0.90820391E+04
 0.78257136E-02 0.91626846E+04
 0.79838037E-02 0.92424365E+04
 0.81450874E-02 0.93212129E+04
 0.83096288E-02 0.93989316E+04
 0.84774951E-02 0.94755068E+04
 0.86487513E-02 0.95508525E+04
 0.88234674E-02 0.96248770E+04
 0.90017123E-02 0.96974863E+04
 0.91835596E-02 0.97685879E+04
 0.93690790E-02 0.98380879E+04
 0.95583471E-02 0.99058887E+04
 0.97514391E-02 0.99718887E+04
 0.99484306E-02 0.10035989E+05
 0.10149402E-01 0.10098087E+05
 0.10354433E-01 0.10158081E+05
 0.10563606E-01 0.10215858E+05
 0.10777006E-01 0.10271299E+05
 0.10994715E-01 0.10324279E+05
 0.11216822E-01 0.10374678E+05
 0.11443418E-01 0.10422375E+05
 0.11674589E-01 0.10467271E+05
 0.11910431E-01 0.10509286E+05
 0.12151038E-01 0.10548344E+05
 0.12396505E-01 0.10584368E+05
 0.12646930E-01 0.10617276E+05
 0.12902415E-01 0.10646884E+05
 0.13163067E-01 0.10672926E+05
 0.13428980E-01 0.10695138E+05
 0.13700262E-01 0.10713256E+05
 0.13977026E-01 0.10727054E+05
 0.14259379E-01 0.10736701E+05
 0.14547437E-01 0.10742628E+05
 0.14841316E-01 0.10745273E+05
 0.15141129E-01 0.10745081E+05
 0.15447001E-01 0.10742415E+05
 0.15759049E-01 0.10736832E+05
 0.16077405E-01 0.10727420E+05
 0.16402189E-01 0.10713270E+05
 0.16733535E-01 0.10693481E+05
 0.17071573E-01 0.10667269E+05
 0.17416442E-01 0.10634716E+05
 0.17768279E-01 0.10596351E+05
 0.18127220E-01 0.10552710E+05
 0.18493414E-01 0.10504328E+05
 0.18867005E-01 0.10451645E+05
 0.19248145E-01 0.10394391E+05
 0.19636983E-01 0.10331993E+05
 0.20033674E-01 0.10263900E+05
 0.20438381E-01 0.10189585E+05
 0.20851264E-01 0.10108668E+05
 0.21272486E-01 0.10021537E+05
 0.21702228E-01 0.99288799E+04
 0.22140643E-01 0.98313750E+04
 0.22587912E-01 0.97296875E+04
 0.23044219E-01 0.96243975E+04
 0.23509743E-01 0.95156787E+04
 0.23984671E-01 0.94035762E+04
 0.24469191E-01 0.92881396E+04
 0.24963502E-01 0.91694258E+04
 0.25467798E-01 0.90474873E+04
 0.25982281E-01 0.89223086E+04
 0.26507158E-01 0.87938662E+04
 0.27042639E-01 0.86621494E+04
 0.27588934E-01 0.85271660E+04
 0.28146267E-01 0.83889971E+04
 0.28714858E-01 0.82480010E+04
 0.29294936E-01 0.81045972E+04
 0.29886734E-01 0.79591914E+04
 0.30490484E-01 0.78121763E+04
 0.31106433E-01 0.76639771E+04
 0.31734824E-01 0.75151841E+04
 0.32375909E-01 0.73663936E+04
 0.33029947E-01 0.72181646E+04
 0.33697195E-01 0.70710156E+04
 0.34377921E-01 0.69253916E+04
 0.35072401E-01 0.67815869E+04
 0.35780910E-01 0.66398472E+04
 0.36503751E-01 0.65003984E+04
 0.37241172E-01 0.63634458E+04
 0.37993494E-01 0.62292559E+04
 0.38761012E-01 0.60982979E+04
 0.39544035E-01 0.59710381E+04
 0.40342879E-01 0.58479004E+04
