#    L    TT             EE             BB             TE          
     2   0.268691E+04   0.633241E-01   0.158489E-05   0.118343E+02
     3   0.200150E+04   0.930969E-01   0.317039E-05   0.108733E+02
     4   0.151461E+04   0.100107E+00   0.528535E-05   0.829050E+01
     5   0.126318E+04   0.863923E-01   0.793058E-05   0.600315E+01
     6   0.113490E+04   0.624572E-01   0.111071E-04   0.435228E+01
     7   0.106474E+04   0.390455E-01   0.148160E-04   0.321477E+01
     8   0.102413E+04   0.222792E-01   0.190587E-04   0.242617E+01
     9   0.999615E+03   0.131388E-01   0.238366E-04   0.186900E+01
    10   0.984149E+03   0.945420E-02   0.291516E-04   0.148361E+01
    11   0.974558E+03   0.833295E-02   0.350052E-04   0.123153E+01
    12   0.969997E+03   0.778818E-02   0.413995E-04   0.109101E+01
    13   0.968269E+03   0.696807E-02   0.483364E-04   0.103713E+01
    14   0.968213E+03   0.607120E-02   0.558180E-04   0.104297E+01
    15   0.970021E+03   0.538912E-02   0.638465E-04   0.108793E+01
    16   0.974018E+03   0.512839E-02   0.724241E-04   0.115414E+01
    17   0.980010E+03   0.528286E-02   0.815530E-04   0.122517E+01
    18   0.986949E+03   0.560958E-02   0.912354E-04   0.128951E+01
    19   0.995652E+03   0.597952E-02   0.101474E-03   0.134706E+01
    20   0.100445E+04   0.637362E-02   0.112270E-03   0.139701E+01
    21   0.101367E+04   0.683168E-02   0.123627E-03   0.143863E+01
    22   0.102358E+04   0.748089E-02   0.135546E-03   0.147166E+01
    23   0.103396E+04   0.837990E-02   0.148029E-03   0.150263E+01
    24   0.104485E+04   0.952957E-02   0.161079E-03   0.153869E+01
    25   0.105620E+04   0.109394E-01   0.174696E-03   0.158258E+01
    26   0.106784E+04   0.125764E-01   0.188884E-03   0.163517E+01
    27   0.108002E+04   0.143936E-01   0.203643E-03   0.168714E+01
    28   0.109261E+04   0.163756E-01   0.218976E-03   0.173028E+01
    29   0.110562E+04   0.185324E-01   0.234882E-03   0.176593E+01
    30   0.111890E+04   0.208825E-01   0.251364E-03   0.179585E+01
    31   0.113234E+04   0.234120E-01   0.268422E-03   0.182021E+01
    32   0.114619E+04   0.260957E-01   0.286058E-03   0.183809E+01
    33   0.116048E+04   0.289442E-01   0.304271E-03   0.184591E+01
    34   0.117502E+04   0.319867E-01   0.323062E-03   0.184154E+01
    35   0.118978E+04   0.352447E-01   0.342431E-03   0.182828E+01
    36   0.120468E+04   0.387386E-01   0.362379E-03   0.180827E+01
    37   0.121973E+04   0.424609E-01   0.382905E-03   0.177727E+01
    38   0.123524E+04   0.464082E-01   0.404010E-03   0.173284E+01
    39   0.125118E+04   0.505919E-01   0.425691E-03   0.167727E+01
    40   0.126729E+04   0.550329E-01   0.447949E-03   0.161381E+01
    41   0.128368E+04   0.597522E-01   0.470784E-03   0.154454E+01
    42   0.130011E+04   0.647508E-01   0.494193E-03   0.146762E+01
    43   0.131674E+04   0.700248E-01   0.518176E-03   0.138025E+01
    44   0.133341E+04   0.755554E-01   0.542732E-03   0.128050E+01
    45   0.135050E+04   0.813341E-01   0.567860E-03   0.116655E+01
    46   0.136792E+04   0.873574E-01   0.593558E-03   0.103530E+01
    47   0.138553E+04   0.936280E-01   0.619824E-03   0.888544E+00
    48   0.140327E+04   0.100157E+00   0.646658E-03   0.731947E+00
    49   0.142119E+04   0.106933E+00   0.674057E-03   0.570580E+00
    50   0.143954E+04   0.113939E+00   0.702021E-03   0.402731E+00
    51   0.145808E+04   0.121149E+00   0.730547E-03   0.224863E+00
    52   0.147703E+04   0.128647E+00   0.759633E-03   0.317652E-01
    53   0.149603E+04   0.136576E+00   0.789280E-03  -0.180341E+00
    54   0.151500E+04   0.144922E+00   0.819484E-03  -0.407267E+00
    55   0.153416E+04   0.153659E+00   0.850245E-03  -0.644708E+00
    56   0.155373E+04   0.162640E+00   0.881561E-03  -0.894455E+00
    57   0.157364E+04   0.171759E+00   0.913432E-03  -0.115638E+01
    58   0.159387E+04   0.181027E+00   0.945855E-03  -0.143112E+01
    59   0.161429E+04   0.190486E+00   0.978831E-03  -0.171932E+01
    60   0.163489E+04   0.200192E+00   0.101236E-02  -0.202020E+01
    61   0.165596E+04   0.210242E+00   0.104644E-02  -0.233284E+01
    62   0.167692E+04   0.220619E+00   0.108106E-02  -0.265821E+01
    63   0.169800E+04   0.231283E+00   0.111624E-02  -0.299735E+01
    64   0.171950E+04   0.242243E+00   0.115197E-02  -0.335155E+01
    65   0.174108E+04   0.253470E+00   0.118825E-02  -0.372147E+01
    66   0.176302E+04   0.264897E+00   0.122507E-02  -0.410528E+01
    67   0.178515E+04   0.276524E+00   0.126245E-02  -0.450012E+01
    68   0.180774E+04   0.288392E+00   0.130038E-02  -0.490417E+01
    69   0.183054E+04   0.300463E+00   0.133886E-02  -0.531554E+01
    70   0.185366E+04   0.312777E+00   0.137790E-02  -0.573575E+01
    71   0.187694E+04   0.325324E+00   0.141749E-02  -0.616711E+01
    72   0.190041E+04   0.338077E+00   0.145763E-02  -0.661103E+01
    73   0.192405E+04   0.351002E+00   0.149834E-02  -0.706822E+01
    74   0.194790E+04   0.364088E+00   0.153960E-02  -0.753791E+01
    75   0.197208E+04   0.377345E+00   0.158143E-02  -0.801873E+01
    76   0.199657E+04   0.390774E+00   0.162382E-02  -0.851013E+01
    77   0.202140E+04   0.404367E+00   0.166678E-02  -0.901195E+01
    78   0.204661E+04   0.418150E+00   0.171030E-02  -0.952560E+01
    79   0.207201E+04   0.432067E+00   0.175440E-02  -0.100473E+02
    80   0.209771E+04   0.446122E+00   0.179907E-02  -0.105784E+02
    81   0.212361E+04   0.460266E+00   0.184432E-02  -0.111194E+02
    82   0.214978E+04   0.474519E+00   0.189015E-02  -0.116693E+02
    83   0.217614E+04   0.488856E+00   0.193657E-02  -0.122276E+02
    84   0.220279E+04   0.503275E+00   0.198357E-02  -0.127924E+02
    85   0.222957E+04   0.517750E+00   0.203117E-02  -0.133646E+02
    86   0.225656E+04   0.532294E+00   0.207935E-02  -0.139431E+02
    87   0.228399E+04   0.546877E+00   0.212814E-02  -0.145273E+02
    88   0.231141E+04   0.561513E+00   0.217753E-02  -0.151171E+02
    89   0.233920E+04   0.576188E+00   0.222752E-02  -0.157143E+02
    90   0.236721E+04   0.590864E+00   0.227812E-02  -0.163159E+02
    91   0.239536E+04   0.605535E+00   0.232933E-02  -0.169229E+02
    92   0.242381E+04   0.620186E+00   0.238116E-02  -0.175344E+02
    93   0.245256E+04   0.634811E+00   0.243360E-02  -0.181506E+02
    94   0.248138E+04   0.649373E+00   0.248667E-02  -0.187700E+02
    95   0.251049E+04   0.663874E+00   0.254037E-02  -0.193934E+02
