#    L    TT             EE             BB             TE          
     2   0.238486E+04   0.556230E-01   0.235559E-05   0.432037E+01
     3   0.382866E+04   0.903110E-01   0.471227E-05   0.672425E+01
     4   0.512592E+04   0.100069E+00   0.785621E-05   0.734309E+01
     5   0.614623E+04   0.874859E-01   0.117889E-04   0.677115E+01
     6   0.689413E+04   0.638809E-01   0.165119E-04   0.574462E+01
     7   0.741361E+04   0.404799E-01   0.220276E-04   0.472164E+01
     8   0.775763E+04   0.236301E-01   0.283382E-04   0.389100E+01
     9   0.797480E+04   0.143977E-01   0.354464E-04   0.326322E+01
    10   0.809372E+04   0.106284E-01   0.433552E-04   0.283145E+01
    11   0.814474E+04   0.942739E-02   0.520677E-04   0.254518E+01
    12   0.814618E+04   0.881847E-02   0.615873E-04   0.237145E+01
    13   0.810968E+04   0.793982E-02   0.719175E-04   0.227975E+01
    14   0.804631E+04   0.697889E-02   0.830621E-04   0.224116E+01
    15   0.796332E+04   0.623800E-02   0.950248E-04   0.224641E+01
    16   0.786657E+04   0.593389E-02   0.107810E-03   0.228654E+01
    17   0.776018E+04   0.604657E-02   0.121420E-03   0.233087E+01
    18   0.764678E+04   0.632047E-02   0.135861E-03   0.235463E+01
    19   0.752939E+04   0.664289E-02   0.151136E-03   0.237143E+01
    20   0.740810E+04   0.700949E-02   0.167248E-03   0.239371E+01
    21   0.728466E+04   0.743921E-02   0.184202E-03   0.240515E+01
    22   0.716055E+04   0.803933E-02   0.202001E-03   0.239089E+01
    23   0.703644E+04   0.888781E-02   0.220650E-03   0.237558E+01
    24   0.691313E+04   0.100088E-01   0.240150E-03   0.238766E+01
    25   0.679118E+04   0.114118E-01   0.260506E-03   0.243124E+01
    26   0.667096E+04   0.130558E-01   0.281720E-03   0.249808E+01
    27   0.655316E+04   0.148776E-01   0.303795E-03   0.254751E+01
    28   0.643794E+04   0.168480E-01   0.326734E-03   0.254529E+01
    29   0.632518E+04   0.189819E-01   0.350538E-03   0.251032E+01
    30   0.621463E+04   0.213063E-01   0.375210E-03   0.246981E+01
    31   0.610633E+04   0.238133E-01   0.400751E-03   0.243738E+01
    32   0.600076E+04   0.264818E-01   0.427162E-03   0.241959E+01
    33   0.589805E+04   0.293217E-01   0.454444E-03   0.240828E+01
    34   0.579811E+04   0.323607E-01   0.482598E-03   0.239417E+01
    35   0.570089E+04   0.356178E-01   0.511624E-03   0.237497E+01
    36   0.560627E+04   0.391115E-01   0.541521E-03   0.234815E+01
    37   0.551423E+04   0.428339E-01   0.572289E-03   0.230715E+01
    38   0.542508E+04   0.467812E-01   0.603928E-03   0.224837E+01
    39   0.533878E+04   0.509655E-01   0.636436E-03   0.217545E+01
    40   0.525503E+04   0.554081E-01   0.669811E-03   0.209359E+01
    41   0.517394E+04   0.601304E-01   0.704053E-03   0.200648E+01
    42   0.509523E+04   0.651333E-01   0.739159E-03   0.191251E+01
    43   0.501903E+04   0.704124E-01   0.775127E-03   0.180881E+01
    44   0.494516E+04   0.759484E-01   0.811955E-03   0.169335E+01
    45   0.487397E+04   0.817326E-01   0.849640E-03   0.156421E+01
    46   0.480532E+04   0.877610E-01   0.888179E-03   0.141822E+01
    47   0.473902E+04   0.940366E-01   0.927569E-03   0.125715E+01
    48   0.467491E+04   0.100571E+00   0.967808E-03   0.108665E+01
    49   0.461298E+04   0.107353E+00   0.100889E-02   0.911788E+00
    50   0.455339E+04   0.114365E+00   0.105082E-02   0.730848E+00
    51   0.449585E+04   0.121584E+00   0.109359E-02   0.540316E+00
    52   0.444059E+04   0.129091E+00   0.113719E-02   0.335148E+00
    53   0.438726E+04   0.137029E+00   0.118162E-02   0.111763E+00
    54   0.433582E+04   0.145386E+00   0.122689E-02  -0.125448E+00
    55   0.428650E+04   0.154135E+00   0.127298E-02  -0.371982E+00
    56   0.423953E+04   0.163127E+00   0.131990E-02  -0.629530E+00
    57   0.419471E+04   0.172257E+00   0.136764E-02  -0.898264E+00
    58   0.415189E+04   0.181536E+00   0.141621E-02  -0.117921E+01
    59   0.411078E+04   0.191007E+00   0.146559E-02  -0.147341E+01
    60   0.407123E+04   0.200725E+00   0.151579E-02  -0.178047E+01
    61   0.403342E+04   0.210786E+00   0.156680E-02  -0.209981E+01
    62   0.399678E+04   0.221175E+00   0.161863E-02  -0.243235E+01
    63   0.396156E+04   0.231850E+00   0.167127E-02  -0.277905E+01
    64   0.392813E+04   0.242821E+00   0.172473E-02  -0.314107E+01
    65   0.389616E+04   0.254060E+00   0.177900E-02  -0.351900E+01
    66   0.386598E+04   0.265498E+00   0.183408E-02  -0.391089E+01
    67   0.383736E+04   0.277136E+00   0.188997E-02  -0.431372E+01
    68   0.381051E+04   0.289017E+00   0.194669E-02  -0.472554E+01
    69   0.378512E+04   0.301100E+00   0.200421E-02  -0.514430E+01
    70   0.376125E+04   0.313426E+00   0.206256E-02  -0.557136E+01
    71   0.373867E+04   0.325985E+00   0.212173E-02  -0.600893E+01
    72   0.371740E+04   0.338750E+00   0.218172E-02  -0.645845E+01
    73   0.369738E+04   0.351688E+00   0.224253E-02  -0.692072E+01
    74   0.367864E+04   0.364786E+00   0.230418E-02  -0.739503E+01
    75   0.366128E+04   0.378056E+00   0.236666E-02  -0.788009E+01
    76   0.364524E+04   0.391497E+00   0.242997E-02  -0.837543E+01
    77   0.363055E+04   0.405103E+00   0.249412E-02  -0.888099E+01
    78   0.361724E+04   0.418897E+00   0.255912E-02  -0.939828E+01
    79   0.360511E+04   0.432826E+00   0.262497E-02  -0.992361E+01
    80   0.359425E+04   0.446893E+00   0.269167E-02  -0.104585E+02
    81   0.358456E+04   0.461048E+00   0.275923E-02  -0.110035E+02
    82   0.357608E+04   0.475312E+00   0.282765E-02  -0.115574E+02
    83   0.356871E+04   0.489660E+00   0.289694E-02  -0.121198E+02
    84   0.356251E+04   0.504090E+00   0.296711E-02  -0.126884E+02
    85   0.355732E+04   0.518576E+00   0.303816E-02  -0.132641E+02
    86   0.355318E+04   0.533131E+00   0.311009E-02  -0.138458E+02
    87   0.355029E+04   0.547724E+00   0.318292E-02  -0.144328E+02
    88   0.354819E+04   0.562371E+00   0.325664E-02  -0.150251E+02
    89   0.354721E+04   0.577056E+00   0.333127E-02  -0.156245E+02
