#    L    TT             EE             BB             TE          
     2   0.199939E+04   0.555037E-01   0.219294E-05   0.421878E+01
     3   0.309221E+04   0.899877E-01   0.438687E-05   0.640335E+01
     4   0.405303E+04   0.996449E-01   0.731364E-05   0.688754E+01
     5   0.479525E+04   0.870388E-01   0.109745E-04   0.627590E+01
     6   0.533120E+04   0.634489E-01   0.153712E-04   0.526353E+01
     7   0.569866E+04   0.400745E-01   0.205054E-04   0.427012E+01
     8   0.593944E+04   0.232524E-01   0.263794E-04   0.346446E+01
     9   0.608973E+04   0.140449E-01   0.329956E-04   0.285508E+01
    10   0.617010E+04   0.102983E-01   0.403567E-04   0.243497E+01
    11   0.620256E+04   0.911917E-02   0.484654E-04   0.215893E+01
    12   0.620049E+04   0.852956E-02   0.573248E-04   0.199646E+01
    13   0.617184E+04   0.766899E-02   0.669382E-04   0.191720E+01
    14   0.612438E+04   0.672642E-02   0.773089E-04   0.189181E+01
    15   0.606340E+04   0.600250E-02   0.884403E-04   0.190944E+01
    16   0.599318E+04   0.571244E-02   0.100336E-03   0.196011E+01
    17   0.591665E+04   0.583849E-02   0.112999E-03   0.201530E+01
    18   0.583543E+04   0.612705E-02   0.126434E-03   0.205204E+01
    19   0.575192E+04   0.646262E-02   0.140644E-03   0.208129E+01
    20   0.566569E+04   0.683839E-02   0.155632E-03   0.211307E+01
    21   0.557807E+04   0.727699E-02   0.171402E-03   0.213414E+01
    22   0.549020E+04   0.788921E-02   0.187957E-03   0.213259E+01
    23   0.540249E+04   0.874978E-02   0.205301E-03   0.212983E+01
    24   0.531554E+04   0.987888E-02   0.223436E-03   0.215043E+01
    25   0.522975E+04   0.112859E-01   0.242366E-03   0.219823E+01
    26   0.514533E+04   0.129314E-01   0.262093E-03   0.226650E+01
    27   0.506288E+04   0.147548E-01   0.282620E-03   0.231991E+01
    28   0.498245E+04   0.167293E-01   0.303948E-03   0.232870E+01
    29   0.490395E+04   0.188690E-01   0.326080E-03   0.230884E+01
    30   0.482713E+04   0.211995E-01   0.349017E-03   0.228324E+01
    31   0.475198E+04   0.237118E-01   0.372762E-03   0.226329E+01
    32   0.467892E+04   0.263842E-01   0.397314E-03   0.225429E+01
    33   0.460807E+04   0.292268E-01   0.422675E-03   0.224887E+01
    34   0.453931E+04   0.322675E-01   0.448845E-03   0.223894E+01
    35   0.447260E+04   0.355258E-01   0.475825E-03   0.222316E+01
    36   0.440781E+04   0.390204E-01   0.503614E-03   0.219980E+01
    37   0.434494E+04   0.427436E-01   0.532213E-03   0.216268E+01
    38   0.428430E+04   0.466916E-01   0.561619E-03   0.210840E+01
    39   0.422585E+04   0.508764E-01   0.591833E-03   0.204038E+01
