#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.599046E+08   0.599046E+08   0.798520E+08   0.798516E+08   0.599083E+08   0.599046E+08   0.599046E+08   0.599260E+08  -0.405939E+00   0.591956E+07   0.591956E+07   0.751912E+01   0.121238E+05   0.996741E+00  -0.595151E+14
   0.109829E-04   0.598935E+08   0.598935E+08   0.798326E+08   0.798321E+08   0.598972E+08   0.598935E+08   0.598935E+08   0.599148E+08  -0.405863E+00   0.591916E+07   0.591916E+07   0.830203E+01   0.106312E+05   0.996483E+00  -0.538960E+14
   0.121272E-04   0.598800E+08   0.598800E+08   0.798090E+08   0.798084E+08   0.598837E+08   0.598800E+08   0.598800E+08   0.599013E+08  -0.405772E+00   0.591867E+07   0.591867E+07   0.916635E+01   0.940628E+04   0.996169E+00  -0.488068E+14
   0.133906E-04   0.598635E+08   0.598635E+08   0.797803E+08   0.797795E+08   0.598672E+08   0.598635E+08   0.598635E+08   0.598848E+08  -0.405660E+00   0.591807E+07   0.591807E+07   0.101205E+02   0.840065E+04   0.995786E+00  -0.441973E+14
   0.147857E-04   0.598434E+08   0.598434E+08   0.797452E+08   0.797443E+08   0.598471E+08   0.598434E+08   0.598434E+08   0.598647E+08  -0.405524E+00   0.591735E+07   0.591735E+07   0.111738E+02   0.757471E+04   0.995320E+00  -0.400223E+14
   0.163261E-04   0.598189E+08   0.598189E+08   0.797026E+08   0.797014E+08   0.598226E+08   0.598190E+08   0.598189E+08   0.598403E+08  -0.405358E+00   0.591647E+07   0.591647E+07   0.123364E+02   0.689589E+04   0.994752E+00  -0.362407E+14
   0.180270E-04   0.597892E+08   0.597892E+08   0.796506E+08   0.796492E+08   0.597928E+08   0.597892E+08   0.597892E+08   0.598105E+08  -0.405156E+00   0.591539E+07   0.591539E+07   0.136197E+02   0.633746E+04   0.994061E+00  -0.328153E+14
   0.199051E-04   0.597529E+08   0.597529E+08   0.795873E+08   0.795856E+08   0.597565E+08   0.597529E+08   0.597529E+08   0.597742E+08  -0.404911E+00   0.591409E+07   0.591408E+07   0.150360E+02   0.587739E+04   0.993219E+00  -0.297125E+14
   0.219788E-04   0.597088E+08   0.597088E+08   0.795103E+08   0.795081E+08   0.597124E+08   0.597088E+08   0.597088E+08   0.597301E+08  -0.404612E+00   0.591249E+07   0.591249E+07   0.165988E+02   0.549758E+04   0.992196E+00  -0.269018E+14
   0.242687E-04   0.596551E+08   0.596551E+08   0.794166E+08   0.794140E+08   0.596587E+08   0.596552E+08   0.596551E+08   0.596764E+08  -0.404248E+00   0.591055E+07   0.591055E+07   0.183233E+02   0.518306E+04   0.990952E+00  -0.243556E+14
   0.267970E-04   0.595899E+08   0.595899E+08   0.793026E+08   0.792994E+08   0.595934E+08   0.595899E+08   0.595899E+08   0.596111E+08  -0.403806E+00   0.590819E+07   0.590819E+07   0.202258E+02   0.492146E+04   0.989441E+00  -0.220488E+14
   0.295888E-04   0.595107E+08   0.595107E+08   0.791641E+08   0.791602E+08   0.595141E+08   0.595107E+08   0.595107E+08   0.595318E+08  -0.403269E+00   0.590532E+07   0.590532E+07   0.223242E+02   0.470250E+04   0.987605E+00  -0.199587E+14
   0.326714E-04   0.594145E+08   0.594145E+08   0.789958E+08   0.789910E+08   0.594178E+08   0.594145E+08   0.594145E+08   0.594356E+08  -0.402617E+00   0.590183E+07   0.590183E+07   0.246383E+02   0.451759E+04   0.985379E+00  -0.180649E+14
   0.360752E-04   0.592978E+08   0.592978E+08   0.787915E+08   0.787857E+08   0.593010E+08   0.592978E+08   0.592978E+08   0.593189E+08  -0.401827E+00   0.589760E+07   0.589759E+07   0.271894E+02   0.435953E+04   0.982680E+00  -0.163487E+14
   0.398336E-04   0.591564E+08   0.591564E+08   0.785437E+08   0.785366E+08   0.591595E+08   0.591564E+08   0.591564E+08   0.591774E+08  -0.400869E+00   0.589245E+07   0.589245E+07   0.300009E+02   0.422218E+04   0.979415E+00  -0.147932E+14
   0.439836E-04   0.589854E+08   0.589854E+08   0.782436E+08   0.782350E+08   0.589883E+08   0.589854E+08   0.589854E+08   0.590063E+08  -0.399710E+00   0.588621E+07   0.588620E+07   0.330980E+02   0.410028E+04   0.975470E+00  -0.133832E+14
   0.485659E-04   0.587788E+08   0.587788E+08   0.778806E+08   0.778701E+08   0.587815E+08   0.587788E+08   0.587788E+08   0.587996E+08  -0.398310E+00   0.587865E+07   0.587864E+07   0.365081E+02   0.398925E+04   0.970712E+00  -0.121049E+14
   0.536256E-04   0.585297E+08   0.585297E+08   0.774422E+08   0.774295E+08   0.585322E+08   0.585297E+08   0.585297E+08   0.585504E+08  -0.396622E+00   0.586950E+07   0.586950E+07   0.402604E+02   0.388503E+04   0.964987E+00  -0.109457E+14
   0.592125E-04   0.582302E+08   0.582302E+08   0.769139E+08   0.768984E+08   0.582323E+08   0.582302E+08   0.582302E+08   0.582507E+08  -0.394592E+00   0.585846E+07   0.585845E+07   0.443864E+02   0.378396E+04   0.958119E+00  -0.989432E+13
   0.653814E-04   0.578710E+08   0.578709E+08   0.762787E+08   0.762599E+08   0.578728E+08   0.578710E+08   0.578710E+08   0.578914E+08  -0.392158E+00   0.584514E+07   0.584513E+07   0.489190E+02   0.368272E+04   0.949906E+00  -0.894040E+13
   0.721930E-04   0.574417E+08   0.574416E+08   0.755171E+08   0.754943E+08   0.574430E+08   0.574417E+08   0.574417E+08   0.574618E+08  -0.389249E+00   0.582913E+07   0.582912E+07   0.538930E+02   0.357824E+04   0.940124E+00  -0.807467E+13
   0.797142E-04   0.569307E+08   0.569306E+08   0.746073E+08   0.745796E+08   0.569315E+08   0.569306E+08   0.569306E+08   0.569506E+08  -0.385786E+00   0.580994E+07   0.580992E+07   0.593443E+02   0.346771E+04   0.928530E+00  -0.728872E+13
   0.880190E-04   0.563253E+08   0.563253E+08   0.735246E+08   0.734910E+08   0.563255E+08   0.563253E+08   0.563253E+08   0.563449E+08  -0.381684E+00   0.578700E+07   0.578698E+07   0.653093E+02   0.334857E+04   0.914864E+00  -0.657495E+13
   0.971891E-04   0.556123E+08   0.556122E+08   0.722423E+08   0.722017E+08   0.556117E+08   0.556123E+08   0.556123E+08   0.556316E+08  -0.376852E+00   0.575970E+07   0.575968E+07   0.718241E+02   0.321859E+04   0.898864E+00  -0.592650E+13
   0.107314E-03   0.547781E+08   0.547780E+08   0.707320E+08   0.706829E+08   0.547765E+08   0.547780E+08   0.547780E+08   0.547969E+08  -0.371199E+00   0.572738E+07   0.572736E+07   0.789236E+02   0.307598E+04   0.880278E+00  -0.533720E+13
   0.118495E-03   0.538095E+08   0.538094E+08   0.689645E+08   0.689053E+08   0.538068E+08   0.538095E+08   0.538095E+08   0.538279E+08  -0.364635E+00   0.568933E+07   0.568930E+07   0.866393E+02   0.291948E+04   0.858883E+00  -0.480151E+13
