#           k/h    P           
 0.99999997E-04 0.94660077E+03
 0.10202013E-03 0.96315637E+03
 0.10408108E-03 0.97993341E+03
 0.10618366E-03 0.99693097E+03
 0.10832871E-03 0.10141481E+04
 0.11051710E-03 0.10315836E+04
 0.11274968E-03 0.10492356E+04
 0.11502737E-03 0.10671024E+04
 0.11735109E-03 0.10851818E+04
 0.11972173E-03 0.11034714E+04
 0.12214028E-03 0.11219685E+04
 0.12460767E-03 0.11406700E+04
 0.12712492E-03 0.11595726E+04
 0.12969300E-03 0.11786725E+04
 0.13231297E-03 0.11979658E+04
 0.13498588E-03 0.12174480E+04
 0.13771278E-03 0.12371144E+04
 0.14049475E-03 0.12569598E+04
 0.14333293E-03 0.12769789E+04
 0.14622846E-03 0.12971656E+04
 0.14918247E-03 0.13175139E+04
 0.15219615E-03 0.13380172E+04
 0.15527071E-03 0.13586683E+04
 0.15840739E-03 0.13794601E+04
 0.16160744E-03 0.14003846E+04
 0.16487212E-03 0.14214338E+04
 0.16820275E-03 0.14425995E+04
 0.17160067E-03 0.14638727E+04
 0.17506724E-03 0.14852440E+04
 0.17860383E-03 0.15067043E+04
 0.18221186E-03 0.15282435E+04
 0.18589280E-03 0.15498519E+04
 0.18964807E-03 0.15715190E+04
 0.19347922E-03 0.15932343E+04
 0.19738778E-03 0.16149866E+04
 0.20137527E-03 0.16367650E+04
 0.20544330E-03 0.16585588E+04
 0.20959355E-03 0.16803567E+04
 0.21382760E-03 0.17021470E+04
 0.21814722E-03 0.17239181E+04
 0.22255408E-03 0.17456587E+04
 0.22704997E-03 0.17673578E+04
 0.23163669E-03 0.17890044E+04
 0.23631606E-03 0.18105868E+04
 0.24108996E-03 0.18320938E+04
 0.24596031E-03 0.18535149E+04
 0.25092901E-03 0.18748403E+04
 0.25599814E-03 0.18960603E+04
 0.26116965E-03 0.19171647E+04
 0.26644560E-03 0.19381438E+04
 0.27182818E-03 0.19589896E+04
 0.27731949E-03 0.19796951E+04
 0.28292168E-03 0.20002528E+04
 0.28863709E-03 0.20206559E+04
 0.29446793E-03 0.20408977E+04
 0.30041661E-03 0.20609744E+04
 0.30648540E-03 0.20808823E+04
 0.31267683E-03 0.21006189E+04
 0.31899329E-03 0.21201814E+04
 0.32543740E-03 0.21395676E+04
 0.33201167E-03 0.21587791E+04
 0.33871876E-03 0.21778174E+04
 0.34556136E-03 0.21966853E+04
 0.35254212E-03 0.22153853E+04
 0.35966394E-03 0.22339214E+04
 0.36692963E-03 0.22523003E+04
 0.37434211E-03 0.22705303E+04
 0.38190430E-03 0.22886196E+04
 0.38961932E-03 0.23065774E+04
 0.39749016E-03 0.23244133E+04
 0.40552000E-03 0.23421406E+04
 0.41371203E-03 0.23597729E+04
 0.42206954E-03 0.23773247E+04
 0.43059592E-03 0.23948108E+04
 0.43929456E-03 0.24122476E+04
 0.44816890E-03 0.24296526E+04
 0.45722249E-03 0.24470454E+04
 0.46645897E-03 0.24644456E+04
 0.47588209E-03 0.24818730E+04
 0.48549555E-03 0.24993489E+04
 0.49530319E-03 0.25168955E+04
 0.50530903E-03 0.25345356E+04
 0.51551696E-03 0.25522930E+04
 0.52593107E-03 0.25701912E+04
 0.53655554E-03 0.25882554E+04
 0.54739468E-03 0.26065100E+04
 0.55845280E-03 0.26249800E+04
 0.56973431E-03 0.26436917E+04
 0.58124372E-03 0.26626711E+04
 0.59298560E-03 0.26819453E+04
