#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.466303E+04   0.603673E-01   0.000000E+00   0.948104E+01   0.176540E-06  -0.476831E-02  -0.284055E-04
     3   0.722279E+04   0.940065E-01   0.000000E+00   0.119274E+02   0.219217E-06  -0.869794E-02  -0.340932E-04
     4   0.905387E+04   0.102680E+00   0.000000E+00   0.115045E+02   0.253681E-06  -0.115251E-01  -0.347429E-04
     5   0.102494E+05   0.893015E-01   0.000000E+00   0.982054E+01   0.282047E-06  -0.134626E-01  -0.320808E-04
     6   0.109887E+05   0.651829E-01   0.000000E+00   0.796591E+01   0.305551E-06  -0.147576E-01  -0.274848E-04
     7   0.114097E+05   0.414762E-01   0.000000E+00   0.641336E+01   0.325206E-06  -0.155971E-01  -0.220857E-04
     8   0.116149E+05   0.244378E-01   0.000000E+00   0.526523E+01   0.341725E-06  -0.161186E-01  -0.168325E-04
     9   0.116810E+05   0.150802E-01   0.000000E+00   0.444523E+01   0.355678E-06  -0.164282E-01  -0.124537E-04
    10   0.116469E+05   0.112175E-01   0.000000E+00   0.388918E+01   0.367446E-06  -0.165795E-01  -0.927204E-05
    11   0.115514E+05   0.993815E-02   0.000000E+00   0.350716E+01   0.377452E-06  -0.166248E-01  -0.724877E-05
    12   0.114142E+05   0.926064E-02   0.000000E+00   0.324844E+01   0.385851E-06  -0.165862E-01  -0.627545E-05
    13   0.112473E+05   0.832102E-02   0.000000E+00   0.308277E+01   0.392861E-06  -0.164845E-01  -0.628015E-05
    14   0.110621E+05   0.730507E-02   0.000000E+00   0.298339E+01   0.398716E-06  -0.163406E-01  -0.711595E-05
    15   0.108654E+05   0.651413E-02   0.000000E+00   0.293654E+01   0.403554E-06  -0.161678E-01  -0.827542E-05
    16   0.106622E+05   0.616381E-02   0.000000E+00   0.292792E+01   0.407490E-06  -0.159762E-01  -0.925053E-05
    17   0.104560E+05   0.623175E-02   0.000000E+00   0.292492E+01   0.410641E-06  -0.157696E-01  -0.984583E-05
    18   0.102487E+05   0.646096E-02   0.000000E+00   0.290299E+01   0.413111E-06  -0.155509E-01  -0.999917E-05
    19   0.100428E+05   0.674249E-02   0.000000E+00   0.288156E+01   0.414951E-06  -0.153225E-01  -0.986984E-05
    20   0.983775E+04   0.707483E-02   0.000000E+00   0.287712E+01   0.416209E-06  -0.150870E-01  -0.960406E-05
    21   0.963490E+04   0.747107E-02   0.000000E+00   0.286465E+01   0.416965E-06  -0.148480E-01  -0.908718E-05
    22   0.943544E+04   0.803286E-02   0.000000E+00   0.282084E+01   0.417295E-06  -0.146086E-01  -0.822027E-05
    23   0.923965E+04   0.884213E-02   0.000000E+00   0.277546E+01   0.417234E-06  -0.143686E-01  -0.721970E-05
    24   0.904798E+04   0.992820E-02   0.000000E+00   0.276401E+01   0.416814E-06  -0.141276E-01  -0.634977E-05
    25   0.886073E+04   0.113006E-01   0.000000E+00   0.279155E+01   0.416073E-06  -0.138863E-01  -0.576120E-05
    26   0.867807E+04   0.129168E-01   0.000000E+00   0.284799E+01   0.415054E-06  -0.136462E-01  -0.551978E-05
    27   0.850053E+04   0.147103E-01   0.000000E+00   0.288571E+01   0.413788E-06  -0.134083E-01  -0.546719E-05
    28   0.832808E+04   0.166493E-01   0.000000E+00   0.286457E+01   0.412300E-06  -0.131731E-01  -0.542789E-05
    29   0.816037E+04   0.187492E-01   0.000000E+00   0.280664E+01   0.410594E-06  -0.129399E-01  -0.537579E-05
    30   0.799692E+04   0.210388E-01   0.000000E+00   0.274398E+01   0.408676E-06  -0.127077E-01  -0.532687E-05
    31   0.783767E+04   0.235110E-01   0.000000E+00   0.269272E+01   0.406583E-06  -0.124779E-01  -0.531664E-05
    32   0.768303E+04   0.261455E-01   0.000000E+00   0.266072E+01   0.404350E-06  -0.122517E-01  -0.536049E-05
    33   0.753304E+04   0.289521E-01   0.000000E+00   0.263885E+01   0.401992E-06  -0.120294E-01  -0.537476E-05
    34   0.738750E+04   0.319581E-01   0.000000E+00   0.261634E+01   0.399517E-06  -0.118110E-01  -0.526732E-05
    35   0.724627E+04   0.351820E-01   0.000000E+00   0.258987E+01   0.396936E-06  -0.115964E-01  -0.500946E-05
    36   0.710913E+04   0.386421E-01   0.000000E+00   0.255608E+01   0.394265E-06  -0.113855E-01  -0.461555E-05
    37   0.697600E+04   0.423303E-01   0.000000E+00   0.250802E+01   0.391512E-06  -0.111775E-01  -0.420858E-05
    38   0.684709E+04   0.462428E-01   0.000000E+00   0.244189E+01   0.388690E-06  -0.109718E-01  -0.390472E-05
    39   0.672231E+04   0.503917E-01   0.000000E+00   0.236145E+01   0.385804E-06  -0.107688E-01  -0.368594E-05
    40   0.660132E+04   0.547985E-01   0.000000E+00   0.227216E+01   0.382860E-06  -0.105693E-01  -0.350093E-05
    41   0.648415E+04   0.594845E-01   0.000000E+00   0.217788E+01   0.379866E-06  -0.103738E-01  -0.330972E-05
    42   0.637052E+04   0.644507E-01   0.000000E+00   0.207706E+01   0.376827E-06  -0.101822E-01  -0.311697E-05
    43   0.626047E+04   0.696925E-01   0.000000E+00   0.196680E+01   0.373749E-06  -0.999396E-02  -0.293841E-05
    44   0.615379E+04   0.751907E-01   0.000000E+00   0.184511E+01   0.370640E-06  -0.980887E-02  -0.278976E-05
    45   0.605078E+04   0.809365E-01   0.000000E+00   0.171005E+01   0.367507E-06  -0.962654E-02  -0.268666E-05
    46   0.595126E+04   0.869259E-01   0.000000E+00   0.155845E+01   0.364356E-06  -0.944672E-02  -0.263939E-05
    47   0.585499E+04   0.931618E-01   0.000000E+00   0.139209E+01   0.361190E-06  -0.926960E-02  -0.263672E-05
    48   0.576179E+04   0.996560E-01   0.000000E+00   0.121662E+01   0.358016E-06  -0.909547E-02  -0.266213E-05
    49   0.567162E+04   0.106398E+00   0.000000E+00   0.103710E+01   0.354836E-06  -0.892463E-02  -0.269912E-05
    50   0.558460E+04   0.113369E+00   0.000000E+00   0.851815E+00   0.351656E-06  -0.875739E-02  -0.273127E-05
    51   0.550041E+04   0.120546E+00   0.000000E+00   0.657252E+00   0.348478E-06  -0.859396E-02  -0.274507E-05
    52   0.541927E+04   0.128012E+00   0.000000E+00   0.448343E+00   0.345306E-06  -0.843421E-02  -0.273869E-05
    53   0.534082E+04   0.135908E+00   0.000000E+00   0.221486E+00   0.342141E-06  -0.827793E-02  -0.271318E-05
    54   0.526500E+04   0.144223E+00   0.000000E+00  -0.189521E-01   0.338984E-06  -0.812492E-02  -0.266961E-05
    55   0.519203E+04   0.152929E+00   0.000000E+00  -0.268492E+00   0.335838E-06  -0.797495E-02  -0.260902E-05
    56   0.512211E+04   0.161878E+00   0.000000E+00  -0.528853E+00   0.332703E-06  -0.782784E-02  -0.253296E-05
    57   0.505501E+04   0.170965E+00   0.000000E+00  -0.800256E+00   0.329582E-06  -0.768337E-02  -0.244495E-05
    58   0.499054E+04   0.180201E+00   0.000000E+00  -0.108378E+01   0.326475E-06  -0.754134E-02  -0.234899E-05
    59   0.492835E+04   0.189628E+00   0.000000E+00  -0.138052E+01   0.323383E-06  -0.740155E-02  -0.224909E-05
    60   0.486824E+04   0.199302E+00   0.000000E+00  -0.169014E+01   0.320308E-06  -0.726379E-02  -0.214924E-05
    61   0.481036E+04   0.209318E+00   0.000000E+00  -0.201210E+01   0.317251E-06  -0.712793E-02  -0.205305E-05
    62   0.475413E+04   0.219663E+00   0.000000E+00  -0.234730E+01   0.314213E-06  -0.699413E-02  -0.196273E-05
    63   0.469982E+04   0.230293E+00   0.000000E+00  -0.269669E+01   0.311197E-06  -0.686260E-02  -0.188009E-05
    64   0.464779E+04   0.241219E+00   0.000000E+00  -0.306139E+01   0.308205E-06  -0.673356E-02  -0.180696E-05
    65   0.459771E+04   0.252413E+00   0.000000E+00  -0.344198E+01   0.305239E-06  -0.660724E-02  -0.174516E-05
    66   0.454992E+04   0.263806E+00   0.000000E+00  -0.383647E+01   0.302300E-06  -0.648378E-02  -0.169636E-05
    67   0.450418E+04   0.275399E+00   0.000000E+00  -0.424184E+01   0.299390E-06  -0.636298E-02  -0.166163E-05
    68   0.446067E+04   0.287235E+00   0.000000E+00  -0.465612E+01   0.296508E-06  -0.624460E-02  -0.164190E-05
    69   0.441906E+04   0.299273E+00   0.000000E+00  -0.507725E+01   0.293655E-06  -0.612837E-02  -0.163810E-05
    70   0.437940E+04   0.311554E+00   0.000000E+00  -0.550659E+01   0.290832E-06  -0.601404E-02  -0.165114E-05
    71   0.434144E+04   0.324068E+00   0.000000E+00  -0.594632E+01   0.288040E-06  -0.590139E-02  -0.167998E-05
    72   0.430517E+04   0.336789E+00   0.000000E+00  -0.639791E+01   0.285276E-06  -0.579039E-02  -0.171563E-05
    73   0.427053E+04   0.349682E+00   0.000000E+00  -0.686216E+01   0.282543E-06  -0.568105E-02  -0.174717E-05
    74   0.423755E+04   0.362736E+00   0.000000E+00  -0.733840E+01   0.279838E-06  -0.557340E-02  -0.176366E-05
    75   0.420631E+04   0.375962E+00   0.000000E+00  -0.782534E+01   0.277162E-06  -0.546744E-02  -0.175418E-05
    76   0.417673E+04   0.389360E+00   0.000000E+00  -0.832253E+01   0.274514E-06  -0.536321E-02  -0.171168E-05
