#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.106819E+08   0.106819E+08   0.142301E+08   0.142297E+08   0.106839E+08   0.106819E+08   0.106819E+08   0.106857E+08  -0.458664E+00   0.992900E+07   0.992900E+07   0.607280E+01   0.112842E+07   0.489861E+00  -0.998259E+14
   0.109829E-04   0.106824E+08   0.106824E+08   0.142281E+08   0.142276E+08   0.106844E+08   0.106824E+08   0.106824E+08   0.106862E+08  -0.458685E+00   0.992924E+07   0.992924E+07   0.670528E+01   0.925520E+06   0.489887E+00  -0.904093E+14
   0.121272E-04   0.106830E+08   0.106830E+08   0.142255E+08   0.142249E+08   0.106850E+08   0.106830E+08   0.106830E+08   0.106868E+08  -0.458710E+00   0.992954E+07   0.992954E+07   0.740359E+01   0.759102E+06   0.489919E+00  -0.818814E+14
   0.133906E-04   0.106837E+08   0.106837E+08   0.142225E+08   0.142217E+08   0.106857E+08   0.106837E+08   0.106837E+08   0.106875E+08  -0.458740E+00   0.992990E+07   0.992990E+07   0.817455E+01   0.622607E+06   0.489959E+00  -0.741584E+14
   0.147857E-04   0.106845E+08   0.106845E+08   0.142187E+08   0.142178E+08   0.106865E+08   0.106845E+08   0.106845E+08   0.106883E+08  -0.458777E+00   0.993034E+07   0.993034E+07   0.902571E+01   0.510654E+06   0.490007E+00  -0.671643E+14
   0.163261E-04   0.106856E+08   0.106856E+08   0.142141E+08   0.142130E+08   0.106876E+08   0.106856E+08   0.106856E+08   0.106894E+08  -0.458822E+00   0.993088E+07   0.993088E+07   0.996538E+01   0.418830E+06   0.490065E+00  -0.608305E+14
   0.180270E-04   0.106869E+08   0.106869E+08   0.142085E+08   0.142071E+08   0.106888E+08   0.106869E+08   0.106869E+08   0.106907E+08  -0.458877E+00   0.993154E+07   0.993154E+07   0.110027E+02   0.343516E+06   0.490136E+00  -0.550947E+14
   0.199051E-04   0.106884E+08   0.106884E+08   0.142017E+08   0.142000E+08   0.106903E+08   0.106884E+08   0.106884E+08   0.106922E+08  -0.458944E+00   0.993234E+07   0.993234E+07   0.121478E+02   0.281744E+06   0.490223E+00  -0.499004E+14
   0.219788E-04   0.106903E+08   0.106903E+08   0.141934E+08   0.141913E+08   0.106922E+08   0.106903E+08   0.106903E+08   0.106941E+08  -0.459025E+00   0.993332E+07   0.993332E+07   0.134118E+02   0.231079E+06   0.490329E+00  -0.451966E+14
   0.242687E-04   0.106927E+08   0.106927E+08   0.141833E+08   0.141808E+08   0.106945E+08   0.106927E+08   0.106927E+08   0.106965E+08  -0.459125E+00   0.993451E+07   0.993451E+07   0.148070E+02   0.189524E+06   0.490458E+00  -0.409371E+14
   0.267970E-04   0.106955E+08   0.106955E+08   0.141710E+08   0.141679E+08   0.106973E+08   0.106955E+08   0.106955E+08   0.106993E+08  -0.459246E+00   0.993596E+07   0.993596E+07   0.163467E+02   0.155440E+06   0.490614E+00  -0.370800E+14
   0.295888E-04   0.106990E+08   0.106989E+08   0.141559E+08   0.141522E+08   0.107007E+08   0.106990E+08   0.106990E+08   0.107027E+08  -0.459394E+00   0.993773E+07   0.993773E+07   0.180459E+02   0.127485E+06   0.490805E+00  -0.335873E+14
   0.326714E-04   0.107032E+08   0.107032E+08   0.141376E+08   0.141331E+08   0.107048E+08   0.107032E+08   0.107032E+08   0.107069E+08  -0.459574E+00   0.993988E+07   0.993988E+07   0.199207E+02   0.104556E+06   0.491038E+00  -0.304249E+14
   0.360752E-04   0.107083E+08   0.107083E+08   0.141154E+08   0.141099E+08   0.107098E+08   0.107083E+08   0.107083E+08   0.107121E+08  -0.459793E+00   0.994251E+07   0.994251E+07   0.219891E+02   0.857499E+05   0.491320E+00  -0.275615E+14
   0.398336E-04   0.107145E+08   0.107145E+08   0.140882E+08   0.140815E+08   0.107160E+08   0.107145E+08   0.107145E+08   0.107183E+08  -0.460060E+00   0.994571E+07   0.994570E+07   0.242705E+02   0.703252E+05   0.491664E+00  -0.249690E+14
   0.439836E-04   0.107221E+08   0.107221E+08   0.140552E+08   0.140471E+08   0.107234E+08   0.107221E+08   0.107221E+08   0.107259E+08  -0.460386E+00   0.994960E+07   0.994960E+07   0.267863E+02   0.576740E+05   0.492082E+00  -0.226220E+14
   0.485659E-04   0.107314E+08   0.107314E+08   0.140150E+08   0.140051E+08   0.107325E+08   0.107314E+08   0.107314E+08   0.107352E+08  -0.460782E+00   0.995435E+07   0.995435E+07   0.295598E+02   0.472975E+05   0.492589E+00  -0.204973E+14
   0.536256E-04   0.107427E+08   0.107427E+08   0.139662E+08   0.139541E+08   0.107436E+08   0.107427E+08   0.107427E+08   0.107464E+08  -0.461265E+00   0.996013E+07   0.996012E+07   0.326164E+02   0.387869E+05   0.493205E+00  -0.185741E+14
   0.592125E-04   0.107564E+08   0.107564E+08   0.139068E+08   0.138921E+08   0.107570E+08   0.107564E+08   0.107564E+08   0.107601E+08  -0.461852E+00   0.996716E+07   0.996716E+07   0.359835E+02   0.318065E+05   0.493952E+00  -0.168335E+14
   0.653814E-04   0.107731E+08   0.107731E+08   0.138347E+08   0.138168E+08   0.107734E+08   0.107731E+08   0.107731E+08   0.107768E+08  -0.462566E+00   0.997572E+07   0.997572E+07   0.396908E+02   0.260814E+05   0.494855E+00  -0.152583E+14
   0.721930E-04   0.107934E+08   0.107934E+08   0.137472E+08   0.137255E+08   0.107933E+08   0.107934E+08   0.107934E+08   0.107971E+08  -0.463434E+00   0.998614E+07   0.998613E+07   0.437699E+02   0.213857E+05   0.495948E+00  -0.138331E+14
   0.797142E-04   0.108181E+08   0.108180E+08   0.136411E+08   0.136148E+08   0.108175E+08   0.108181E+08   0.108181E+08   0.108217E+08  -0.464490E+00   0.999879E+07   0.999878E+07   0.482548E+02   0.175345E+05   0.497267E+00  -0.125438E+14
   0.880190E-04   0.108480E+08   0.108480E+08   0.135126E+08   0.134807E+08   0.108469E+08   0.108480E+08   0.108480E+08   0.108516E+08  -0.465771E+00   0.100142E+08   0.100142E+08   0.531812E+02   0.143760E+05   0.498854E+00  -0.113777E+14
   0.971891E-04   0.108844E+08   0.108843E+08   0.133573E+08   0.133187E+08   0.108826E+08   0.108844E+08   0.108844E+08   0.108879E+08  -0.467326E+00   0.100328E+08   0.100328E+08   0.585862E+02   0.117855E+05   0.500761E+00  -0.103234E+14
   0.107314E-03   0.109284E+08   0.109284E+08   0.131699E+08   0.131232E+08   0.109258E+08   0.109284E+08   0.109284E+08   0.109319E+08  -0.469210E+00   0.100555E+08   0.100555E+08   0.645082E+02   0.966110E+04   0.503044E+00  -0.937045E+13
   0.118495E-03   0.109818E+08   0.109817E+08   0.129443E+08   0.128879E+08   0.109781E+08   0.109817E+08   0.109818E+08   0.109852E+08  -0.471491E+00   0.100829E+08   0.100829E+08   0.709852E+02   0.791896E+04   0.505766E+00  -0.850948E+13
   0.130840E-03   0.110462E+08   0.110461E+08   0.126734E+08   0.126055E+08   0.110412E+08   0.110462E+08   0.110462E+08   0.110496E+08  -0.474248E+00   0.101161E+08   0.101161E+08   0.780545E+02   0.649041E+04   0.508998E+00  -0.773195E+13
   0.144471E-03   0.111240E+08   0.111238E+08   0.123493E+08   0.122679E+08   0.111175E+08   0.111239E+08   0.111240E+08   0.111272E+08  -0.477574E+00   0.101562E+08   0.101562E+08   0.857504E+02   0.531913E+04   0.512814E+00  -0.703017E+13
   0.159522E-03   0.112176E+08   0.112174E+08   0.119632E+08   0.118658E+08   0.112092E+08   0.112175E+08   0.112175E+08   0.112207E+08  -0.481578E+00   0.102045E+08   0.102045E+08   0.941017E+02   0.435892E+04   0.517290E+00  -0.639715E+13
   0.176142E-03   0.113299E+08   0.113297E+08   0.115057E+08   0.113897E+08   0.113192E+08   0.113299E+08   0.113299E+08   0.113329E+08  -0.486385E+00   0.102626E+08   0.102626E+08   0.103129E+03   0.357190E+04   0.522501E+00  -0.582656E+13
   0.194493E-03   0.114644E+08   0.114642E+08   0.109671E+08   0.108297E+08   0.114509E+08   0.114643E+08   0.114644E+08   0.114672E+08  -0.492138E+00   0.103323E+08   0.103323E+08   0.112841E+03   0.292701E+04   0.528514E+00  -0.531264E+13
   0.214755E-03   0.116248E+08   0.116245E+08   0.103381E+08   0.101763E+08   0.116079E+08   0.116246E+08   0.116247E+08   0.116274E+08  -0.498997E+00   0.104156E+08   0.104155E+08   0.123227E+03   0.239874E+04   0.535380E+00  -0.485016E+13
   0.237129E-03   0.118151E+08   0.118148E+08   0.961090E+07   0.942192E+07   0.117941E+08   0.118150E+08   0.118151E+08   0.118175E+08  -0.507140E+00   0.105147E+08   0.105146E+08   0.134253E+03   0.196621E+04   0.543127E+00  -0.443434E+13
   0.261834E-03   0.120399E+08   0.120394E+08   0.878075E+07   0.856218E+07   0.120138E+08   0.120397E+08   0.120398E+08   0.120420E+08  -0.516756E+00   0.106322E+08   0.106320E+08   0.145853E+03   0.161223E+04   0.551749E+00  -0.406079E+13
   0.289112E-03   0.123037E+08   0.123032E+08   0.784806E+07   0.759834E+07   0.122714E+08   0.123034E+08   0.123036E+08   0.123055E+08  -0.528041E+00   0.107704E+08   0.107703E+08   0.157918E+03   0.132272E+04   0.561198E+00  -0.372547E+13
   0.319233E-03   0.126111E+08   0.126105E+08   0.682126E+07   0.654021E+07   0.125713E+08   0.126108E+08   0.126110E+08   0.126126E+08  -0.541194E+00   0.109322E+08   0.109320E+08   0.170289E+03   0.108609E+04   0.571377E+00  -0.342463E+13
   0.352491E-03   0.129664E+08   0.129656E+08   0.572007E+07   0.540969E+07   0.129176E+08   0.129661E+08   0.129663E+08   0.129676E+08  -0.556397E+00   0.111199E+08   0.111197E+08   0.182746E+03   0.892793E+03   0.582138E+00  -0.315476E+13
   0.389215E-03   0.133732E+08   0.133723E+08   0.457897E+07   0.424430E+07   0.133133E+08   0.133728E+08   0.133731E+08   0.133740E+08  -0.573805E+00   0.113357E+08   0.113355E+08   0.194997E+03   0.734975E+03   0.593287E+00  -0.291256E+13
   0.429764E-03   0.138341E+08   0.138330E+08   0.344992E+07   0.309989E+07   0.137607E+08   0.138336E+08   0.138339E+08   0.138344E+08  -0.593527E+00   0.115814E+08   0.115811E+08   0.206681E+03   0.606151E+03   0.604593E+00  -0.269491E+13
   0.474538E-03   0.143498E+08   0.143486E+08   0.240268E+07   0.205083E+07   0.142601E+08   0.143492E+08   0.143496E+08   0.143498E+08  -0.615601E+00   0.118576E+08   0.118572E+08   0.217367E+03   0.500966E+03   0.615807E+00  -0.249884E+13
   0.523976E-03   0.149193E+08   0.149178E+08   0.152068E+07   0.118528E+07   0.148098E+08   0.149185E+08   0.149191E+08   0.149189E+08  -0.639979E+00   0.121640E+08   0.121636E+08   0.226572E+03   0.415006E+03   0.626683E+00  -0.232154E+13
   0.578566E-03   0.155388E+08   0.155370E+08   0.889562E+06   0.592697E+06   0.154054E+08   0.155379E+08   0.155385E+08   0.155381E+08  -0.666503E+00   0.124988E+08   0.124984E+08   0.233792E+03   0.344637E+03   0.637000E+00  -0.216037E+13
   0.638842E-03   0.162017E+08   0.161997E+08   0.576680E+06   0.342006E+06   0.160393E+08   0.162006E+08   0.162014E+08   0.162008E+08  -0.694895E+00   0.128586E+08   0.128581E+08   0.238552E+03   0.286882E+03   0.646580E+00  -0.201286E+13
   0.705398E-03   0.168988E+08   0.168965E+08   0.602906E+06   0.451850E+06   0.167015E+08   0.168975E+08   0.168984E+08   0.168976E+08  -0.724755E+00   0.132384E+08   0.132379E+08   0.240469E+03   0.239318E+03   0.655297E+00  -0.187678E+13
   0.778888E-03   0.176180E+08   0.176154E+08   0.914628E+06   0.861889E+06   0.173788E+08   0.176164E+08   0.176176E+08   0.176167E+08  -0.755573E+00   0.136315E+08   0.136309E+08   0.239307E+03   0.199985E+03   0.663083E+00  -0.175018E+13
   0.860035E-03   0.183455E+08   0.183425E+08   0.137269E+07   0.142298E+07   0.180560E+08   0.183436E+08   0.183450E+08   0.183440E+08  -0.786749E+00   0.140301E+08   0.140295E+08   0.235024E+03   0.167314E+03   0.669924E+00  -0.163139E+13
   0.949635E-03   0.190661E+08   0.190629E+08   0.177996E+07   0.192898E+07   0.187166E+08   0.190639E+08   0.190656E+08   0.190644E+08  -0.817636E+00   0.144256E+08   0.144250E+08   0.227773E+03   0.140057E+03   0.675847E+00  -0.151912E+13
   0.104857E-02   0.197647E+08   0.197612E+08   0.195797E+07   0.219971E+07   0.193440E+08   0.197622E+08   0.197642E+08   0.197627E+08  -0.847581E+00   0.148093E+08   0.148086E+08   0.217845E+03   0.117224E+03   0.680910E+00  -0.141237E+13
   0.115781E-02   0.204272E+08   0.204234E+08   0.184451E+07   0.218302E+07   0.199223E+08   0.204242E+08   0.204266E+08   0.204247E+08  -0.875970E+00   0.151727E+08   0.151720E+08   0.205607E+03   0.980360E+02   0.685193E+00  -0.131050E+13
   0.127844E-02   0.210411E+08   0.210371E+08   0.153416E+07   0.199112E+07   0.204376E+08   0.210376E+08   0.210404E+08   0.210380E+08  -0.902270E+00   0.155086E+08   0.155078E+08   0.191468E+03   0.818783E+02   0.688783E+00  -0.121312E+13
   0.141163E-02   0.215965E+08   0.215924E+08   0.118802E+07   0.179522E+07   0.208792E+08   0.215924E+08   0.215958E+08   0.215928E+08  -0.926058E+00   0.158109E+08   0.158101E+08   0.175935E+03   0.682620E+02   0.691773E+00  -0.112008E+13
   0.155869E-02   0.220862E+08   0.220821E+08   0.872016E+06   0.555678E+06   0.212388E+08   0.220815E+08   0.220855E+08   0.220817E+08  -0.947019E+00   0.160753E+08   0.160746E+08   0.159699E+03   0.567855E+02   0.694254E+00  -0.103136E+13
   0.172108E-02   0.225060E+08   0.225019E+08   0.543036E+06   0.464429E+06   0.215113E+08   0.225006E+08   0.225053E+08   0.225008E+08  -0.964985E+00   0.162988E+08   0.162981E+08   0.143598E+03   0.471381E+02   0.696299E+00  -0.947037E+12
   0.190039E-02   0.228538E+08   0.228497E+08   0.247539E+06   0.386810E+06   0.216945E+08   0.228476E+08   0.228531E+08   0.228477E+08  -0.979859E+00   0.164799E+08   0.164791E+08   0.128426E+03   0.390376E+02   0.697978E+00  -0.867209E+12
   0.209838E-02   0.231295E+08   0.231254E+08   0.144255E+06   0.321088E+06   0.217888E+08   0.231225E+08   0.231288E+08   0.231225E+08  -0.991641E+00   0.166181E+08   0.166174E+08   0.114769E+03   0.322521E+02   0.699353E+00  -0.791973E+12
   0.231699E-02   0.233348E+08   0.233306E+08   0.193943E+06   0.265693E+06   0.217966E+08   0.233268E+08   0.233341E+08   0.233269E+08  -0.100040E+01   0.167141E+08   0.167134E+08   0.102990E+03   0.265841E+02   0.700478E+00  -0.721393E+12
   0.255838E-02   0.234724E+08   0.234680E+08   0.233096E+06   0.219205E+06   0.217219E+08   0.234634E+08   0.234716E+08   0.234634E+08  -0.100625E+01   0.167692E+08   0.167685E+08   0.931119E+02   0.218626E+02   0.701397E+00  -0.655482E+12
   0.282492E-02   0.235450E+08   0.235405E+08   0.264700E+06   0.180347E+06   0.215688E+08   0.235349E+08   0.235442E+08   0.235350E+08  -0.100932E+01   0.167847E+08   0.167840E+08   0.847164E+02   0.179400E+02   0.702144E+00  -0.594182E+12
   0.311923E-02   0.235560E+08   0.235513E+08   0.205559E+06   0.147990E+06   0.213414E+08   0.235448E+08   0.235553E+08   0.235448E+08  -0.100974E+01   0.167621E+08   0.167614E+08   0.771976E+02   0.146896E+02   0.702751E+00  -0.537396E+12
   0.344419E-02   0.235087E+08   0.235037E+08   0.109999E+06   0.121137E+06   0.210436E+08   0.234962E+08   0.235079E+08   0.234963E+08  -0.100765E+01   0.167031E+08   0.167023E+08   0.700369E+02   0.120027E+02   0.703241E+00  -0.484977E+12
   0.380302E-02   0.234059E+08   0.234007E+08   0.533260E+05   0.989214E+05   0.206783E+08   0.233922E+08   0.234051E+08   0.233922E+08  -0.100319E+01   0.166090E+08   0.166082E+08   0.631068E+02   0.978692E+01   0.703637E+00  -0.436744E+12
   0.419923E-02   0.232503E+08   0.232447E+08   0.749534E+05   0.805952E+05   0.202486E+08   0.232351E+08   0.232493E+08   0.232351E+08  -0.996453E+00   0.164810E+08   0.164803E+08   0.566661E+02   0.796400E+01   0.703954E+00  -0.392489E+12
   0.463671E-02   0.230438E+08   0.230378E+08   0.804389E+05   0.655166E+05   0.197575E+08   0.230272E+08   0.230428E+08   0.230272E+08  -0.987536E+00   0.163202E+08   0.163194E+08   0.510017E+02   0.646757E+01   0.704206E+00  -0.351987E+12
   0.511978E-02   0.227882E+08   0.227816E+08   0.419194E+05   0.531403E+05   0.192092E+08   0.227701E+08   0.227871E+08   0.227701E+08  -0.976510E+00   0.161271E+08   0.161264E+08   0.460488E+02   0.524152E+01   0.704404E+00  -0.315006E+12
   0.565317E-02   0.224853E+08   0.224781E+08   0.184926E+05   0.430060E+05   0.185826E+08   0.224656E+08   0.224841E+08   0.224656E+08  -0.963450E+00   0.159027E+08   0.159020E+08   0.415103E+02   0.423897E+01   0.704555E+00  -0.281315E+12
   0.624213E-02   0.221347E+08   0.221268E+08   0.741544E+04   0.347231E+05   0.179124E+08   0.221134E+08   0.221333E+08   0.221134E+08  -0.948342E+00   0.156464E+08   0.156457E+08   0.372991E+02   0.342062E+01   0.704671E+00  -0.250665E+12
   0.689245E-02   0.217373E+08   0.217285E+08  -0.303175E+05   0.279683E+05   0.171881E+08   0.217143E+08   0.217358E+08   0.217143E+08  -0.931228E+00   0.153585E+08   0.153578E+08   0.335574E+02   0.275391E+01   0.704755E+00  -0.222837E+12
   0.761052E-02   0.212934E+08   0.212835E+08  -0.278619E+05   0.224708E+05   0.164199E+08   0.212686E+08   0.212917E+08   0.212686E+08  -0.912115E+00   0.150389E+08   0.150382E+08   0.302313E+02   0.221169E+01   0.704813E+00  -0.197612E+12
   0.840340E-02   0.208026E+08   0.207915E+08   0.537611E+03   0.180055E+05   0.156173E+08   0.207762E+08   0.208008E+08   0.207762E+08  -0.890998E+00   0.146873E+08   0.146866E+08   0.272021E+02   0.177166E+01   0.704851E+00  -0.174783E+12
   0.927889E-02   0.202649E+08   0.202523E+08  -0.163838E+05   0.143861E+05   0.147809E+08   0.202368E+08   0.202628E+08   0.202368E+08  -0.867864E+00   0.143033E+08   0.143027E+08   0.245107E+02   0.141514E+01   0.704872E+00  -0.154154E+12
   0.102456E-01   0.196796E+08   0.196653E+08  -0.410702E+04   0.114585E+05   0.139117E+08   0.196500E+08   0.196772E+08   0.196500E+08  -0.842696E+00   0.138866E+08   0.138859E+08   0.221050E+02   0.112690E+01   0.704878E+00  -0.135541E+12
