#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.156122E+08   0.156122E+08   0.208030E+08   0.208026E+08   0.156144E+08   0.156122E+08   0.156122E+08   0.156178E+08  -0.458588E+00   0.992964E+07   0.992964E+07   0.622301E+01   0.112836E+07   0.489691E+00  -0.998324E+14
   0.109829E-04   0.156126E+08   0.156126E+08   0.208005E+08   0.208000E+08   0.156148E+08   0.156126E+08   0.156126E+08   0.156181E+08  -0.458598E+00   0.992976E+07   0.992976E+07   0.687113E+01   0.925471E+06   0.489704E+00  -0.904140E+14
   0.121272E-04   0.156130E+08   0.156130E+08   0.207975E+08   0.207969E+08   0.156152E+08   0.156130E+08   0.156130E+08   0.156185E+08  -0.458610E+00   0.992990E+07   0.992990E+07   0.758671E+01   0.759065E+06   0.489720E+00  -0.818844E+14
   0.133906E-04   0.156135E+08   0.156135E+08   0.207939E+08   0.207931E+08   0.156156E+08   0.156135E+08   0.156135E+08   0.156190E+08  -0.458625E+00   0.993007E+07   0.993007E+07   0.837674E+01   0.622580E+06   0.489739E+00  -0.741597E+14
   0.147857E-04   0.156141E+08   0.156141E+08   0.207894E+08   0.207885E+08   0.156162E+08   0.156141E+08   0.156141E+08   0.156196E+08  -0.458642E+00   0.993029E+07   0.993029E+07   0.924895E+01   0.510635E+06   0.489762E+00  -0.671640E+14
   0.163261E-04   0.156148E+08   0.156148E+08   0.207840E+08   0.207828E+08   0.156170E+08   0.156148E+08   0.156148E+08   0.156204E+08  -0.458664E+00   0.993055E+07   0.993055E+07   0.102119E+02   0.418818E+06   0.489791E+00  -0.608285E+14
   0.180270E-04   0.156157E+08   0.156157E+08   0.207774E+08   0.207760E+08   0.156178E+08   0.156157E+08   0.156157E+08   0.156213E+08  -0.458691E+00   0.993086E+07   0.993086E+07   0.112749E+02   0.343510E+06   0.489825E+00  -0.550909E+14
   0.199051E-04   0.156168E+08   0.156168E+08   0.207693E+08   0.207676E+08   0.156189E+08   0.156168E+08   0.156168E+08   0.156224E+08  -0.458723E+00   0.993125E+07   0.993125E+07   0.124483E+02   0.281742E+06   0.489867E+00  -0.498949E+14
   0.219788E-04   0.156182E+08   0.156182E+08   0.207594E+08   0.207574E+08   0.156202E+08   0.156182E+08   0.156182E+08   0.156237E+08  -0.458762E+00   0.993172E+07   0.993172E+07   0.137435E+02   0.231081E+06   0.489919E+00  -0.451893E+14
   0.242687E-04   0.156198E+08   0.156198E+08   0.207474E+08   0.207449E+08   0.156218E+08   0.156198E+08   0.156198E+08   0.156254E+08  -0.458810E+00   0.993229E+07   0.993229E+07   0.151732E+02   0.189529E+06   0.489981E+00  -0.409279E+14
   0.267970E-04   0.156218E+08   0.156218E+08   0.207328E+08   0.207297E+08   0.156238E+08   0.156218E+08   0.156218E+08   0.156274E+08  -0.458869E+00   0.993298E+07   0.993298E+07   0.167510E+02   0.155447E+06   0.490057E+00  -0.370689E+14
   0.295888E-04   0.156243E+08   0.156243E+08   0.207150E+08   0.207112E+08   0.156262E+08   0.156243E+08   0.156243E+08   0.156298E+08  -0.458940E+00   0.993383E+07   0.993383E+07   0.184922E+02   0.127494E+06   0.490150E+00  -0.335742E+14
   0.326714E-04   0.156272E+08   0.156272E+08   0.206933E+08   0.206887E+08   0.156290E+08   0.156272E+08   0.156272E+08   0.156328E+08  -0.459027E+00   0.993487E+07   0.993486E+07   0.204134E+02   0.104567E+06   0.490263E+00  -0.304095E+14
   0.360752E-04   0.156308E+08   0.156308E+08   0.206668E+08   0.206613E+08   0.156326E+08   0.156309E+08   0.156308E+08   0.156364E+08  -0.459132E+00   0.993612E+07   0.993612E+07   0.225329E+02   0.857624E+05   0.490400E+00  -0.275438E+14
   0.398336E-04   0.156352E+08   0.156352E+08   0.206346E+08   0.206279E+08   0.156368E+08   0.156353E+08   0.156352E+08   0.156408E+08  -0.459261E+00   0.993766E+07   0.993766E+07   0.248707E+02   0.703388E+05   0.490566E+00  -0.249488E+14
