#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.170496E+08   0.170496E+08   0.227194E+08   0.227190E+08   0.170518E+08   0.170496E+08   0.170496E+08   0.170556E+08  -0.462265E+00   0.915534E+07   0.915534E+07   0.623517E+01   0.104502E+07   0.567269E+00  -0.920476E+14
   0.109829E-04   0.170497E+08   0.170497E+08   0.227167E+08   0.227162E+08   0.170520E+08   0.170497E+08   0.170497E+08   0.170558E+08  -0.462269E+00   0.915541E+07   0.915541E+07   0.688456E+01   0.857140E+06   0.567264E+00  -0.833633E+14
   0.121272E-04   0.170499E+08   0.170499E+08   0.227134E+08   0.227128E+08   0.170522E+08   0.170500E+08   0.170499E+08   0.170560E+08  -0.462275E+00   0.915549E+07   0.915549E+07   0.760154E+01   0.703042E+06   0.567258E+00  -0.754984E+14
   0.133906E-04   0.170502E+08   0.170502E+08   0.227094E+08   0.227086E+08   0.170524E+08   0.170502E+08   0.170502E+08   0.170563E+08  -0.462282E+00   0.915560E+07   0.915560E+07   0.839311E+01   0.576651E+06   0.567252E+00  -0.683757E+14
   0.147857E-04   0.170505E+08   0.170505E+08   0.227045E+08   0.227035E+08   0.170527E+08   0.170505E+08   0.170505E+08   0.170566E+08  -0.462290E+00   0.915572E+07   0.915572E+07   0.926703E+01   0.472985E+06   0.567243E+00  -0.619252E+14
   0.163261E-04   0.170509E+08   0.170509E+08   0.226985E+08   0.226974E+08   0.170531E+08   0.170509E+08   0.170509E+08   0.170570E+08  -0.462300E+00   0.915587E+07   0.915587E+07   0.102318E+02   0.387959E+06   0.567233E+00  -0.560833E+14
   0.180270E-04   0.170513E+08   0.170513E+08   0.226912E+08   0.226898E+08   0.170535E+08   0.170514E+08   0.170513E+08   0.170574E+08  -0.462312E+00   0.915606E+07   0.915606E+07   0.112969E+02   0.318220E+06   0.567220E+00  -0.507927E+14
   0.199051E-04   0.170519E+08   0.170519E+08   0.226824E+08   0.226807E+08   0.170540E+08   0.170519E+08   0.170519E+08   0.170580E+08  -0.462327E+00   0.915629E+07   0.915628E+07   0.124726E+02   0.261021E+06   0.567205E+00  -0.460014E+14
   0.219788E-04   0.170526E+08   0.170526E+08   0.226715E+08   0.226695E+08   0.170547E+08   0.170526E+08   0.170526E+08   0.170586E+08  -0.462346E+00   0.915656E+07   0.915656E+07   0.137704E+02   0.214106E+06   0.567187E+00  -0.416623E+14
   0.242687E-04   0.170534E+08   0.170534E+08   0.226584E+08   0.226559E+08   0.170555E+08   0.170534E+08   0.170534E+08   0.170595E+08  -0.462368E+00   0.915690E+07   0.915690E+07   0.152028E+02   0.175627E+06   0.567164E+00  -0.377328E+14
   0.267970E-04   0.170544E+08   0.170544E+08   0.226423E+08   0.226393E+08   0.170564E+08   0.170544E+08   0.170544E+08   0.170605E+08  -0.462395E+00   0.915731E+07   0.915730E+07   0.167837E+02   0.144066E+06   0.567136E+00  -0.341741E+14
   0.295888E-04   0.170557E+08   0.170556E+08   0.226228E+08   0.226190E+08   0.170576E+08   0.170557E+08   0.170557E+08   0.170617E+08  -0.462428E+00   0.915780E+07   0.915780E+07   0.185282E+02   0.118181E+06   0.567103E+00  -0.309514E+14
   0.326714E-04   0.170572E+08   0.170571E+08   0.225989E+08   0.225944E+08   0.170590E+08   0.170572E+08   0.170572E+08   0.170632E+08  -0.462469E+00   0.915841E+07   0.915841E+07   0.204532E+02   0.969489E+05   0.567062E+00  -0.280329E+14
   0.360752E-04   0.170590E+08   0.170590E+08   0.225699E+08   0.225644E+08   0.170607E+08   0.170590E+08   0.170590E+08   0.170650E+08  -0.462518E+00   0.915915E+07   0.915915E+07   0.225768E+02   0.795348E+05   0.567012E+00  -0.253900E+14
   0.398336E-04   0.170612E+08   0.170612E+08   0.225346E+08   0.225278E+08   0.170629E+08   0.170612E+08   0.170612E+08   0.170672E+08  -0.462577E+00   0.916006E+07   0.916005E+07   0.249191E+02   0.652517E+05   0.566952E+00  -0.229966E+14
   0.439836E-04   0.170639E+08   0.170639E+08   0.224916E+08   0.224834E+08   0.170654E+08   0.170639E+08   0.170639E+08   0.170699E+08  -0.462650E+00   0.916115E+07   0.916115E+07   0.275021E+02   0.535368E+05   0.566878E+00  -0.208293E+14
   0.485659E-04   0.170672E+08   0.170672E+08   0.224392E+08   0.224292E+08   0.170685E+08   0.170672E+08   0.170672E+08   0.170732E+08  -0.462739E+00   0.916249E+07   0.916248E+07   0.303496E+02   0.439282E+05   0.566789E+00  -0.188668E+14
   0.536256E-04   0.170712E+08   0.170712E+08   0.223756E+08   0.223634E+08   0.170723E+08   0.170712E+08   0.170712E+08   0.170772E+08  -0.462847E+00   0.916412E+07   0.916411E+07   0.334877E+02   0.360472E+05   0.566681E+00  -0.170897E+14
   0.592125E-04   0.170761E+08   0.170761E+08   0.222982E+08   0.222834E+08   0.170770E+08   0.170761E+08   0.170761E+08   0.170821E+08  -0.462978E+00   0.916609E+07   0.916608E+07   0.369446E+02   0.295831E+05   0.566549E+00  -0.154806E+14
   0.653814E-04   0.170821E+08   0.170820E+08   0.222041E+08   0.221861E+08   0.170826E+08   0.170821E+08   0.170820E+08   0.170880E+08  -0.463137E+00   0.916850E+07   0.916849E+07   0.407505E+02   0.242812E+05   0.566390E+00  -0.140236E+14
   0.721930E-04   0.170893E+08   0.170892E+08   0.220899E+08   0.220681E+08   0.170894E+08   0.170893E+08   0.170893E+08   0.170952E+08  -0.463331E+00   0.917142E+07   0.917140E+07   0.449382E+02   0.199326E+05   0.566197E+00  -0.127045E+14
   0.797142E-04   0.170980E+08   0.170980E+08   0.219514E+08   0.219249E+08   0.170977E+08   0.170980E+08   0.170980E+08   0.171039E+08  -0.463565E+00   0.917496E+07   0.917495E+07   0.495423E+02   0.163657E+05   0.565965E+00  -0.115102E+14
   0.880190E-04   0.171086E+08   0.171086E+08   0.217835E+08   0.217514E+08   0.171077E+08   0.171086E+08   0.171086E+08   0.171144E+08  -0.463850E+00   0.917926E+07   0.917924E+07   0.545994E+02   0.134400E+05   0.565684E+00  -0.104291E+14
   0.971891E-04   0.171214E+08   0.171214E+08   0.215804E+08   0.215415E+08   0.171198E+08   0.171214E+08   0.171214E+08   0.171272E+08  -0.464195E+00   0.918446E+07   0.918444E+07   0.601477E+02   0.110402E+05   0.565346E+00  -0.945044E+13
   0.107314E-03   0.171370E+08   0.171369E+08   0.213350E+08   0.212880E+08   0.171345E+08   0.171370E+08   0.171370E+08   0.171426E+08  -0.464612E+00   0.919075E+07   0.919073E+07   0.662262E+02   0.907170E+04   0.564942E+00  -0.856463E+13
   0.118495E-03   0.171557E+08   0.171556E+08   0.210392E+08   0.209825E+08   0.171522E+08   0.171557E+08   0.171557E+08   0.171613E+08  -0.465115E+00   0.919835E+07   0.919832E+07   0.728742E+02   0.745690E+04   0.564458E+00  -0.776295E+13
   0.130840E-03   0.171783E+08   0.171782E+08   0.206834E+08   0.206152E+08   0.171734E+08   0.171782E+08   0.171783E+08   0.171838E+08  -0.465721E+00   0.920750E+07   0.920747E+07   0.801293E+02   0.613218E+04   0.563882E+00  -0.703749E+13
   0.144471E-03   0.172054E+08   0.172052E+08   0.202569E+08   0.201750E+08   0.171990E+08   0.172053E+08   0.172054E+08   0.172107E+08  -0.466448E+00   0.921851E+07   0.921847E+07   0.880266E+02   0.504532E+04   0.563199E+00  -0.638110E+13
   0.159522E-03   0.172378E+08   0.172377E+08   0.197476E+08   0.196496E+08   0.172295E+08   0.172378E+08   0.172378E+08   0.172430E+08  -0.467320E+00   0.923169E+07   0.923164E+07   0.965955E+02   0.415350E+04   0.562395E+00  -0.578729E+13
   0.176142E-03   0.172766E+08   0.172764E+08   0.191420E+08   0.190253E+08   0.172660E+08   0.172765E+08   0.172765E+08   0.172816E+08  -0.468360E+00   0.924743E+07   0.924737E+07   0.105857E+03   0.342159E+04   0.561454E+00  -0.525018E+13
   0.194493E-03   0.173226E+08   0.173223E+08   0.184262E+08   0.182878E+08   0.173091E+08   0.173225E+08   0.173225E+08   0.173274E+08  -0.469595E+00   0.926613E+07   0.926607E+07   0.115817E+03   0.282077E+04   0.560361E+00  -0.476443E+13
   0.214755E-03   0.173770E+08   0.173766E+08   0.175859E+08   0.174230E+08   0.173601E+08   0.173768E+08   0.173769E+08   0.173815E+08  -0.471054E+00   0.928826E+07   0.928818E+07   0.126467E+03   0.232740E+04   0.559102E+00  -0.432519E+13
   0.237129E-03   0.174408E+08   0.174404E+08   0.166081E+08   0.164178E+08   0.174197E+08   0.174406E+08   0.174407E+08   0.174451E+08  -0.472768E+00   0.931426E+07   0.931417E+07   0.137769E+03   0.192208E+04   0.557667E+00  -0.392807E+13
   0.261834E-03   0.175152E+08   0.175148E+08   0.154824E+08   0.152622E+08   0.174891E+08   0.175150E+08   0.175152E+08   0.175192E+08  -0.474766E+00   0.934462E+07   0.934450E+07   0.149653E+03   0.158891E+04   0.556049E+00  -0.356904E+13
   0.289112E-03   0.176013E+08   0.176008E+08   0.142037E+08   0.139519E+08   0.175689E+08   0.176011E+08   0.176012E+08   0.176048E+08  -0.477077E+00   0.937975E+07   0.937961E+07   0.162007E+03   0.131484E+04   0.554247E+00  -0.324444E+13
   0.319233E-03   0.176998E+08   0.176992E+08   0.127753E+08   0.124915E+08   0.176599E+08   0.176996E+08   0.176997E+08   0.177029E+08  -0.479722E+00   0.942003E+07   0.941986E+07   0.174664E+03   0.108919E+04   0.552269E+00  -0.295093E+13
   0.352491E-03   0.178114E+08   0.178106E+08   0.112128E+08   0.108989E+08   0.177623E+08   0.178110E+08   0.178113E+08   0.178140E+08  -0.482716E+00   0.946568E+07   0.946548E+07   0.187393E+03   0.903188E+03   0.550128E+00  -0.268545E+13
   0.389215E-03   0.179361E+08   0.179352E+08   0.954852E+07   0.920919E+07   0.178758E+08   0.179357E+08   0.179360E+08   0.179382E+08  -0.486064E+00   0.951676E+07   0.951653E+07   0.199892E+03   0.749671E+03   0.547847E+00  -0.244520E+13
   0.429764E-03   0.180735E+08   0.180724E+08   0.783526E+07   0.747889E+07   0.179997E+08   0.180730E+08   0.180733E+08   0.180750E+08  -0.489752E+00   0.957312E+07   0.957284E+07   0.211785E+03   0.622777E+03   0.545458E+00  -0.222760E+13
   0.474538E-03   0.182225E+08   0.182212E+08   0.614772E+07   0.578701E+07   0.181323E+08   0.182219E+08   0.182223E+08   0.182235E+08  -0.493753E+00   0.963427E+07   0.963396E+07   0.222622E+03   0.517717E+03   0.542998E+00  -0.203031E+13
   0.523976E-03   0.183812E+08   0.183797E+08   0.457966E+07   0.423152E+07   0.182711E+08   0.183805E+08   0.183810E+08   0.183817E+08  -0.498017E+00   0.969946E+07   0.969909E+07   0.231900E+03   0.430586E+03   0.540510E+00  -0.185118E+13
   0.578566E-03   0.185471E+08   0.185453E+08   0.323348E+07   0.291794E+07   0.184129E+08   0.185462E+08   0.185468E+08   0.185470E+08  -0.502474E+00   0.976756E+07   0.976714E+07   0.239097E+03   0.358203E+03   0.538037E+00  -0.168829E+13
   0.638842E-03   0.187168E+08   0.187148E+08   0.220025E+07   0.193772E+07   0.185535E+08   0.187157E+08   0.187165E+08   0.187163E+08  -0.507038E+00   0.983719E+07   0.983672E+07   0.243718E+03   0.297978E+03   0.535624E+00  -0.153989E+13
   0.705398E-03   0.188866E+08   0.188843E+08   0.153108E+07   0.133809E+07   0.186883E+08   0.188853E+08   0.188862E+08   0.188857E+08  -0.511606E+00   0.990670E+07   0.990618E+07   0.245361E+03   0.247802E+03   0.533310E+00  -0.140445E+13
   0.778888E-03   0.190524E+08   0.190497E+08   0.120739E+07   0.109140E+07   0.188120E+08   0.190508E+08   0.190519E+08   0.190511E+08  -0.516070E+00   0.997433E+07   0.997376E+07   0.243782E+03   0.205957E+03   0.531127E+00  -0.128062E+13
   0.860035E-03   0.192100E+08   0.192071E+08   0.112655E+07   0.108198E+07   0.189193E+08   0.192081E+08   0.192095E+08   0.192084E+08  -0.520318E+00   0.100383E+08   0.100377E+08   0.238942E+03   0.171037E+03   0.529101E+00  -0.116722E+13
   0.949635E-03   0.193556E+08   0.193523E+08   0.112461E+07   0.113312E+07   0.190049E+08   0.193534E+08   0.193550E+08   0.193537E+08  -0.524243E+00   0.100968E+08   0.100961E+08   0.231000E+03   0.141891E+03   0.527248E+00  -0.106326E+13
