#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.971891E-04   0.266726E+08   0.266726E+08   0.342285E+08   0.341902E+08   0.266713E+08   0.266726E+08   0.266726E+08   0.266818E+08  -0.462129E+00   0.631468E+07   0.631466E+07   0.618699E+02   0.830715E+04   0.738397E+00  -0.649755E+13
   0.107314E-03   0.265460E+08   0.265460E+08   0.337764E+08   0.337300E+08   0.265438E+08   0.265460E+08   0.265460E+08   0.265550E+08  -0.459933E+00   0.630176E+07   0.630174E+07   0.680980E+02   0.693788E+04   0.732426E+00  -0.587245E+13
   0.118495E-03   0.263952E+08   0.263951E+08   0.332343E+08   0.331783E+08   0.263920E+08   0.263952E+08   0.263952E+08   0.264041E+08  -0.457318E+00   0.628627E+07   0.628624E+07   0.749011E+02   0.580928E+04   0.725363E+00  -0.530529E+13
   0.130840E-03   0.262165E+08   0.262163E+08   0.325867E+08   0.325192E+08   0.262119E+08   0.262164E+08   0.262164E+08   0.262251E+08  -0.454217E+00   0.626775E+07   0.626772E+07   0.823147E+02   0.487727E+04   0.717060E+00  -0.479057E+13
   0.144471E-03   0.260057E+08   0.260055E+08   0.318162E+08   0.317352E+08   0.259995E+08   0.260056E+08   0.260057E+08   0.260141E+08  -0.450562E+00   0.624570E+07   0.624566E+07   0.903700E+02   0.410565E+04   0.707369E+00  -0.432331E+13
   0.159522E-03   0.257588E+08   0.257586E+08   0.309042E+08   0.308071E+08   0.257507E+08   0.257587E+08   0.257588E+08   0.257670E+08  -0.446280E+00   0.621958E+07   0.621953E+07   0.990911E+02   0.346476E+04   0.696151E+00  -0.389901E+13
   0.176142E-03   0.254717E+08   0.254715E+08   0.298310E+08   0.297151E+08   0.254613E+08   0.254716E+08   0.254717E+08   0.254796E+08  -0.441301E+00   0.618878E+07   0.618872E+07   0.108492E+03   0.293031E+04   0.683292E+00  -0.351365E+13
   0.194493E-03   0.251408E+08   0.251406E+08   0.285771E+08   0.284395E+08   0.251275E+08   0.251407E+08   0.251408E+08   0.251483E+08  -0.435562E+00   0.615271E+07   0.615264E+07   0.118570E+03   0.248251E+04   0.668714E+00  -0.316358E+13
   0.214755E-03   0.247631E+08   0.247628E+08   0.271244E+08   0.269619E+08   0.247463E+08   0.247629E+08   0.247630E+08   0.247702E+08  -0.429010E+00   0.611077E+07   0.611069E+07   0.129302E+03   0.210529E+04   0.652398E+00  -0.284555E+13
   0.237129E-03   0.243366E+08   0.243362E+08   0.254582E+08   0.252676E+08   0.243156E+08   0.243364E+08   0.243365E+08   0.243432E+08  -0.421612E+00   0.606240E+07   0.606230E+07   0.140637E+03   0.178572E+04   0.634394E+00  -0.255667E+13
   0.261834E-03   0.238609E+08   0.238604E+08   0.235698E+08   0.233482E+08   0.238347E+08   0.238607E+08   0.238608E+08   0.238670E+08  -0.413359E+00   0.600713E+07   0.600701E+07   0.152486E+03   0.151347E+04   0.614841E+00  -0.229433E+13
   0.289112E-03   0.233373E+08   0.233368E+08   0.214603E+08   0.212052E+08   0.233050E+08   0.233371E+08   0.233372E+08   0.233428E+08  -0.404276E+00   0.594463E+07   0.594449E+07   0.164713E+03   0.128043E+04   0.593969E+00  -0.205623E+13
   0.319233E-03   0.227693E+08   0.227687E+08   0.191439E+08   0.188538E+08   0.227294E+08   0.227690E+08   0.227692E+08   0.227741E+08  -0.394421E+00   0.587474E+07   0.587457E+07   0.177125E+03   0.108023E+04   0.572102E+00  -0.184033E+13
   0.352491E-03   0.221623E+08   0.221616E+08   0.166532E+08   0.163281E+08   0.221132E+08   0.221620E+08   0.221622E+08   0.221664E+08  -0.383889E+00   0.579754E+07   0.579734E+07   0.189464E+03   0.907964E+03   0.549639E+00  -0.164478E+13
   0.389215E-03   0.215239E+08   0.215230E+08   0.140432E+08   0.136852E+08   0.214636E+08   0.215235E+08   0.215238E+08   0.215272E+08  -0.372810E+00   0.571337E+07   0.571313E+07   0.201398E+03   0.759783E+03   0.527031E+00  -0.146797E+13
   0.429764E-03   0.208631E+08   0.208620E+08   0.113944E+08   0.110081E+08   0.207893E+08   0.208626E+08   0.208629E+08   0.208656E+08  -0.361342E+00   0.562284E+07   0.562256E+07   0.212522E+03   0.632648E+03   0.504747E+00  -0.130839E+13
   0.474538E-03   0.201900E+08   0.201888E+08   0.881328E+07   0.840616E+07   0.201000E+08   0.201894E+08   0.201898E+08   0.201917E+08  -0.349660E+00   0.552684E+07   0.552652E+07   0.222365E+03   0.524064E+03   0.483236E+00  -0.116471E+13
   0.523976E-03   0.195153E+08   0.195138E+08   0.642676E+07   0.600843E+07   0.194056E+08   0.195146E+08   0.195151E+08   0.195162E+08  -0.337950E+00   0.542648E+07   0.542612E+07   0.230412E+03   0.431886E+03   0.462889E+00  -0.103566E+13
   0.578566E-03   0.188492E+08   0.188475E+08   0.436810E+07   0.394911E+07   0.187158E+08   0.188483E+08   0.188489E+08   0.188494E+08  -0.326390E+00   0.532308E+07   0.532267E+07   0.236142E+03   0.354190E+03   0.444017E+00  -0.920069E+12
   0.638842E-03   0.182012E+08   0.181991E+08   0.275272E+07   0.234181E+07   0.180391E+08   0.182001E+08   0.182008E+08   0.182008E+08  -0.315144E+00   0.521802E+07   0.521756E+07   0.239082E+03   0.289197E+03   0.426832E+00  -0.816812E+12
   0.705398E-03   0.175791E+08   0.175768E+08   0.164485E+07   0.124536E+07   0.173828E+08   0.175778E+08   0.175787E+08   0.175782E+08  -0.304352E+00   0.511276E+07   0.511225E+07   0.238879E+03   0.235240E+03   0.411449E+00  -0.724819E+12
   0.778888E-03   0.169895E+08   0.169869E+08   0.102417E+07   0.630666E+06   0.167522E+08   0.169879E+08   0.169890E+08   0.169882E+08  -0.294125E+00   0.500865E+07   0.500810E+07   0.235356E+03   0.190765E+03   0.397890E+00  -0.643063E+12
   0.860035E-03   0.164368E+08   0.164339E+08   0.770358E+06   0.367896E+06   0.161506E+08   0.164349E+08   0.164363E+08   0.164351E+08  -0.284541E+00   0.490696E+07   0.490637E+07   0.228561E+03   0.154336E+03   0.386100E+00  -0.570563E+12
   0.949635E-03   0.159239E+08   0.159207E+08   0.689208E+06   0.258322E+06   0.155795E+08   0.159217E+08   0.159233E+08   0.159218E+08  -0.275649E+00   0.480874E+07   0.480812E+07   0.218755E+03   0.124659E+03   0.375970E+00  -0.506386E+12
   0.104857E-02   0.154518E+08   0.154484E+08   0.591685E+06   0.120471E+06   0.150388E+08   0.154493E+08   0.154513E+08   0.154494E+08  -0.267467E+00   0.471482E+07   0.471417E+07   0.206348E+03   0.100585E+03   0.367353E+00  -0.449649E+12
   0.115781E-02   0.150205E+08   0.150169E+08   0.396717E+06  -0.103886E+06   0.145266E+08   0.150176E+08   0.150199E+08   0.150176E+08  -0.259990E+00   0.462577E+07   0.462511E+07   0.191818E+03   0.811185E+02   0.360084E+00  -0.399532E+12
   0.127844E-02   0.146284E+08   0.146246E+08   0.175130E+06  -0.313876E+06   0.140403E+08   0.146250E+08   0.146277E+08   0.146250E+08  -0.253190E+00   0.454190E+07   0.454123E+07   0.175666E+03   0.654125E+02   0.353993E+00  -0.355274E+12
   0.141163E-02   0.142731E+08   0.142692E+08   0.555735E+05  -0.364036E+06   0.135768E+08   0.142692E+08   0.142724E+08   0.142691E+08  -0.247028E+00   0.446327E+07   0.446260E+07   0.158470E+03   0.527577E+02   0.348915E+00  -0.316182E+12
