#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.215501E+08   0.215501E+08   0.287189E+08   0.287185E+08   0.215525E+08   0.215501E+08   0.215501E+08   0.215578E+08  -0.458512E+00   0.992970E+07   0.992970E+07   0.648131E+01   0.112833E+07   0.493861E+00  -0.998329E+14
   0.109829E-04   0.215500E+08   0.215500E+08   0.287156E+08   0.287151E+08   0.215524E+08   0.215500E+08   0.215500E+08   0.215576E+08  -0.458509E+00   0.992966E+07   0.992966E+07   0.715632E+01   0.925453E+06   0.493856E+00  -0.904131E+14
   0.121272E-04   0.215498E+08   0.215498E+08   0.287115E+08   0.287109E+08   0.215522E+08   0.215498E+08   0.215498E+08   0.215575E+08  -0.458506E+00   0.992962E+07   0.992962E+07   0.790159E+01   0.759056E+06   0.493851E+00  -0.818821E+14
   0.133906E-04   0.215496E+08   0.215496E+08   0.287065E+08   0.287057E+08   0.215520E+08   0.215496E+08   0.215496E+08   0.215573E+08  -0.458501E+00   0.992957E+07   0.992957E+07   0.872440E+01   0.622577E+06   0.493845E+00  -0.741559E+14
   0.147857E-04   0.215494E+08   0.215494E+08   0.287004E+08   0.286995E+08   0.215517E+08   0.215494E+08   0.215494E+08   0.215570E+08  -0.458496E+00   0.992950E+07   0.992950E+07   0.963279E+01   0.510638E+06   0.493838E+00  -0.671587E+14
   0.163261E-04   0.215491E+08   0.215491E+08   0.286930E+08   0.286919E+08   0.215514E+08   0.215491E+08   0.215491E+08   0.215567E+08  -0.458490E+00   0.992942E+07   0.992942E+07   0.106356E+02   0.418826E+06   0.493828E+00  -0.608216E+14
   0.180270E-04   0.215487E+08   0.215487E+08   0.286840E+08   0.286826E+08   0.215510E+08   0.215487E+08   0.215487E+08   0.215564E+08  -0.458482E+00   0.992933E+07   0.992933E+07   0.117427E+02   0.343522E+06   0.493817E+00  -0.550824E+14
   0.199051E-04   0.215483E+08   0.215483E+08   0.286730E+08   0.286712E+08   0.215506E+08   0.215483E+08   0.215483E+08   0.215559E+08  -0.458473E+00   0.992922E+07   0.992921E+07   0.129648E+02   0.281757E+06   0.493803E+00  -0.498847E+14
   0.219788E-04   0.215477E+08   0.215477E+08   0.286595E+08   0.286574E+08   0.215500E+08   0.215477E+08   0.215477E+08   0.215554E+08  -0.458461E+00   0.992908E+07   0.992907E+07   0.143137E+02   0.231098E+06   0.493787E+00  -0.451773E+14
   0.242687E-04   0.215471E+08   0.215471E+08   0.286432E+08   0.286406E+08   0.215493E+08   0.215471E+08   0.215471E+08   0.215548E+08  -0.458447E+00   0.992890E+07   0.992890E+07   0.158026E+02   0.189548E+06   0.493766E+00  -0.409140E+14
   0.267970E-04   0.215463E+08   0.215463E+08   0.286232E+08   0.286201E+08   0.215485E+08   0.215463E+08   0.215463E+08   0.215540E+08  -0.458430E+00   0.992869E+07   0.992869E+07   0.174457E+02   0.155469E+06   0.493742E+00  -0.370529E+14
   0.295888E-04   0.215453E+08   0.215453E+08   0.285990E+08   0.285952E+08   0.215474E+08   0.215453E+08   0.215453E+08   0.215530E+08  -0.458410E+00   0.992844E+07   0.992844E+07   0.192590E+02   0.127517E+06   0.493711E+00  -0.335560E+14
