#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.319371E+08   0.319371E+08   0.425668E+08   0.425664E+08   0.319399E+08   0.319371E+08   0.319371E+08   0.319485E+08  -0.469283E+00   0.741608E+07   0.741608E+07   0.691868E+01   0.847570E+06   0.719630E+00  -0.745611E+14
   0.109829E-04   0.319349E+08   0.319349E+08   0.425604E+08   0.425598E+08   0.319377E+08   0.319349E+08   0.319349E+08   0.319463E+08  -0.469250E+00   0.741584E+07   0.741584E+07   0.763922E+01   0.695319E+06   0.719548E+00  -0.675239E+14
   0.121272E-04   0.319322E+08   0.319322E+08   0.425525E+08   0.425518E+08   0.319350E+08   0.319322E+08   0.319322E+08   0.319436E+08  -0.469210E+00   0.741555E+07   0.741555E+07   0.843473E+01   0.570443E+06   0.719449E+00  -0.611505E+14
   0.133906E-04   0.319289E+08   0.319289E+08   0.425429E+08   0.425421E+08   0.319317E+08   0.319289E+08   0.319289E+08   0.319402E+08  -0.469162E+00   0.741520E+07   0.741520E+07   0.931299E+01   0.468019E+06   0.719327E+00  -0.553782E+14
   0.147857E-04   0.319248E+08   0.319248E+08   0.425312E+08   0.425302E+08   0.319276E+08   0.319249E+08   0.319248E+08   0.319362E+08  -0.469102E+00   0.741478E+07   0.741478E+07   0.102826E+02   0.384012E+06   0.719179E+00  -0.501502E+14
   0.163261E-04   0.319199E+08   0.319199E+08   0.425169E+08   0.425157E+08   0.319227E+08   0.319200E+08   0.319199E+08   0.319313E+08  -0.469030E+00   0.741426E+07   0.741426E+07   0.113530E+02   0.315109E+06   0.718998E+00  -0.454152E+14
   0.180270E-04   0.319140E+08   0.319140E+08   0.424995E+08   0.424981E+08   0.319167E+08   0.319140E+08   0.319140E+08   0.319253E+08  -0.468942E+00   0.741362E+07   0.741362E+07   0.125345E+02   0.258595E+06   0.718778E+00  -0.411267E+14
   0.199051E-04   0.319067E+08   0.319067E+08   0.424783E+08   0.424766E+08   0.319094E+08   0.319067E+08   0.319067E+08   0.319181E+08  -0.468836E+00   0.741285E+07   0.741285E+07   0.138388E+02   0.212242E+06   0.718511E+00  -0.372424E+14
   0.219788E-04   0.318978E+08   0.318978E+08   0.424525E+08   0.424504E+08   0.319005E+08   0.318978E+08   0.318978E+08   0.319092E+08  -0.468705E+00   0.741191E+07   0.741191E+07   0.152784E+02   0.174223E+06   0.718184E+00  -0.337242E+14
   0.242687E-04   0.318870E+08   0.318870E+08   0.424210E+08   0.424185E+08   0.318897E+08   0.318870E+08   0.318870E+08   0.318984E+08  -0.468547E+00   0.741076E+07   0.741076E+07   0.168672E+02   0.143040E+06   0.717788E+00  -0.305375E+14
   0.267970E-04   0.318739E+08   0.318739E+08   0.423828E+08   0.423796E+08   0.318765E+08   0.318739E+08   0.318739E+08   0.318852E+08  -0.468353E+00   0.740937E+07   0.740937E+07   0.186206E+02   0.117463E+06   0.717305E+00  -0.276510E+14
   0.295888E-04   0.318579E+08   0.318579E+08   0.423361E+08   0.423323E+08   0.318604E+08   0.318579E+08   0.318579E+08   0.318692E+08  -0.468118E+00   0.740767E+07   0.740767E+07   0.205552E+02   0.964842E+05   0.716718E+00  -0.250363E+14
   0.326714E-04   0.318385E+08   0.318385E+08   0.422794E+08   0.422747E+08   0.318409E+08   0.318385E+08   0.318385E+08   0.318498E+08  -0.467832E+00   0.740560E+07   0.740560E+07   0.226896E+02   0.792768E+05   0.716004E+00  -0.226677E+14
   0.360752E-04   0.318148E+08   0.318148E+08   0.422103E+08   0.422046E+08   0.318171E+08   0.318148E+08   0.318148E+08   0.318261E+08  -0.467485E+00   0.740308E+07   0.740308E+07   0.250439E+02   0.651625E+05   0.715137E+00  -0.205220E+14
   0.398336E-04   0.317861E+08   0.317861E+08   0.421263E+08   0.421193E+08   0.317883E+08   0.317861E+08   0.317861E+08   0.317974E+08  -0.467062E+00   0.740002E+07   0.740002E+07   0.276402E+02   0.535850E+05   0.714085E+00  -0.185780E+14
   0.439836E-04   0.317512E+08   0.317512E+08   0.420241E+08   0.420157E+08   0.317532E+08   0.317512E+08   0.317512E+08   0.317624E+08  -0.466550E+00   0.739630E+07   0.739629E+07   0.305025E+02   0.440879E+05   0.712810E+00  -0.168167E+14
   0.485659E-04   0.317089E+08   0.317089E+08   0.419000E+08   0.418898E+08   0.317107E+08   0.317089E+08   0.317089E+08   0.317201E+08  -0.465928E+00   0.739177E+07   0.739177E+07   0.336570E+02   0.362969E+05   0.711266E+00  -0.152206E+14
   0.536256E-04   0.316576E+08   0.316576E+08   0.417494E+08   0.417369E+08   0.316592E+08   0.316576E+08   0.316576E+08   0.316688E+08  -0.465174E+00   0.738628E+07   0.738627E+07   0.371322E+02   0.299050E+05   0.709398E+00  -0.137743E+14
   0.592125E-04   0.315956E+08   0.315955E+08   0.415667E+08   0.415515E+08   0.315969E+08   0.315956E+08   0.315956E+08   0.316067E+08  -0.464261E+00   0.737962E+07   0.737961E+07   0.409587E+02   0.246603E+05   0.707145E+00  -0.124634E+14
   0.653814E-04   0.315206E+08   0.315206E+08   0.413453E+08   0.413269E+08   0.315216E+08   0.315206E+08   0.315206E+08   0.315316E+08  -0.463159E+00   0.737155E+07   0.737154E+07   0.451694E+02   0.203560E+05   0.704431E+00  -0.112751E+14
   0.721930E-04   0.314302E+08   0.314301E+08   0.410775E+08   0.410551E+08   0.314308E+08   0.314302E+08   0.314302E+08   0.314411E+08  -0.461830E+00   0.736178E+07   0.736177E+07   0.497994E+02   0.168227E+05   0.701170E+00  -0.101977E+14
   0.797142E-04   0.313214E+08   0.313213E+08   0.407540E+08   0.407267E+08   0.313215E+08   0.313214E+08   0.313214E+08   0.313323E+08  -0.460230E+00   0.734998E+07   0.734996E+07   0.548857E+02   0.139210E+05   0.697266E+00  -0.922075E+13
   0.880190E-04   0.311908E+08   0.311908E+08   0.403639E+08   0.403309E+08   0.311903E+08   0.311908E+08   0.311908E+08   0.312016E+08  -0.458311E+00   0.733575E+07   0.733573E+07   0.604672E+02   0.115369E+05   0.692608E+00  -0.833458E+13
   0.971891E-04   0.310347E+08   0.310346E+08   0.398948E+08   0.398548E+08   0.310334E+08   0.310347E+08   0.310347E+08   0.310453E+08  -0.456016E+00   0.731863E+07   0.731861E+07   0.665836E+02   0.957661E+04   0.687075E+00  -0.753057E+13
