#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.294288E+08   0.294288E+08   0.392232E+08   0.392228E+08   0.294315E+08   0.294288E+08   0.294288E+08   0.294392E+08  -0.471157E+00   0.685350E+07   0.685350E+07   0.665512E+01   0.778905E+06   0.746472E+00  -0.689050E+14
   0.109829E-04   0.294270E+08   0.294269E+08   0.392175E+08   0.392170E+08   0.294297E+08   0.294270E+08   0.294270E+08   0.294374E+08  -0.471129E+00   0.685332E+07   0.685332E+07   0.734822E+01   0.639007E+06   0.746395E+00  -0.624019E+14
   0.121272E-04   0.294248E+08   0.294248E+08   0.392106E+08   0.392099E+08   0.294275E+08   0.294248E+08   0.294248E+08   0.294352E+08  -0.471093E+00   0.685309E+07   0.685309E+07   0.811343E+01   0.524263E+06   0.746301E+00  -0.565123E+14
   0.133906E-04   0.294221E+08   0.294221E+08   0.392021E+08   0.392013E+08   0.294248E+08   0.294221E+08   0.294221E+08   0.294326E+08  -0.471050E+00   0.685282E+07   0.685282E+07   0.895825E+01   0.430150E+06   0.746187E+00  -0.511782E+14
   0.147857E-04   0.294188E+08   0.294188E+08   0.391917E+08   0.391908E+08   0.294215E+08   0.294188E+08   0.294188E+08   0.294293E+08  -0.470998E+00   0.685249E+07   0.685249E+07   0.989092E+01   0.352959E+06   0.746047E+00  -0.463471E+14
   0.163261E-04   0.294148E+08   0.294148E+08   0.391791E+08   0.391780E+08   0.294175E+08   0.294148E+08   0.294148E+08   0.294253E+08  -0.470934E+00   0.685208E+07   0.685208E+07   0.109206E+02   0.289646E+06   0.745878E+00  -0.419717E+14
   0.180270E-04   0.294100E+08   0.294100E+08   0.391637E+08   0.391623E+08   0.294126E+08   0.294100E+08   0.294100E+08   0.294205E+08  -0.470857E+00   0.685158E+07   0.685158E+07   0.120572E+02   0.237718E+06   0.745671E+00  -0.380088E+14
   0.199051E-04   0.294041E+08   0.294041E+08   0.391450E+08   0.391433E+08   0.294067E+08   0.294041E+08   0.294041E+08   0.294146E+08  -0.470762E+00   0.685098E+07   0.685098E+07   0.133118E+02   0.195126E+06   0.745419E+00  -0.344195E+14
   0.219788E-04   0.293969E+08   0.293969E+08   0.391222E+08   0.391201E+08   0.293995E+08   0.293969E+08   0.293969E+08   0.294074E+08  -0.470647E+00   0.685024E+07   0.685024E+07   0.146966E+02   0.160192E+06   0.745112E+00  -0.311686E+14
   0.242687E-04   0.293881E+08   0.293881E+08   0.390944E+08   0.390919E+08   0.293907E+08   0.293882E+08   0.293881E+08   0.293986E+08  -0.470507E+00   0.684935E+07   0.684935E+07   0.162250E+02   0.131538E+06   0.744739E+00  -0.282241E+14
   0.267970E-04   0.293775E+08   0.293775E+08   0.390605E+08   0.390575E+08   0.293800E+08   0.293775E+08   0.293775E+08   0.293879E+08  -0.470336E+00   0.684825E+07   0.684825E+07   0.179117E+02   0.108037E+06   0.744285E+00  -0.255570E+14
   0.295888E-04   0.293645E+08   0.293645E+08   0.390193E+08   0.390156E+08   0.293669E+08   0.293645E+08   0.293645E+08   0.293750E+08  -0.470128E+00   0.684692E+07   0.684692E+07   0.197729E+02   0.887600E+05   0.743732E+00  -0.231411E+14
   0.326714E-04   0.293487E+08   0.293487E+08   0.389691E+08   0.389646E+08   0.293510E+08   0.293487E+08   0.293487E+08   0.293592E+08  -0.469876E+00   0.684530E+07   0.684530E+07   0.218262E+02   0.729488E+05   0.743060E+00  -0.209527E+14
   0.360752E-04   0.293295E+08   0.293295E+08   0.389080E+08   0.389025E+08   0.293318E+08   0.293296E+08   0.293295E+08   0.293399E+08  -0.469568E+00   0.684333E+07   0.684333E+07   0.240912E+02   0.599797E+05   0.742244E+00  -0.189703E+14
   0.398336E-04   0.293062E+08   0.293062E+08   0.388337E+08   0.388269E+08   0.293083E+08   0.293062E+08   0.293062E+08   0.293166E+08  -0.469194E+00   0.684094E+07   0.684093E+07   0.265890E+02   0.493416E+05   0.741253E+00  -0.171744E+14
   0.439836E-04   0.292779E+08   0.292779E+08   0.387433E+08   0.387351E+08   0.292798E+08   0.292779E+08   0.292779E+08   0.292882E+08  -0.468740E+00   0.683802E+07   0.683802E+07   0.293429E+02   0.406151E+05   0.740050E+00  -0.155473E+14
   0.485659E-04   0.292435E+08   0.292435E+08   0.386335E+08   0.386235E+08   0.292452E+08   0.292435E+08   0.292435E+08   0.292538E+08  -0.468189E+00   0.683448E+07   0.683447E+07   0.323782E+02   0.334564E+05   0.738593E+00  -0.140731E+14
   0.536256E-04   0.292018E+08   0.292018E+08   0.385001E+08   0.384879E+08   0.292033E+08   0.292018E+08   0.292018E+08   0.292121E+08  -0.467521E+00   0.683017E+07   0.683017E+07   0.357221E+02   0.275832E+05   0.736829E+00  -0.127372E+14
   0.592125E-04   0.291513E+08   0.291513E+08   0.383382E+08   0.383234E+08   0.291525E+08   0.291513E+08   0.291513E+08   0.291615E+08  -0.466712E+00   0.682495E+07   0.682494E+07   0.394044E+02   0.227641E+05   0.734697E+00  -0.115266E+14
   0.653814E-04   0.290902E+08   0.290902E+08   0.381420E+08   0.381239E+08   0.290911E+08   0.290902E+08   0.290902E+08   0.291004E+08  -0.465734E+00   0.681862E+07   0.681861E+07   0.434567E+02   0.188092E+05   0.732127E+00  -0.104294E+14
   0.721930E-04   0.290165E+08   0.290165E+08   0.379044E+08   0.378825E+08   0.290170E+08   0.290165E+08   0.290165E+08   0.290266E+08  -0.464553E+00   0.681095E+07   0.681094E+07   0.479131E+02   0.155627E+05   0.729034E+00  -0.943471E+13
   0.797142E-04   0.289277E+08   0.289276E+08   0.376172E+08   0.375906E+08   0.289277E+08   0.289277E+08   0.289277E+08   0.289377E+08  -0.463130E+00   0.680168E+07   0.680167E+07   0.528094E+02   0.128966E+05   0.725322E+00  -0.853289E+13
   0.880190E-04   0.288210E+08   0.288209E+08   0.372706E+08   0.372383E+08   0.288204E+08   0.288210E+08   0.288210E+08   0.288309E+08  -0.461420E+00   0.679049E+07   0.679048E+07   0.581832E+02   0.107061E+05   0.720883E+00  -0.771508E+13
   0.971891E-04   0.286931E+08   0.286931E+08   0.368531E+08   0.368140E+08   0.286918E+08   0.286931E+08   0.286931E+08   0.287030E+08  -0.459372E+00   0.677701E+07   0.677699E+07   0.640732E+02   0.890493E+04   0.715596E+00  -0.697327E+13
   0.107314E-03   0.285405E+08   0.285404E+08   0.363518E+08   0.363045E+08   0.285383E+08   0.285405E+08   0.285405E+08   0.285502E+08  -0.456927E+00   0.676082E+07   0.676080E+07   0.705185E+02   0.742238E+04   0.709327E+00  -0.630024E+13
   0.118495E-03   0.283591E+08   0.283590E+08   0.357515E+08   0.356944E+08   0.283558E+08   0.283591E+08   0.283591E+08   0.283686E+08  -0.454021E+00   0.674143E+07   0.674140E+07   0.775575E+02   0.620037E+04   0.701936E+00  -0.568943E+13
   0.130840E-03   0.281446E+08   0.281445E+08   0.350354E+08   0.349666E+08   0.281400E+08   0.281445E+08   0.281446E+08   0.281539E+08  -0.450583E+00   0.671828E+07   0.671825E+07   0.852261E+02   0.519123E+04   0.693282E+00  -0.513492E+13
   0.144471E-03   0.278923E+08   0.278922E+08   0.341848E+08   0.341022E+08   0.278861E+08   0.278923E+08   0.278923E+08   0.279014E+08  -0.446541E+00   0.669077E+07   0.669073E+07   0.935558E+02   0.435584E+04   0.683226E+00  -0.463139E+13
   0.159522E-03   0.275978E+08   0.275976E+08   0.331800E+08   0.330810E+08   0.275896E+08   0.275977E+08   0.275977E+08   0.276065E+08  -0.441821E+00   0.665824E+07   0.665819E+07   0.102571E+03   0.366215E+04   0.671647E+00  -0.417401E+13
