#           k/h    P           
 0.99999997E-04 0.76056219E+03
 0.10202013E-03 0.77542108E+03
 0.10408108E-03 0.79056958E+03
 0.10618366E-03 0.80601288E+03
 0.10832871E-03 0.82175623E+03
 0.11051710E-03 0.83780499E+03
 0.11274968E-03 0.85416437E+03
 0.11502737E-03 0.87083960E+03
 0.11735109E-03 0.88783606E+03
 0.11972173E-03 0.90515912E+03
 0.12214028E-03 0.92281409E+03
 0.12460767E-03 0.94080615E+03
 0.12712492E-03 0.95914044E+03
 0.12969300E-03 0.97782227E+03
 0.13231297E-03 0.99685681E+03
 0.13498588E-03 0.10162490E+04
 0.13771278E-03 0.10360038E+04
 0.14049475E-03 0.10561259E+04
 0.14333293E-03 0.10766200E+04
 0.14622846E-03 0.10974908E+04
 0.14918247E-03 0.11187427E+04
 0.15219615E-03 0.11403795E+04
 0.15527071E-03 0.11624053E+04
 0.15840739E-03 0.11848236E+04
 0.16160744E-03 0.12076381E+04
 0.16487212E-03 0.12308518E+04
 0.16820275E-03 0.12544674E+04
 0.17160067E-03 0.12784869E+04
 0.17506724E-03 0.13029128E+04
 0.17860383E-03 0.13277467E+04
 0.18221186E-03 0.13529897E+04
 0.18589280E-03 0.13786425E+04
 0.18964807E-03 0.14047047E+04
 0.19347922E-03 0.14311764E+04
 0.19738778E-03 0.14580569E+04
 0.20137527E-03 0.14853445E+04
 0.20544330E-03 0.15130367E+04
 0.20959355E-03 0.15411309E+04
 0.21382760E-03 0.15696235E+04
 0.21814722E-03 0.15985106E+04
 0.22255408E-03 0.16277874E+04
 0.22704997E-03 0.16574479E+04
 0.23163669E-03 0.16874857E+04
 0.23631606E-03 0.17178939E+04
 0.24108996E-03 0.17486648E+04
 0.24596031E-03 0.17797898E+04
 0.25092901E-03 0.18112596E+04
 0.25599814E-03 0.18430642E+04
 0.26116965E-03 0.18751927E+04
 0.26644560E-03 0.19076340E+04
 0.27182818E-03 0.19403760E+04
 0.27731949E-03 0.19734065E+04
 0.28292168E-03 0.20067124E+04
 0.28863709E-03 0.20402800E+04
 0.29446793E-03 0.20740947E+04
 0.30041661E-03 0.21081431E+04
 0.30648540E-03 0.21424109E+04
 0.31267683E-03 0.21768833E+04
 0.31899329E-03 0.22115454E+04
 0.32543740E-03 0.22463813E+04
 0.33201167E-03 0.22813777E+04
 0.33871876E-03 0.23165208E+04
 0.34556136E-03 0.23517966E+04
 0.35254212E-03 0.23871909E+04
 0.35966394E-03 0.24226895E+04
 0.36692963E-03 0.24582815E+04
 0.37434211E-03 0.24939563E+04
 0.38190430E-03 0.25297039E+04
 0.38961932E-03 0.25655129E+04
 0.39749016E-03 0.26013745E+04
 0.40552000E-03 0.26372825E+04
 0.41371203E-03 0.26732327E+04
 0.42206954E-03 0.27092207E+04
 0.43059592E-03 0.27452427E+04
 0.43929456E-03 0.27812959E+04
 0.44816890E-03 0.28173823E+04
 0.45722249E-03 0.28535054E+04
 0.46645897E-03 0.28896687E+04
 0.47588209E-03 0.29258770E+04
 0.48549555E-03 0.29621362E+04
 0.49530319E-03 0.29984573E+04
 0.50530903E-03 0.30348518E+04
 0.51551696E-03 0.30713328E+04
 0.52593107E-03 0.31079136E+04
 0.53655554E-03 0.31446101E+04
 0.54739468E-03 0.31814407E+04
 0.55845280E-03 0.32184255E+04
 0.56973431E-03 0.32555857E+04
 0.58124372E-03 0.32929431E+04
 0.59298560E-03 0.33305215E+04
 0.60496473E-03 0.33683462E+04
 0.61718578E-03 0.34064438E+04
 0.62965375E-03 0.34448420E+04
 0.64237369E-03 0.34835701E+04
 0.65535045E-03 0.35226577E+04
 0.66858943E-03 0.35621343E+04
 0.68209582E-03 0.36020310E+04
 0.69587503E-03 0.36423801E+04
 0.70993265E-03 0.36832151E+04
 0.72427420E-03 0.37245691E+04
 0.73890563E-03 0.37664741E+04
 0.75383246E-03 0.38089634E+04
 0.76906086E-03 0.38520710E+04
 0.78459689E-03 0.38958328E+04
 0.80044678E-03 0.39402832E+04
 0.81661687E-03 0.39854546E+04
 0.83311368E-03 0.40313799E+04
 0.84994361E-03 0.40780938E+04
 0.86711359E-03 0.41256318E+04
 0.88463066E-03 0.41740273E+04
 0.90250134E-03 0.42233125E+04
 0.92073303E-03 0.42735181E+04
 0.93933311E-03 0.43246777E+04
 0.95830887E-03 0.43768257E+04
 0.97766798E-03 0.44299932E+04
 0.99741819E-03 0.44842100E+04
 0.10175674E-02 0.45395059E+04
 0.10381236E-02 0.45959111E+04
 0.10590950E-02 0.46534575E+04
 0.10804901E-02 0.47121748E+04
 0.11023175E-02 0.47720884E+04
 0.11245857E-02 0.48332261E+04
 0.11473041E-02 0.48956157E+04
 0.11704812E-02 0.49592856E+04
 0.11941264E-02 0.50242612E+04
 0.12182494E-02 0.50905674E+04
 0.12428596E-02 0.51582280E+04
 0.12679670E-02 0.52272676E+04
 0.12935817E-02 0.52977119E+04
 0.13197137E-02 0.53695830E+04
 0.13463736E-02 0.54429028E+04
 0.13735722E-02 0.55176924E+04
 0.14013201E-02 0.55939731E+04
 0.14296286E-02 0.56717666E+04
 0.14585090E-02 0.57510923E+04
 0.14879731E-02 0.58319683E+04
 0.15180323E-02 0.59144126E+04
 0.15486985E-02 0.59984424E+04
 0.15799842E-02 0.60840762E+04
 0.16119020E-02 0.61713301E+04
 0.16444647E-02 0.62602192E+04
 0.16776850E-02 0.63507598E+04
 0.17115764E-02 0.64429668E+04
 0.17461524E-02 0.65368550E+04
 0.17814270E-02 0.66324370E+04
 0.18174142E-02 0.67297251E+04
 0.18541284E-02 0.68287310E+04
 0.18915841E-02 0.69294658E+04
 0.19297971E-02 0.70319390E+04
 0.19687817E-02 0.71361602E+04
 0.20085536E-02 0.72421367E+04
 0.20491290E-02 0.73498765E+04
 0.20905242E-02 0.74593848E+04
 0.21327557E-02 0.75706670E+04
 0.21758399E-02 0.76837285E+04
