#           k/h    P           
 0.99999997E-04 0.49189248E+04
 0.10202013E-03 0.49797290E+04
 0.10408108E-03 0.50401157E+04
 0.10618366E-03 0.51000215E+04
 0.10832871E-03 0.51593804E+04
 0.11051710E-03 0.52181260E+04
 0.11274968E-03 0.52761890E+04
 0.11502737E-03 0.53334995E+04
 0.11735109E-03 0.53899858E+04
 0.11972173E-03 0.54455767E+04
 0.12214028E-03 0.55001982E+04
 0.12460767E-03 0.55537769E+04
 0.12712492E-03 0.56062383E+04
 0.12969300E-03 0.56575083E+04
 0.13231297E-03 0.57075103E+04
 0.13498588E-03 0.57561704E+04
 0.13771278E-03 0.58034155E+04
 0.14049475E-03 0.58491719E+04
 0.14333293E-03 0.58933667E+04
 0.14622846E-03 0.59359272E+04
 0.14918247E-03 0.59767842E+04
 0.15219615E-03 0.60158706E+04
 0.15527071E-03 0.60531216E+04
 0.15840739E-03 0.60884717E+04
 0.16160744E-03 0.61218589E+04
 0.16487212E-03 0.61532251E+04
 0.16820275E-03 0.61825190E+04
 0.17160067E-03 0.62096904E+04
 0.17506724E-03 0.62346899E+04
 0.17860383E-03 0.62574722E+04
 0.18221186E-03 0.62779995E+04
 0.18589280E-03 0.62962422E+04
 0.18964807E-03 0.63121719E+04
 0.19347922E-03 0.63257622E+04
 0.19738778E-03 0.63369917E+04
 0.20137527E-03 0.63458491E+04
 0.20544330E-03 0.63523315E+04
 0.20959355E-03 0.63564380E+04
 0.21382760E-03 0.63581714E+04
 0.21814722E-03 0.63575376E+04
 0.22255408E-03 0.63545557E+04
 0.22704997E-03 0.63492534E+04
 0.23163669E-03 0.63416597E+04
 0.23631606E-03 0.63318066E+04
 0.24108996E-03 0.63197310E+04
 0.24596031E-03 0.63054814E+04
 0.25092901E-03 0.62891157E+04
 0.25599814E-03 0.62706914E+04
 0.26116965E-03 0.62502690E+04
 0.26644560E-03 0.62279121E+04
 0.27182818E-03 0.62036973E+04
 0.27731949E-03 0.61777056E+04
 0.28292168E-03 0.61500200E+04
 0.28863709E-03 0.61207231E+04
 0.29446793E-03 0.60898999E+04
 0.30041661E-03 0.60576465E+04
 0.30648540E-03 0.60240620E+04
 0.31267683E-03 0.59892446E+04
 0.31899329E-03 0.59532920E+04
