#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.202200E+09   0.202200E+09   0.269553E+09   0.269552E+09   0.202208E+09   0.202200E+09   0.202200E+09   0.202272E+09  -0.456706E+00   0.991026E+07   0.991026E+07   0.116260E+02   0.112884E+07   0.487133E+00  -0.996376E+14
   0.109829E-04   0.202028E+09   0.202028E+09   0.269314E+09   0.269313E+09   0.202036E+09   0.202028E+09   0.202028E+09   0.202100E+09  -0.456318E+00   0.990562E+07   0.990562E+07   0.128335E+02   0.925981E+06   0.486637E+00  -0.901942E+14
   0.121272E-04   0.201819E+09   0.201819E+09   0.269022E+09   0.269022E+09   0.201827E+09   0.201819E+09   0.201819E+09   0.201891E+09  -0.455846E+00   0.989996E+07   0.989996E+07   0.141654E+02   0.759592E+06   0.486035E+00  -0.816375E+14
   0.133906E-04   0.201565E+09   0.201565E+09   0.268668E+09   0.268668E+09   0.201573E+09   0.201565E+09   0.201565E+09   0.201636E+09  -0.455272E+00   0.989308E+07   0.989308E+07   0.156344E+02   0.623116E+06   0.485302E+00  -0.738834E+14
   0.147857E-04   0.201256E+09   0.201256E+09   0.268238E+09   0.268237E+09   0.201264E+09   0.201256E+09   0.201256E+09   0.201327E+09  -0.454575E+00   0.988471E+07   0.988471E+07   0.172540E+02   0.511175E+06   0.484414E+00  -0.668557E+14
   0.163261E-04   0.200881E+09   0.200881E+09   0.267716E+09   0.267715E+09   0.200889E+09   0.200881E+09   0.200881E+09   0.200952E+09  -0.453728E+00   0.987454E+07   0.987454E+07   0.190393E+02   0.419357E+06   0.483337E+00  -0.604854E+14
   0.180270E-04   0.200426E+09   0.200426E+09   0.267082E+09   0.267080E+09   0.200434E+09   0.200426E+09   0.200426E+09   0.200497E+09  -0.452700E+00   0.986219E+07   0.986218E+07   0.210063E+02   0.344042E+06   0.482033E+00  -0.547099E+14
   0.199051E-04   0.199875E+09   0.199875E+09   0.266314E+09   0.266312E+09   0.199883E+09   0.199875E+09   0.199875E+09   0.199946E+09  -0.451455E+00   0.984719E+07   0.984719E+07   0.231726E+02   0.282262E+06   0.480457E+00  -0.494726E+14
   0.219788E-04   0.199207E+09   0.199207E+09   0.265384E+09   0.265382E+09   0.199216E+09   0.199207E+09   0.199207E+09   0.199278E+09  -0.449948E+00   0.982901E+07   0.982901E+07   0.255571E+02   0.231582E+06   0.478554E+00  -0.447220E+14
   0.242687E-04   0.198401E+09   0.198401E+09   0.264260E+09   0.264257E+09   0.198409E+09   0.198401E+09   0.198401E+09   0.198472E+09  -0.448128E+00   0.980699E+07   0.980699E+07   0.281799E+02   0.190005E+06   0.476263E+00  -0.404116E+14
   0.267970E-04   0.197429E+09   0.197429E+09   0.262905E+09   0.262901E+09   0.197437E+09   0.197429E+09   0.197429E+09   0.197499E+09  -0.445931E+00   0.978037E+07   0.978037E+07   0.310625E+02   0.155892E+06   0.473512E+00  -0.364993E+14
   0.295888E-04   0.196259E+09   0.196259E+09   0.261273E+09   0.261268E+09   0.196267E+09   0.196259E+09   0.196259E+09   0.196329E+09  -0.443289E+00   0.974823E+07   0.974823E+07   0.342275E+02   0.127899E+06   0.470217E+00  -0.329469E+14
   0.326714E-04   0.194855E+09   0.194854E+09   0.259313E+09   0.259308E+09   0.194862E+09   0.194855E+09   0.194855E+09   0.194924E+09  -0.440117E+00   0.970951E+07   0.970951E+07   0.376986E+02   0.104924E+06   0.466287E+00  -0.297197E+14
   0.360752E-04   0.193175E+09   0.193175E+09   0.256968E+09   0.256962E+09   0.193182E+09   0.193175E+09   0.193175E+09   0.193243E+09  -0.436324E+00   0.966298E+07   0.966298E+07   0.414998E+02   0.860622E+05   0.461620E+00  -0.267866E+14
   0.398336E-04   0.191173E+09   0.191173E+09   0.254173E+09   0.254165E+09   0.191181E+09   0.191173E+09   0.191173E+09   0.191241E+09  -0.431803E+00   0.960724E+07   0.960724E+07   0.456556E+02   0.705715E+05   0.456107E+00  -0.241193E+14
   0.439836E-04   0.188799E+09   0.188799E+09   0.250855E+09   0.250845E+09   0.188806E+09   0.188799E+09   0.188799E+09   0.188866E+09  -0.426441E+00   0.954070E+07   0.954069E+07   0.501901E+02   0.578436E+05   0.449635E+00  -0.216923E+14
   0.485659E-04   0.185999E+09   0.185999E+09   0.246937E+09   0.246926E+09   0.186005E+09   0.185999E+09   0.185999E+09   0.186065E+09  -0.420116E+00   0.946160E+07   0.946159E+07   0.551259E+02   0.473795E+05   0.442093E+00  -0.194827E+14
   0.536256E-04   0.182715E+09   0.182715E+09   0.242340E+09   0.242326E+09   0.182722E+09   0.182715E+09   0.182715E+09   0.182780E+09  -0.412701E+00   0.936803E+07   0.936802E+07   0.604837E+02   0.387705E+05   0.433378E+00  -0.174700E+14
   0.592125E-04   0.178895E+09   0.178895E+09   0.236984E+09   0.236967E+09   0.178901E+09   0.178895E+09   0.178895E+09   0.178958E+09  -0.404071E+00   0.925802E+07   0.925801E+07   0.662809E+02   0.316822E+05   0.423406E+00  -0.156358E+14
   0.653814E-04   0.174486E+09   0.174486E+09   0.230795E+09   0.230774E+09   0.174491E+09   0.174486E+09   0.174486E+09   0.174547E+09  -0.394113E+00   0.912954E+07   0.912953E+07   0.725302E+02   0.258409E+05   0.412123E+00  -0.139640E+14
   0.721930E-04   0.169447E+09   0.169447E+09   0.223709E+09   0.223683E+09   0.169452E+09   0.169447E+09   0.169447E+09   0.169507E+09  -0.382733E+00   0.898069E+07   0.898067E+07   0.792385E+02   0.210237E+05   0.399518E+00  -0.124403E+14
   0.797142E-04   0.163751E+09   0.163751E+09   0.215681E+09   0.215650E+09   0.163755E+09   0.163751E+09   0.163751E+09   0.163808E+09  -0.369867E+00   0.880979E+07   0.880977E+07   0.864055E+02   0.170491E+05   0.385632E+00  -0.110521E+14
   0.880190E-04   0.157388E+09   0.157388E+09   0.206692E+09   0.206655E+09   0.157392E+09   0.157388E+09   0.157388E+09   0.157444E+09  -0.355498E+00   0.861559E+07   0.861557E+07   0.940225E+02   0.137696E+05   0.370573E+00  -0.978869E+13
   0.971891E-04   0.150377E+09   0.150377E+09   0.196757E+09   0.196712E+09   0.150379E+09   0.150377E+09   0.150377E+09   0.150430E+09  -0.339662E+00   0.839748E+07   0.839745E+07   0.102073E+03   0.110658E+05   0.354517E+00  -0.864067E+13
   0.107314E-03   0.142762E+09   0.142761E+09   0.185926E+09   0.185872E+09   0.142762E+09   0.142762E+09   0.142762E+09   0.142811E+09  -0.322461E+00   0.815564E+07   0.815560E+07   0.110530E+03   0.884080E+04   0.337707E+00  -0.760003E+13
   0.118495E-03   0.134617E+09   0.134617E+09   0.174292E+09   0.174228E+09   0.134617E+09   0.134617E+09   0.134617E+09   0.134664E+09  -0.304067E+00   0.789126E+07   0.789121E+07   0.119362E+03   0.701572E+04   0.320443E+00  -0.665982E+13
   0.130840E-03   0.126050E+09   0.126050E+09   0.161990E+09   0.161913E+09   0.126048E+09   0.126050E+09   0.126050E+09   0.126094E+09  -0.284716E+00   0.760663E+07   0.760658E+07   0.128532E+03   0.552579E+04   0.303068E+00  -0.581391E+13
   0.144471E-03   0.117191E+09   0.117191E+09   0.149188E+09   0.149095E+09   0.117186E+09   0.117191E+09   0.117191E+09   0.117231E+09  -0.264706E+00   0.730519E+07   0.730513E+07   0.137999E+03   0.431721E+04   0.285942E+00  -0.505669E+13
   0.159522E-03   0.108189E+09   0.108189E+09   0.136079E+09   0.135970E+09   0.108182E+09   0.108189E+09   0.108189E+09   0.108226E+09  -0.244374E+00   0.699138E+07   0.699131E+07   0.147725E+03   0.334460E+04   0.269420E+00  -0.438285E+13
   0.176142E-03   0.992043E+08   0.992041E+08   0.122874E+09   0.122743E+09   0.991943E+08   0.992042E+08   0.992043E+08   0.992370E+08  -0.224079E+00   0.667049E+07   0.667041E+07   0.157676E+03   0.256907E+04   0.253831E+00  -0.378713E+13
   0.194493E-03   0.903936E+08   0.903934E+08   0.109777E+09   0.109624E+09   0.903802E+08   0.903935E+08   0.903936E+08   0.904228E+08  -0.204177E+00   0.634826E+07   0.634816E+07   0.167821E+03   0.195700E+04   0.239453E+00  -0.326412E+13
   0.214755E-03   0.819034E+08   0.819031E+08   0.969835E+08   0.968040E+08   0.818860E+08   0.819033E+08   0.819033E+08   0.819292E+08  -0.184999E+00   0.603053E+07   0.603042E+07   0.178134E+03   0.147912E+04   0.226505E+00  -0.280819E+13
   0.237129E-03   0.738592E+08   0.738588E+08   0.846595E+08   0.844508E+08   0.738370E+08   0.738590E+08   0.738591E+08   0.738816E+08  -0.166828E+00   0.572284E+07   0.572270E+07   0.188582E+03   0.111009E+04   0.215141E+00  -0.241346E+13
   0.261834E-03   0.663597E+08   0.663592E+08   0.729397E+08   0.726993E+08   0.663320E+08   0.663595E+08   0.663596E+08   0.663790E+08  -0.149887E+00   0.543001E+07   0.542985E+07   0.199123E+03   0.828147E+03   0.205449E+00  -0.207390E+13
