#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.241687E+08   0.241687E+08   0.322082E+08   0.322078E+08   0.241712E+08   0.241687E+08   0.241687E+08   0.241773E+08  -0.327626E+00   0.732353E+07   0.732353E+07   0.692078E+01  -0.531842E+06   0.118452E+01  -0.736306E+14
   0.109829E-04   0.241689E+08   0.241689E+08   0.322048E+08   0.322043E+08   0.241714E+08   0.241689E+08   0.241689E+08   0.241775E+08  -0.327629E+00   0.732328E+07   0.732328E+07   0.764152E+01  -0.435893E+06   0.118438E+01  -0.666811E+14
   0.121272E-04   0.241692E+08   0.241692E+08   0.322007E+08   0.322001E+08   0.241717E+08   0.241692E+08   0.241692E+08   0.241778E+08  -0.327632E+00   0.732297E+07   0.732297E+07   0.843724E+01  -0.357196E+06   0.118421E+01  -0.603870E+14
   0.133906E-04   0.241695E+08   0.241695E+08   0.321957E+08   0.321949E+08   0.241720E+08   0.241695E+08   0.241695E+08   0.241781E+08  -0.327636E+00   0.732259E+07   0.732259E+07   0.931573E+01  -0.292649E+06   0.118401E+01  -0.546865E+14
   0.147857E-04   0.241699E+08   0.241699E+08   0.321896E+08   0.321886E+08   0.241723E+08   0.241699E+08   0.241699E+08   0.241785E+08  -0.327642E+00   0.732214E+07   0.732213E+07   0.102856E+02  -0.239707E+06   0.118376E+01  -0.495236E+14
   0.163261E-04   0.241704E+08   0.241704E+08   0.321821E+08   0.321809E+08   0.241728E+08   0.241704E+08   0.241704E+08   0.241790E+08  -0.327648E+00   0.732158E+07   0.732158E+07   0.113562E+02  -0.196285E+06   0.118346E+01  -0.448475E+14
   0.180270E-04   0.241709E+08   0.241709E+08   0.321730E+08   0.321716E+08   0.241734E+08   0.241710E+08   0.241709E+08   0.241796E+08  -0.327656E+00   0.732089E+07   0.732089E+07   0.125380E+02  -0.160671E+06   0.118309E+01  -0.406122E+14
   0.199051E-04   0.241716E+08   0.241716E+08   0.321619E+08   0.321602E+08   0.241740E+08   0.241717E+08   0.241716E+08   0.241802E+08  -0.327665E+00   0.732006E+07   0.732006E+07   0.138425E+02  -0.131461E+06   0.118263E+01  -0.367762E+14
   0.219788E-04   0.241725E+08   0.241725E+08   0.321484E+08   0.321463E+08   0.241748E+08   0.241725E+08   0.241725E+08   0.241811E+08  -0.327677E+00   0.731905E+07   0.731905E+07   0.152824E+02  -0.107502E+06   0.118209E+01  -0.333017E+14
   0.242687E-04   0.241735E+08   0.241735E+08   0.321320E+08   0.321294E+08   0.241758E+08   0.241735E+08   0.241735E+08   0.241821E+08  -0.327691E+00   0.731782E+07   0.731782E+07   0.168714E+02  -0.878524E+05   0.118142E+01  -0.301545E+14
   0.267970E-04   0.241748E+08   0.241748E+08   0.321119E+08   0.321087E+08   0.241770E+08   0.241748E+08   0.241748E+08   0.241834E+08  -0.327707E+00   0.731632E+07   0.731632E+07   0.186249E+02  -0.717360E+05   0.118060E+01  -0.273037E+14
   0.295888E-04   0.241763E+08   0.241763E+08   0.320874E+08   0.320835E+08   0.241785E+08   0.241763E+08   0.241763E+08   0.241849E+08  -0.327728E+00   0.731449E+07   0.731449E+07   0.205597E+02  -0.585179E+05   0.117962E+01  -0.247214E+14
   0.326714E-04   0.241781E+08   0.241781E+08   0.320575E+08   0.320528E+08   0.241802E+08   0.241781E+08   0.241781E+08   0.241867E+08  -0.327752E+00   0.731226E+07   0.731226E+07   0.226941E+02  -0.476771E+05   0.117841E+01  -0.223820E+14
   0.360752E-04   0.241803E+08   0.241803E+08   0.320211E+08   0.320154E+08   0.241823E+08   0.241803E+08   0.241803E+08   0.241888E+08  -0.327781E+00   0.730955E+07   0.730955E+07   0.250482E+02  -0.387864E+05   0.117695E+01  -0.202627E+14
   0.398336E-04   0.241829E+08   0.241829E+08   0.319768E+08   0.319698E+08   0.241848E+08   0.241829E+08   0.241829E+08   0.241914E+08  -0.327816E+00   0.730626E+07   0.730626E+07   0.276441E+02  -0.314952E+05   0.117517E+01  -0.183426E+14
   0.439836E-04   0.241860E+08   0.241860E+08   0.319227E+08   0.319143E+08   0.241877E+08   0.241860E+08   0.241860E+08   0.241946E+08  -0.327858E+00   0.730225E+07   0.730224E+07   0.305057E+02  -0.255163E+05   0.117301E+01  -0.166028E+14
   0.485659E-04   0.241897E+08   0.241897E+08   0.318569E+08   0.318466E+08   0.241913E+08   0.241897E+08   0.241897E+08   0.241982E+08  -0.327908E+00   0.729738E+07   0.729737E+07   0.336590E+02  -0.206139E+05   0.117039E+01  -0.150263E+14
   0.536256E-04   0.241941E+08   0.241941E+08   0.317766E+08   0.317640E+08   0.241954E+08   0.241941E+08   0.241941E+08   0.242026E+08  -0.327967E+00   0.729146E+07   0.729146E+07   0.371324E+02  -0.165947E+05   0.116722E+01  -0.135975E+14
   0.592125E-04   0.241992E+08   0.241992E+08   0.316788E+08   0.316635E+08   0.242002E+08   0.241992E+08   0.241992E+08   0.242077E+08  -0.328035E+00   0.728428E+07   0.728427E+07   0.409562E+02  -0.133004E+05   0.116338E+01  -0.123024E+14
   0.653814E-04   0.242052E+08   0.242051E+08   0.315596E+08   0.315411E+08   0.242058E+08   0.242052E+08   0.242052E+08   0.242136E+08  -0.328115E+00   0.727558E+07   0.727557E+07   0.451631E+02  -0.106010E+05   0.115875E+01  -0.111283E+14
