#           k/h    P           
 0.99999997E-04 0.39708655E+04
 0.10202013E-03 0.40237039E+04
 0.10408108E-03 0.40764009E+04
 0.10618366E-03 0.41289087E+04
 0.10832871E-03 0.41811782E+04
 0.11051710E-03 0.42331587E+04
 0.11274968E-03 0.42847969E+04
 0.11502737E-03 0.43360386E+04
 0.11735109E-03 0.43868286E+04
 0.11972173E-03 0.44371094E+04
 0.12214028E-03 0.44868232E+04
 0.12460767E-03 0.45359111E+04
 0.12712492E-03 0.45843120E+04
 0.12969300E-03 0.46319648E+04
 0.13231297E-03 0.46788076E+04
 0.13498588E-03 0.47247778E+04
 0.13771278E-03 0.47698125E+04
 0.14049475E-03 0.48138496E+04
 0.14333293E-03 0.48568247E+04
 0.14622846E-03 0.48986743E+04
 0.14918247E-03 0.49393359E+04
 0.15219615E-03 0.49787495E+04
 0.15527071E-03 0.50168545E+04
 0.15840739E-03 0.50535898E+04
 0.16160744E-03 0.50888965E+04
 0.16487212E-03 0.51227188E+04
 0.16820275E-03 0.51550024E+04
 0.17160067E-03 0.51856963E+04
 0.17506724E-03 0.52147485E+04
 0.17860383E-03 0.52421104E+04
 0.18221186E-03 0.52677383E+04
 0.18589280E-03 0.52915933E+04
 0.18964807E-03 0.53136392E+04
 0.19347922E-03 0.53338403E+04
 0.19738778E-03 0.53521641E+04
 0.20137527E-03 0.53685869E+04
 0.20544330E-03 0.53830903E+04
 0.20959355E-03 0.53956587E+04
 0.21382760E-03 0.54062778E+04
 0.21814722E-03 0.54149380E+04
 0.22255408E-03 0.54216387E+04
 0.22704997E-03 0.54263877E+04
 0.23163669E-03 0.54291938E+04
 0.23631606E-03 0.54300679E+04
 0.24108996E-03 0.54290259E+04
 0.24596031E-03 0.54260938E+04
 0.25092901E-03 0.54213052E+04
 0.25599814E-03 0.54146958E+04
 0.26116965E-03 0.54063013E+04
 0.26644560E-03 0.53961626E+04
 0.27182818E-03 0.53843320E+04
 0.27731949E-03 0.53708667E+04
 0.28292168E-03 0.53558262E+04
 0.28863709E-03 0.53392700E+04
 0.29446793E-03 0.53212603E+04
 0.30041661E-03 0.53018696E+04
 0.30648540E-03 0.52811753E+04
 0.31267683E-03 0.52592534E+04
 0.31899329E-03 0.52361807E+04
 0.32543740E-03 0.52120352E+04
 0.33201167E-03 0.51869033E+04
 0.33871876E-03 0.51608730E+04
 0.34556136E-03 0.51340308E+04
 0.35254212E-03 0.51064629E+04
 0.35966394E-03 0.50782554E+04
 0.36692963E-03 0.50494990E+04
 0.37434211E-03 0.50202852E+04
 0.38190430E-03 0.49907026E+04
 0.38961932E-03 0.49608394E+04
 0.39749016E-03 0.49307812E+04
 0.40552000E-03 0.49006162E+04
 0.41371203E-03 0.48704297E+04
 0.42206954E-03 0.48403066E+04
 0.43059592E-03 0.48103286E+04
 0.43929456E-03 0.47805757E+04
 0.44816890E-03 0.47511255E+04
 0.45722249E-03 0.47220537E+04
 0.46645897E-03 0.46934346E+04
 0.47588209E-03 0.46653398E+04
 0.48549555E-03 0.46378384E+04
 0.49530319E-03 0.46109946E+04
