#           k/h    P           
 0.99999997E-04 0.66469473E+04
 0.10202013E-03 0.67258232E+04
 0.10408108E-03 0.68038657E+04
 0.10618366E-03 0.68809722E+04
 0.10832871E-03 0.69570386E+04
 0.11051710E-03 0.70319585E+04
 0.11274968E-03 0.71056201E+04
 0.11502737E-03 0.71779116E+04
 0.11735109E-03 0.72487188E+04
 0.11972173E-03 0.73179258E+04
 0.12214028E-03 0.73854160E+04
 0.12460767E-03 0.74510703E+04
 0.12712492E-03 0.75147700E+04
 0.12969300E-03 0.75763950E+04
 0.13231297E-03 0.76358252E+04
 0.13498588E-03 0.76929424E+04
 0.13771278E-03 0.77476299E+04
 0.14049475E-03 0.77997705E+04
 0.14333293E-03 0.78492495E+04
 0.14622846E-03 0.78959531E+04
 0.14918247E-03 0.79397725E+04
 0.15219615E-03 0.79806045E+04
 0.15527071E-03 0.80183491E+04
 0.15840739E-03 0.80529077E+04
 0.16160744E-03 0.80841855E+04
 0.16487212E-03 0.81120986E+04
 0.16820275E-03 0.81365728E+04
 0.17160067E-03 0.81575366E+04
 0.17506724E-03 0.81749238E+04
 0.17860383E-03 0.81886729E+04
 0.18221186E-03 0.81987383E+04
 0.18589280E-03 0.82050889E+04
 0.18964807E-03 0.82076953E+04
 0.19347922E-03 0.82065361E+04
 0.19738778E-03 0.82015957E+04
 0.20137527E-03 0.81928799E+04
 0.20544330E-03 0.81804062E+04
 0.20959355E-03 0.81642002E+04
 0.21382760E-03 0.81442905E+04
 0.21814722E-03 0.81207148E+04
 0.22255408E-03 0.80935337E+04
 0.22704997E-03 0.80628213E+04
 0.23163669E-03 0.80286562E+04
 0.23631606E-03 0.79911211E+04
 0.24108996E-03 0.79503042E+04
 0.24596031E-03 0.79063188E+04
 0.25092901E-03 0.78592886E+04
 0.25599814E-03 0.78093394E+04
 0.26116965E-03 0.77565977E+04
 0.26644560E-03 0.77011963E+04
 0.27182818E-03 0.76432871E+04
 0.27731949E-03 0.75830298E+04
 0.28292168E-03 0.75205835E+04
 0.28863709E-03 0.74561060E+04
 0.29446793E-03 0.73897559E+04
 0.30041661E-03 0.73217080E+04
 0.30648540E-03 0.72521387E+04
 0.31267683E-03 0.71812212E+04
 0.31899329E-03 0.71091250E+04
 0.32543740E-03 0.70360171E+04
 0.33201167E-03 0.69620737E+04
 0.33871876E-03 0.68874688E+04
 0.34556136E-03 0.68123711E+04
 0.35254212E-03 0.67369438E+04
 0.35966394E-03 0.66613442E+04
 0.36692963E-03 0.65857334E+04
 0.37434211E-03 0.65102666E+04
 0.38190430E-03 0.64350918E+04
 0.38961932E-03 0.63603516E+04
 0.39749016E-03 0.62861831E+04
 0.40552000E-03 0.62127168E+04
 0.41371203E-03 0.61400786E+04
 0.42206954E-03 0.60683877E+04
 0.43059592E-03 0.59977583E+04
 0.43929456E-03 0.59282969E+04
 0.44816890E-03 0.58601016E+04
 0.45722249E-03 0.57932637E+04
 0.46645897E-03 0.57278716E+04
 0.47588209E-03 0.56640078E+04
 0.48549555E-03 0.56017485E+04
 0.49530319E-03 0.55411577E+04
 0.50530903E-03 0.54822959E+04
 0.51551696E-03 0.54252197E+04
 0.52593107E-03 0.53699844E+04
 0.53655554E-03 0.53166367E+04
 0.54739468E-03 0.52652124E+04
 0.55845280E-03 0.52157451E+04
 0.56973431E-03 0.51682666E+04
 0.58124372E-03 0.51228086E+04
 0.59298560E-03 0.50793950E+04
 0.60496473E-03 0.50380400E+04
 0.61718578E-03 0.49987563E+04
 0.62965375E-03 0.49615566E+04
 0.64237369E-03 0.49264551E+04
 0.65535045E-03 0.48934600E+04
 0.66858943E-03 0.48625693E+04
 0.68209582E-03 0.48337822E+04
 0.69587503E-03 0.48070991E+04
 0.70993265E-03 0.47825225E+04
 0.72427420E-03 0.47600493E+04
 0.73890563E-03 0.47396694E+04
 0.75383246E-03 0.47213726E+04
 0.76906086E-03 0.47051528E+04
 0.78459689E-03 0.46910054E+04
 0.80044678E-03 0.46789214E+04
 0.81661687E-03 0.46688857E+04
 0.83311368E-03 0.46608853E+04
 0.84994361E-03 0.46549102E+04
 0.86711359E-03 0.46509517E+04
 0.88463066E-03 0.46489985E+04
 0.90250134E-03 0.46490356E+04
 0.92073303E-03 0.46510483E+04
 0.93933311E-03 0.46550254E+04
 0.95830887E-03 0.46609575E+04
 0.97766798E-03 0.46688340E+04
 0.99741819E-03 0.46786396E+04
 0.10175674E-02 0.46903618E+04
 0.10381236E-02 0.47039897E+04
 0.10590950E-02 0.47195151E+04
 0.10804901E-02 0.47369268E+04
 0.11023175E-02 0.47562129E+04
 0.11245857E-02 0.47773628E+04
 0.11473041E-02 0.48003677E+04
 0.11704812E-02 0.48252188E+04
 0.11941264E-02 0.48519087E+04
 0.12182494E-02 0.48804268E+04
 0.12428596E-02 0.49107656E+04
 0.12679670E-02 0.49429180E+04
 0.12935817E-02 0.49768770E+04
 0.13197137E-02 0.50126357E+04
 0.13463736E-02 0.50501880E+04
 0.13735722E-02 0.50895269E+04
 0.14013201E-02 0.51306470E+04
 0.14296286E-02 0.51735425E+04
 0.14585090E-02 0.52182085E+04
 0.14879731E-02 0.52646406E+04
 0.15180323E-02 0.53128330E+04
 0.15486985E-02 0.53627817E+04
 0.15799842E-02 0.54144824E+04
 0.16119020E-02 0.54679302E+04
 0.16444647E-02 0.55231226E+04
 0.16776850E-02 0.55800557E+04
 0.17115764E-02 0.56387256E+04
 0.17461524E-02 0.56991279E+04
 0.17814270E-02 0.57612598E+04
 0.18174142E-02 0.58251177E+04
 0.18541284E-02 0.58906978E+04
 0.18915841E-02 0.59579956E+04
 0.19297971E-02 0.60270054E+04
 0.19687817E-02 0.60977241E+04
 0.20085536E-02 0.61701479E+04
 0.20491290E-02 0.62442715E+04
 0.20905242E-02 0.63200903E+04
 0.21327557E-02 0.63975972E+04
 0.21758399E-02 0.64767886E+04
 0.22197948E-02 0.65576597E+04
 0.22646377E-02 0.66402056E+04
 0.23103864E-02 0.67244204E+04
 0.23570592E-02 0.68102959E+04
 0.24046749E-02 0.68978242E+04
 0.24532524E-02 0.69869971E+04
 0.25028118E-02 0.70778027E+04
 0.25533722E-02 0.71702305E+04
 0.26049537E-02 0.72642666E+04
 0.26575772E-02 0.73599019E+04
 0.27112637E-02 0.74571270E+04
 0.27660348E-02 0.75559312E+04
 0.28219123E-02 0.76563018E+04
 0.28789188E-02 0.77582256E+04
 0.29370766E-02 0.78616885E+04
 0.29964095E-02 0.79666743E+04
 0.30569409E-02 0.80731675E+04
 0.31186952E-02 0.81811479E+04
 0.31816978E-02 0.82905967E+04
 0.32459723E-02 0.84014932E+04
 0.33115451E-02 0.85138184E+04
 0.33784427E-02 0.86275488E+04
 0.34466919E-02 0.87426621E+04
 0.35163197E-02 0.88591309E+04
 0.35873537E-02 0.89769297E+04
 0.36598232E-02 0.90960312E+04
 0.37337563E-02 0.92164053E+04
 0.38091831E-02 0.93380215E+04
 0.38861334E-02 0.94608467E+04
 0.39646388E-02 0.95848467E+04
 0.40447293E-02 0.97099873E+04
 0.41264393E-02 0.98362324E+04
 0.42097992E-02 0.99635420E+04
 0.42948425E-02 0.10091875E+05
 0.43816040E-02 0.10221186E+05
 0.44701183E-02 0.10351427E+05
 0.45604203E-02 0.10482549E+05
 0.46525472E-02 0.10614499E+05
 0.47465344E-02 0.10747226E+05
 0.48424210E-02 0.10880687E+05
 0.49402444E-02 0.11014839E+05
 0.50400435E-02 0.11149639E+05
 0.51418589E-02 0.11285037E+05
 0.52457317E-02 0.11420977E+05
 0.53517036E-02 0.11557376E+05
 0.54598148E-02 0.11694146E+05
 0.55701104E-02 0.11831196E+05
 0.56826337E-02 0.11968432E+05
 0.57974309E-02 0.12105764E+05
 0.59145465E-02 0.12243124E+05
 0.60340283E-02 0.12380442E+05
 0.61559235E-02 0.12517647E+05
 0.62802811E-02 0.12654668E+05
 0.64071510E-02 0.12791422E+05
 0.65365843E-02 0.12927814E+05
 0.66686315E-02 0.13063748E+05
 0.68033468E-02 0.13199122E+05
 0.69407835E-02 0.13333835E+05
 0.70809964E-02 0.13467780E+05
 0.72240415E-02 0.13600849E+05
 0.73699774E-02 0.13732928E+05
 0.75188605E-02 0.13863905E+05
 0.76707508E-02 0.13993664E+05
