#           k/h    P           
 0.99999997E-04 0.20120502E+04
 0.10202013E-03 0.20456827E+04
 0.10408108E-03 0.20796802E+04
 0.10618366E-03 0.21140364E+04
 0.10832871E-03 0.21487434E+04
 0.11051710E-03 0.21837939E+04
 0.11274968E-03 0.22191790E+04
 0.11502737E-03 0.22548889E+04
 0.11735109E-03 0.22909138E+04
 0.11972173E-03 0.23272432E+04
 0.12214028E-03 0.23638650E+04
 0.12460767E-03 0.24007673E+04
 0.12712492E-03 0.24379363E+04
 0.12969300E-03 0.24753584E+04
 0.13231297E-03 0.25130190E+04
 0.13498588E-03 0.25509026E+04
 0.13771278E-03 0.25889927E+04
 0.14049475E-03 0.26272720E+04
 0.14333293E-03 0.26657229E+04
 0.14622846E-03 0.27043267E+04
 0.14918247E-03 0.27430640E+04
 0.15219615E-03 0.27819146E+04
 0.15527071E-03 0.28208572E+04
 0.15840739E-03 0.28598701E+04
 0.16160744E-03 0.28989312E+04
 0.16487212E-03 0.29380171E+04
 0.16820275E-03 0.29771042E+04
 0.17160067E-03 0.30161685E+04
 0.17506724E-03 0.30551846E+04
 0.17860383E-03 0.30941270E+04
 0.18221186E-03 0.31329697E+04
 0.18589280E-03 0.31716873E+04
 0.18964807E-03 0.32102524E+04
 0.19347922E-03 0.32486382E+04
 0.19738778E-03 0.32868169E+04
 0.20137527E-03 0.33247612E+04
 0.20544330E-03 0.33624443E+04
 0.20959355E-03 0.33998386E+04
 0.21382760E-03 0.34369163E+04
 0.21814722E-03 0.34736492E+04
 0.22255408E-03 0.35100107E+04
 0.22704997E-03 0.35459746E+04
 0.23163669E-03 0.35815144E+04
 0.23631606E-03 0.36166040E+04
 0.24108996E-03 0.36512166E+04
 0.24596031E-03 0.36853281E+04
 0.25092901E-03 0.37189155E+04
 0.25599814E-03 0.37519556E+04
 0.26116965E-03 0.37844248E+04
 0.26644560E-03 0.38163013E+04
 0.27182818E-03 0.38475652E+04
 0.27731949E-03 0.38781987E+04
 0.28292168E-03 0.39081836E+04
 0.28863709E-03 0.39375029E+04
 0.29446793E-03 0.39661396E+04
 0.30041661E-03 0.39940813E+04
 0.30648540E-03 0.40213164E+04
 0.31267683E-03 0.40478340E+04
 0.31899329E-03 0.40736243E+04
 0.32543740E-03 0.40986777E+04
 0.33201167E-03 0.41229902E+04
 0.33871876E-03 0.41465581E+04
 0.34556136E-03 0.41693789E+04
 0.35254212E-03 0.41914507E+04
 0.35966394E-03 0.42127734E+04
 0.36692963E-03 0.42333501E+04
 0.37434211E-03 0.42531870E+04
 0.38190430E-03 0.42722896E+04
 0.38961932E-03 0.42906641E+04
 0.39749016E-03 0.43083193E+04
 0.40552000E-03 0.43252676E+04
 0.41371203E-03 0.43415220E+04
 0.42206954E-03 0.43570967E+04
 0.43059592E-03 0.43720073E+04
 0.43929456E-03 0.43862700E+04
 0.44816890E-03 0.43999043E+04
 0.45722249E-03 0.44129312E+04
 0.46645897E-03 0.44253711E+04
 0.47588209E-03 0.44372471E+04
 0.48549555E-03 0.44485815E+04
 0.49530319E-03 0.44594004E+04
 0.50530903E-03 0.44697300E+04
 0.51551696E-03 0.44795977E+04
 0.52593107E-03 0.44890308E+04
 0.53655554E-03 0.44980571E+04
 0.54739468E-03 0.45067070E+04
 0.55845280E-03 0.45150112E+04
 0.56973431E-03 0.45230005E+04
 0.58124372E-03 0.45307061E+04
 0.59298560E-03 0.45381597E+04
 0.60496473E-03 0.45453936E+04
 0.61718578E-03 0.45524409E+04
 0.62965375E-03 0.45593345E+04
 0.64237369E-03 0.45661074E+04
 0.65535045E-03 0.45727935E+04
 0.66858943E-03 0.45794258E+04
 0.68209582E-03 0.45860381E+04
 0.69587503E-03 0.45926641E+04
 0.70993265E-03 0.45993384E+04
 0.72427420E-03 0.46060947E+04
 0.73890563E-03 0.46129653E+04
 0.75383246E-03 0.46199839E+04
 0.76906086E-03 0.46271836E+04
 0.78459689E-03 0.46345986E+04
 0.80044678E-03 0.46422607E+04
 0.81661687E-03 0.46502026E+04
 0.83311368E-03 0.46584556E+04
 0.84994361E-03 0.46670518E+04
 0.86711359E-03 0.46760234E+04
 0.88463066E-03 0.46854019E+04
 0.90250134E-03 0.46952173E+04
 0.92073303E-03 0.47054985E+04
 0.93933311E-03 0.47162764E+04
 0.95830887E-03 0.47275820E+04
 0.97766798E-03 0.47394438E+04
 0.99741819E-03 0.47518892E+04
 0.10175674E-02 0.47649458E+04
 0.10381236E-02 0.47786421E+04
 0.10590950E-02 0.47930059E+04
 0.10804901E-02 0.48080649E+04
 0.11023175E-02 0.48238428E+04
 0.11245857E-02 0.48403652E+04
 0.11473041E-02 0.48576582E+04
 0.11704812E-02 0.48757476E+04
 0.11941264E-02 0.48946572E+04
 0.12182494E-02 0.49144102E+04
 0.12428596E-02 0.49350288E+04
 0.12679670E-02 0.49565366E+04
 0.12935817E-02 0.49789580E+04
 0.13197137E-02 0.50023145E+04
 0.13463736E-02 0.50266250E+04
 0.13735722E-02 0.50519102E+04
 0.14013201E-02 0.50781904E+04
 0.14296286E-02 0.51054883E+04
 0.14585090E-02 0.51338218E+04
 0.14879731E-02 0.51632080E+04
 0.15180323E-02 0.51936646E+04
 0.15486985E-02 0.52252104E+04
 0.15799842E-02 0.52578643E+04
 0.16119020E-02 0.52916416E+04
 0.16444647E-02 0.53265571E+04
 0.16776850E-02 0.53626265E+04
 0.17115764E-02 0.53998647E+04
 0.17461524E-02 0.54382881E+04
 0.17814270E-02 0.54779097E+04
 0.18174142E-02 0.55187407E+04
 0.18541284E-02 0.55607935E+04
 0.18915841E-02 0.56040811E+04
 0.19297971E-02 0.56486152E+04
 0.19687817E-02 0.56944067E+04
 0.20085536E-02 0.57414634E+04
 0.20491290E-02 0.57897949E+04
 0.20905242E-02 0.58394102E+04
 0.21327557E-02 0.58903184E+04
 0.21758399E-02 0.59425259E+04
 0.22197948E-02 0.59960381E+04
 0.22646377E-02 0.60508604E+04
 0.23103864E-02 0.61069980E+04
 0.23570592E-02 0.61644561E+04
 0.24046749E-02 0.62232363E+04
 0.24532524E-02 0.62833418E+04
 0.25028118E-02 0.63447729E+04
 0.25533722E-02 0.64075308E+04
 0.26049537E-02 0.64716167E+04
 0.26575772E-02 0.65370278E+04
 0.27112637E-02 0.66037622E+04
