#    L    TT             EE             BB             TE          
     2   0.906665E+04   0.500997E-01   0.999508E-06  -0.152877E+01
     3   0.976605E+04   0.855166E-01   0.199922E-05  -0.440435E+00
     4   0.982265E+04   0.970325E-01   0.333247E-05   0.193448E+01
     5   0.963070E+04   0.860056E-01   0.499954E-05   0.382565E+01
     6   0.937209E+04   0.634465E-01   0.700074E-05   0.479201E+01
     7   0.910082E+04   0.405772E-01   0.933645E-05   0.498016E+01
     8   0.882341E+04   0.239344E-01   0.120071E-04   0.470104E+01
     9   0.855533E+04   0.147228E-01   0.150133E-04   0.423404E+01
    10   0.829927E+04   0.108993E-01   0.183554E-04   0.373264E+01
    11   0.805910E+04   0.963354E-02   0.220342E-04   0.330433E+01
    12   0.783353E+04   0.894489E-02   0.260502E-04   0.299501E+01
    13   0.761993E+04   0.799349E-02   0.304040E-04   0.279080E+01
    14   0.741714E+04   0.698873E-02   0.350966E-04   0.266375E+01
    15   0.722471E+04   0.621026E-02   0.401284E-04   0.258459E+01
    16   0.704224E+04   0.585345E-02   0.455004E-04   0.252981E+01
    17   0.686926E+04   0.592650E-02   0.512133E-04   0.249708E+01
    18   0.670444E+04   0.619838E-02   0.572679E-04   0.248532E+01
    19   0.654791E+04   0.651685E-02   0.636649E-04   0.247065E+01
    20   0.639735E+04   0.684267E-02   0.704053E-04   0.243171E+01
    21   0.625297E+04   0.724273E-02   0.774897E-04   0.239449E+01
    22   0.611497E+04   0.787026E-02   0.849190E-04   0.238435E+01
    23   0.598281E+04   0.875845E-02   0.926940E-04   0.238174E+01
    24   0.585615E+04   0.987734E-02   0.100815E-03   0.236190E+01
    25   0.573460E+04   0.112355E-01   0.109284E-03   0.232418E+01
    26   0.561765E+04   0.128092E-01   0.118100E-03   0.228026E+01
    27   0.550522E+04   0.145709E-01   0.127266E-03   0.226002E+01
    28   0.539694E+04   0.165213E-01   0.136780E-03   0.228793E+01
    29   0.529283E+04   0.186646E-01   0.146644E-03   0.234343E+01
    30   0.519279E+04   0.210081E-01   0.156858E-03   0.239654E+01
    31   0.509661E+04   0.235305E-01   0.167424E-03   0.243078E+01
    32   0.500440E+04   0.262014E-01   0.178341E-03   0.243603E+01
    33   0.491592E+04   0.290318E-01   0.189610E-03   0.241422E+01
    34   0.483077E+04   0.320530E-01   0.201231E-03   0.237187E+01
    35   0.474884E+04   0.352887E-01   0.213204E-03   0.231876E+01
    36   0.466996E+04   0.387616E-01   0.225531E-03   0.226228E+01
    37   0.459407E+04   0.424647E-01   0.238210E-03   0.220076E+01
    38   0.452138E+04   0.463944E-01   0.251243E-03   0.213294E+01
    39   0.445173E+04   0.505615E-01   0.264630E-03   0.205947E+01
    40   0.438473E+04   0.549862E-01   0.278370E-03   0.198126E+01
    41   0.432039E+04   0.596889E-01   0.292464E-03   0.189844E+01
    42   0.425838E+04   0.646709E-01   0.306911E-03   0.180873E+01
    43   0.419874E+04   0.699287E-01   0.321712E-03   0.170929E+01
    44   0.414125E+04   0.754436E-01   0.336867E-03   0.159819E+01
    45   0.408618E+04   0.812077E-01   0.352375E-03   0.147354E+01
    46   0.403339E+04   0.872175E-01   0.368236E-03   0.133222E+01
    47   0.398270E+04   0.934755E-01   0.384451E-03   0.117597E+01
    48   0.393403E+04   0.999925E-01   0.401019E-03   0.101040E+01
    49   0.388747E+04   0.106757E+00   0.417940E-03   0.840515E+00
    50   0.384321E+04   0.113750E+00   0.435213E-03   0.664559E+00
    51   0.380104E+04   0.120947E+00   0.452839E-03   0.478908E+00
    52   0.376106E+04   0.128432E+00   0.470817E-03   0.278164E+00
    53   0.372280E+04   0.136346E+00   0.489148E-03   0.583318E-01
    54   0.368609E+04   0.144678E+00   0.507830E-03  -0.176615E+00
    55   0.365102E+04   0.153401E+00   0.526864E-03  -0.422587E+00
    56   0.361773E+04   0.162368E+00   0.546250E-03  -0.681490E+00
    57   0.358611E+04   0.171472E+00   0.565987E-03  -0.952902E+00
    58   0.355616E+04   0.180726E+00   0.586075E-03  -0.123706E+01
    59   0.352770E+04   0.190172E+00   0.606515E-03  -0.153420E+01
    60   0.350072E+04   0.199865E+00   0.627307E-03  -0.184316E+01
    61   0.347551E+04   0.209902E+00   0.648449E-03  -0.216271E+01
    62   0.345142E+04   0.220268E+00   0.669943E-03  -0.249387E+01
    63   0.342862E+04   0.230920E+00   0.691789E-03  -0.283785E+01
    64   0.340739E+04   0.241868E+00   0.713986E-03  -0.319607E+01
    65   0.338729E+04   0.253084E+00   0.736536E-03  -0.356937E+01
    66   0.336858E+04   0.264499E+00   0.759437E-03  -0.395606E+01
    67   0.335107E+04   0.276115E+00   0.782691E-03  -0.435346E+01
    68   0.333502E+04   0.287972E+00   0.806299E-03  -0.475995E+01
    69   0.332018E+04   0.300032E+00   0.830260E-03  -0.517383E+01
    70   0.330666E+04   0.312334E+00   0.854575E-03  -0.559681E+01
    71   0.329428E+04   0.324870E+00   0.879244E-03  -0.603132E+01
    72   0.328303E+04   0.337611E+00   0.904270E-03  -0.647877E+01
    73   0.327286E+04   0.350525E+00   0.929651E-03  -0.693976E+01
    74   0.326377E+04   0.363600E+00   0.955390E-03  -0.741345E+01
    75   0.325584E+04   0.376846E+00   0.981487E-03  -0.789838E+01
    76   0.324901E+04   0.390264E+00   0.100794E-02  -0.839390E+01
    77   0.324329E+04   0.403847E+00   0.103476E-02  -0.889977E+01
    78   0.323874E+04   0.417619E+00   0.106194E-02  -0.941726E+01
    79   0.323515E+04   0.431526E+00   0.108948E-02  -0.994249E+01
    80   0.323262E+04   0.445572E+00   0.111738E-02  -0.104767E+02
    81   0.323105E+04   0.459706E+00   0.114565E-02  -0.110204E+02
    82   0.323049E+04   0.473950E+00   0.117428E-02  -0.115726E+02
    83   0.323086E+04   0.488279E+00   0.120329E-02  -0.121330E+02
    84   0.323222E+04   0.502689E+00   0.123266E-02  -0.126998E+02
    85   0.323440E+04   0.517156E+00   0.126240E-02  -0.132741E+02
    86   0.323747E+04   0.531691E+00   0.129252E-02  -0.138549E+02
    87   0.324164E+04   0.546265E+00   0.132301E-02  -0.144416E+02
    88   0.324642E+04   0.560893E+00   0.135388E-02  -0.150341E+02
    89   0.325216E+04   0.575560E+00   0.138512E-02  -0.156340E+02
    90   0.325870E+04   0.590229E+00   0.141675E-02  -0.162384E+02
    91   0.326593E+04   0.604893E+00   0.144876E-02  -0.168481E+02
    92   0.327398E+04   0.619537E+00   0.148115E-02  -0.174623E+02
    93   0.328286E+04   0.634155E+00   0.151393E-02  -0.180812E+02
    94   0.329232E+04   0.648710E+00   0.154709E-02  -0.187032E+02
    95   0.330257E+04   0.663203E+00   0.158064E-02  -0.193292E+02
    96   0.331332E+04   0.677621E+00   0.161459E-02  -0.199584E+02
    97   0.332498E+04   0.691948E+00   0.164893E-02  -0.205901E+02
    98   0.333734E+04   0.706179E+00   0.168366E-02  -0.212221E+02
    99   0.335023E+04   0.720276E+00   0.171880E-02  -0.218574E+02
   100   0.336387E+04   0.734241E+00   0.175433E-02  -0.224917E+02
   101   0.337809E+04   0.748134E+00   0.179027E-02  -0.231279E+02
   102   0.339325E+04   0.761807E+00   0.182661E-02  -0.237638E+02
   103   0.340875E+04   0.775335E+00   0.186335E-02  -0.244002E+02
   104   0.342489E+04   0.788718E+00   0.190051E-02  -0.250342E+02
   105   0.344156E+04   0.801884E+00   0.193808E-02  -0.256672E+02
   106   0.345884E+04   0.814908E+00   0.197606E-02  -0.262986E+02
   107   0.347642E+04   0.827640E+00   0.201446E-02  -0.269270E+02
   108   0.349473E+04   0.840158E+00   0.205327E-02  -0.275530E+02
   109   0.351354E+04   0.852386E+00   0.209251E-02  -0.281753E+02
   110   0.353277E+04   0.864326E+00   0.213217E-02  -0.287924E+02
   111   0.355248E+04   0.876053E+00   0.217226E-02  -0.294058E+02
   112   0.357266E+04   0.887492E+00   0.221277E-02  -0.300148E+02
   113   0.359337E+04   0.898645E+00   0.225372E-02  -0.306178E+02
   114   0.361447E+04   0.909438E+00   0.229510E-02  -0.312141E+02
   115   0.363609E+04   0.920018E+00   0.233691E-02  -0.318037E+02
   116   0.365800E+04   0.930165E+00   0.237917E-02  -0.323859E+02
   117   0.368049E+04   0.939951E+00   0.242186E-02  -0.329598E+02
   118   0.370340E+04   0.949527E+00   0.246500E-02  -0.335262E+02
   119   0.372658E+04   0.958745E+00   0.250858E-02  -0.340829E+02
   120   0.375017E+04   0.967455E+00   0.255262E-02  -0.346298E+02
   121   0.377402E+04   0.975955E+00   0.259711E-02  -0.351669E+02
   122   0.379818E+04   0.983949E+00   0.264205E-02  -0.356935E+02
   123   0.382266E+04   0.991512E+00   0.268745E-02  -0.362096E+02
   124   0.384743E+04   0.998717E+00   0.273331E-02  -0.367121E+02
   125   0.387243E+04   0.100549E+01   0.277963E-02  -0.372033E+02
   126   0.389772E+04   0.101191E+01   0.282642E-02  -0.376824E+02
   127   0.392321E+04   0.101782E+01   0.287368E-02  -0.381487E+02
   128   0.394891E+04   0.102338E+01   0.292141E-02  -0.386014E+02
   129   0.397486E+04   0.102844E+01   0.296962E-02  -0.390397E+02
   130   0.400100E+04   0.103299E+01   0.301830E-02  -0.394629E+02
   131   0.402731E+04   0.103718E+01   0.306747E-02  -0.398725E+02
   132   0.405387E+04   0.104088E+01   0.311712E-02  -0.402656E+02
   133   0.408053E+04   0.104414E+01   0.316726E-02  -0.406443E+02
   134   0.410735E+04   0.104698E+01   0.321789E-02  -0.410043E+02
   135   0.413433E+04   0.104932E+01   0.326901E-02  -0.413486E+02
   136   0.416133E+04   0.105115E+01   0.332063E-02  -0.416735E+02
   137   0.418848E+04   0.105256E+01   0.337275E-02  -0.419813E+02
   138   0.421571E+04   0.105347E+01   0.342537E-02  -0.422705E+02
   139   0.424287E+04   0.105403E+01   0.347850E-02  -0.425405E+02
   140   0.427025E+04   0.105401E+01   0.353213E-02  -0.427920E+02
   141   0.429755E+04   0.105350E+01   0.358628E-02  -0.430228E+02
   142   0.432499E+04   0.105256E+01   0.364094E-02  -0.432337E+02
   143   0.435250E+04   0.105119E+01   0.369612E-02  -0.434247E+02
   144   0.437992E+04   0.104933E+01   0.375181E-02  -0.435952E+02
   145   0.440733E+04   0.104712E+01   0.380803E-02  -0.437444E+02
   146   0.443493E+04   0.104433E+01   0.386478E-02  -0.438725E+02
   147   0.446230E+04   0.104120E+01   0.392205E-02  -0.439778E+02
   148   0.448963E+04   0.103757E+01   0.397984E-02  -0.440620E+02
   149   0.451702E+04   0.103352E+01   0.403817E-02  -0.441236E+02
   150   0.454422E+04   0.102913E+01   0.409704E-02  -0.441604E+02
   151   0.457139E+04   0.102431E+01   0.415644E-02  -0.441755E+02
   152   0.459837E+04   0.101899E+01   0.421637E-02  -0.441673E+02
   153   0.462531E+04   0.101333E+01   0.427685E-02  -0.441336E+02
   154   0.465214E+04   0.100732E+01   0.433786E-02  -0.440767E+02
   155   0.467884E+04   0.100096E+01   0.439942E-02  -0.439957E+02
   156   0.470527E+04   0.994258E+00   0.446152E-02  -0.438907E+02
   157   0.473172E+04   0.987203E+00   0.452416E-02  -0.437602E+02
   158   0.475797E+04   0.979874E+00   0.458735E-02  -0.436049E+02
   159   0.478400E+04   0.972122E+00   0.465108E-02  -0.434248E+02
   160   0.480990E+04   0.964095E+00   0.471535E-02  -0.432185E+02
   161   0.483566E+04   0.955866E+00   0.478018E-02  -0.429874E+02
   162   0.486120E+04   0.947288E+00   0.484554E-02  -0.427315E+02
   163   0.488667E+04   0.938433E+00   0.491146E-02  -0.424493E+02
   164   0.491176E+04   0.929377E+00   0.497792E-02  -0.421423E+02
   165   0.493678E+04   0.920045E+00   0.504492E-02  -0.418082E+02
   166   0.496156E+04   0.910584E+00   0.511246E-02  -0.414486E+02
   167   0.498619E+04   0.900771E+00   0.518055E-02  -0.410642E+02
   168   0.501043E+04   0.890979E+00   0.524918E-02  -0.406527E+02
   169   0.503442E+04   0.880909E+00   0.531835E-02  -0.402142E+02
   170   0.505818E+04   0.870784E+00   0.538806E-02  -0.397501E+02
   171   0.508154E+04   0.860603E+00   0.545830E-02  -0.392582E+02
