#    L    TT             EE             BB             TE          
    91   0.299421E+04   0.604941E+00   0.151681E-02  -0.168704E+02
    92   0.300862E+04   0.619585E+00   0.155071E-02  -0.174840E+02
    93   0.302368E+04   0.634204E+00   0.158501E-02  -0.181021E+02
    94   0.303917E+04   0.648760E+00   0.161971E-02  -0.187235E+02
    95   0.305530E+04   0.663254E+00   0.165482E-02  -0.193488E+02
    96   0.307177E+04   0.677672E+00   0.169035E-02  -0.199774E+02
    97   0.308901E+04   0.692000E+00   0.172628E-02  -0.206085E+02
    98   0.310679E+04   0.706231E+00   0.176263E-02  -0.212399E+02
    99   0.312497E+04   0.720329E+00   0.179940E-02  -0.218747E+02
   100   0.314375E+04   0.734295E+00   0.183658E-02  -0.225084E+02
   101   0.316298E+04   0.748188E+00   0.187419E-02  -0.231440E+02
   102   0.318302E+04   0.761862E+00   0.191222E-02  -0.237794E+02
   103   0.320327E+04   0.775390E+00   0.195067E-02  -0.244152E+02
   104   0.322403E+04   0.788774E+00   0.198956E-02  -0.250487E+02
   105   0.324521E+04   0.801941E+00   0.202888E-02  -0.256812E+02
   106   0.326688E+04   0.814965E+00   0.206862E-02  -0.263122E+02
   107   0.328872E+04   0.827698E+00   0.210881E-02  -0.269401E+02
   108   0.331120E+04   0.840216E+00   0.214943E-02  -0.275656E+02
   109   0.333406E+04   0.852445E+00   0.219049E-02  -0.281875E+02
   110   0.335724E+04   0.864385E+00   0.223200E-02  -0.288041E+02
   111   0.338079E+04   0.876113E+00   0.227395E-02  -0.294171E+02
   112   0.340471E+04   0.887553E+00   0.231635E-02  -0.300257E+02
   113   0.342908E+04   0.898707E+00   0.235921E-02  -0.306283E+02
   114   0.345373E+04   0.909500E+00   0.240251E-02  -0.312242E+02
   115   0.347882E+04   0.920081E+00   0.244627E-02  -0.318134E+02
   116   0.350410E+04   0.930228E+00   0.249049E-02  -0.323952E+02
   117   0.352988E+04   0.940016E+00   0.253518E-02  -0.329687E+02
   118   0.355599E+04   0.949593E+00   0.258033E-02  -0.335348E+02
   119   0.358229E+04   0.958811E+00   0.262594E-02  -0.340911E+02
   120   0.360892E+04   0.967522E+00   0.267203E-02  -0.346376E+02
   121   0.363572E+04   0.976023E+00   0.271859E-02  -0.351744E+02
   122   0.366276E+04   0.984018E+00   0.276562E-02  -0.357006E+02
   123   0.369004E+04   0.991582E+00   0.281314E-02  -0.362164E+02
   124   0.371754E+04   0.998789E+00   0.286114E-02  -0.367185E+02
   125   0.374520E+04   0.100556E+01   0.290963E-02  -0.372094E+02
   126   0.377308E+04   0.101198E+01   0.295860E-02  -0.376882E+02
   127   0.380109E+04   0.101790E+01   0.300807E-02  -0.381541E+02
   128   0.382924E+04   0.102346E+01   0.305803E-02  -0.386065E+02
   129   0.385759E+04   0.102851E+01   0.310849E-02  -0.390445E+02
   130   0.388606E+04   0.103307E+01   0.315946E-02  -0.394674E+02
   131   0.391465E+04   0.103727E+01   0.321093E-02  -0.398767E+02
   132   0.394342E+04   0.104096E+01   0.326291E-02  -0.402694E+02
   133   0.397224E+04   0.104423E+01   0.331540E-02  -0.406478E+02
   134   0.400116E+04   0.104707E+01   0.336841E-02  -0.410075E+02
   135   0.403020E+04   0.104941E+01   0.342193E-02  -0.413515E+02
   136   0.405919E+04   0.105125E+01   0.347598E-02  -0.416761E+02
   137   0.408828E+04   0.105266E+01   0.353056E-02  -0.419835E+02
   138   0.411741E+04   0.105357E+01   0.358567E-02  -0.422724E+02
   139   0.414641E+04   0.105413E+01   0.364130E-02  -0.425421E+02
